gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC728643	0.5670911628	9.6415921698	2.4022839052	0.0165764265	0.0463431514	-4.2772563293
LOC728648	-0.0951899288	6.553810823	-2.4855131215	0.0131902531	0.0387720218	-4.0766800139
LOC728649	0.0040795344	6.4004887605	0.1408979318	0.8879948327	0.9243984912	-7.1265023443
LOC728650	0.0792969833	6.991458837	1.91102621	0.0492600961	3.84722773081095e-14	6.5946211794
LOC728653	0.1487043169	6.7458048325	2.6927085038	0.0072726258	0.0242186188	-3.5482930393
LOC728654	0.0391805457	6.4513168007	1.1016370521	0.2710328864	0.3934519893	-6.5329786223
LOC728656	0.0340133067	6.4039872183	0.9448968172	0.3450675091	0.4715277028	-6.6923558144
LOC728657	-0.0290383353	6.4132321893	-0.8584058157	0.3909892169	0.5169590645	-6.7698784474
LOC728658	-0.0646222629	14.2264567346	-1.0151448245	0.34631466	0.2659585609	-6.5485405525
LOC728660	0.1703918785	6.6043675583	3.5988625758	0.0003442662	0.0020000481	-0.7552580826
LOC728661	0.011448091	10.373194735	-0.0236028956	0.4834624295	0.5895810288	-6.8914003074
LOC728664	-0.1098254859	6.5572534133	-3.2307505954	0.0012978119	0.0060136254	-1.9838875436
LOC728666	0.2417392049	8.9023077509	2.5864086822	0.0300581467	0.0052045813	-3.5916480432
LOC728667	0.0095124294	6.286624427	0.323495124	0.7464257894	0.8210353399	-7.0843053617
LOC728670	0.0675375386	6.570082736	1.9451934119	0.0521884896	0.1127503954	-5.2588678514
LOC728671	-0.1578671603	6.4136176506	-3.5461928105	0.0004193258	0.0023496474	-0.9388680879
LOC728672	-0.2009046849	12.1828311189	-0.8515472904	0.3947833526	0.5206783537	-6.7757083459
LOC728673	-0.0286112492	6.3974847421	-0.7769786954	0.4374579128	0.5607701094	-6.8360812462
LOC728675	0.0163639155	6.2690342423	0.5514704521	0.5815033599	0.6886907019	-6.985066095
LOC728677	-0.0044063701	6.3120542553	-0.1422574296	0.8869213628	0.923728922	-7.1263107716
LOC728678	-0.0501898511	6.5838241442	-1.4252486244	0.1545719795	0.2585286011	-6.1270504123
LOC728683	-0.0444764029	6.3927064476	-0.969783775	0.1972913517	0.0186958449	-5.0115273978
LOC728686	-0.0814559032	6.5040311068	-2.4338672058	0.0213005819	0.0198150127	-4.1449074014
LOC728687	-0.0139335536	6.361547163	-0.42009156	0.674559316	0.7652426155	-7.0485664829
LOC728689	0.0928324133	6.8682678922	1.2236950362	0.5039616258	0.0428437618	-5.6635805463
LOC728690	-0.1588845673	6.3621301747	-4.2191307394	2.80622485585499e-05	0.0002343781	1.6012192643
LOC728692	-0.0114031456	6.372225283	-0.3796008168	0.7043674554	0.7888080447	-7.0646771484
LOC728693	-0.1610026407	9.9222537162	-2.0943820326	0.4996417824	0.0002634981	-2.8313029769
LOC728694	-0.0431604907	6.4157168115	-1.4239875109	0.1549365877	0.259046691	-6.1288329777
LOC728698	0.2312221832	8.6993641839	2.0862622105	0.3042496051	0.0016472634	-3.7727885134
LOC728701	-0.0485561388	6.325933223	-1.1418116367	0.5101765436	0.0589065882	-5.8408792284
LOC728707	0.0592242476	6.2965795137	1.6954040181	0.0904843331	0.1717986271	-5.7090906588
LOC728709	0.0914779607	6.5307348558	2.5383045319	0.0113745764	0.0345403726	-3.9459844213
LOC728711	-0.1363574149	6.5229262202	-2.442099816	0.0148712268	0.0425428778	-4.1821393386
LOC728715	1.3458245657	6.7127863611	10.3719807683	2.09102267480464e-23	2.38553362207e-21	42.3321216844
LOC728716	-0.0106714054	6.3208227693	-0.3387774891	0.748593145	0.6201378752	-7.0244728685
LOC728723	0.1257731184	6.5258392608	2.6572080591	0.0080753442	0.0263166068	-3.6417635006
LOC728725	-0.0183236095	6.3740561202	-0.533589376	0.5938105935	0.6994256252	-6.994717504
LOC728728	-0.0928291753	6.5688863009	-2.0408142672	0.4650061073	0.0002821539	-2.8664003352
LOC728729	0.1038924357	6.3502329335	3.1814792284	0.0015359992	0.006903957	-2.1386253128
LOC728732	0.3610051654	7.8650459379	2.1525865647	0.0643874129	0.0206141992	-4.659001989
LOC728734	0.0230612647	7.2413180427	0.7187604232	0.4461504256	0.0031692737	-5.5184696979
LOC728735	0.2684361967	6.2756842209	7.098489408	3.35574308153316e-12	1.07600204673383e-10	16.9981512241
LOC728737	0.0552267884	6.2761997591	1.493881028	0.4274641451	0.0070726846	-4.6426781201
LOC728739	0.0445544134	8.1999694352	0.7612024912	0.4468160132	0.5693690187	-6.848146904
LOC728741	-0.3502091354	6.9408461912	-6.3532012486	3.99935614309434e-10	9.54972649112684e-09	12.3405312956
LOC728743	0.0581621088	6.5919536051	1.5212133461	0.1286993262	0.224969999	-5.9868084267
LOC728744	0.0208383865	6.3587430683	0.6824627982	0.4951928553	0.613306772	-6.9046728961
LOC728747	0.0787058308	6.3389347765	2.3138811298	0.0209895448	0.0556567029	-4.4829513656
LOC728748	0.062004287	6.9614746851	1.2579999913	0.2088497279	0.3241810667	-6.3497593464
LOC728752	-0.0434622056	6.3697246543	-1.3458120307	0.178838852	0.2885899012	-6.2362706412
LOC728755	-0.5770466475	7.7066876257	-3.1972814494	0.404071211	1.83023621404437e-09	3.4786114741
LOC728758	0.2877027388	6.9283927732	5.2013759366	2.66491183006309e-07	3.7877354994195e-06	6.0497687659
LOC728760	0.1389662901	6.39625657	3.8378344395	0.0008166247	7.61031722232442e-05	0.3207222887
LOC728763	0.0230631796	6.3124231	0.722982397	0.4699543577	0.5905500524	-6.8763533473
LOC728764	-0.012086137	6.2901812483	-0.402377465	0.6875403694	0.7758441095	-7.0558153015
LOC728765	0.1208293753	6.4500561805	3.2087672239	0.0013995153	0.0063954048	-2.0532112526
LOC728767	0.0015168025	6.2371902877	0.0487194945	0.9611580128	0.9745283494	-7.1352008374
LOC728772	-0.1349717395	6.8667727082	-2.4612195858	0.3552663526	4.11772150806858e-08	-0.9934958963
LOC728773	-0.0205758605	6.3108188325	-0.6729870477	0.1214977328	0.0341903677	-5.1792967209
LOC728774	-0.0497085896	6.5908812452	-1.071927952	0.2841557211	0.4073654132	-6.56505621
LOC728779	-0.053665602	7.0228908055	-0.7076684035	0.4794083669	0.5989877937	-6.8872481018
LOC728780	-0.0852728675	6.536583678	-1.9163557013	0.434907897	0.0005269869	-3.203761793
LOC728782	-0.3339195044	12.016394913	-3.2492746986	0.0984494969	3.69590572208067e-06	-0.1152185582
LOC728783	0.0351431032	6.3297140407	1.0471683391	0.2954165555	0.4193687997	-6.5911221824
LOC728787	-0.1211860762	7.1273832312	-2.1058932652	0.0374676299	0.0635731382	-4.9270229335
LOC728789	0.0268171431	6.432709838	0.7442203146	0.4570158743	0.5786948192	-6.8608587845
LOC728790	-0.0959530853	6.3845418934	-2.908055785	0.0037626335	0.0143536827	-2.9553539199
LOC728791	-0.0935531649	7.272516729	-0.7949902295	0.4269133823	0.5510956794	-6.8220039985
LOC728792	-0.0333962544	6.3908774323	-1.0433244147	0.2971912995	0.4212172088	-6.5951144852
LOC728796	-0.0310045218	6.2142820093	-0.9581590641	0.338343729	0.4646809473	-6.6798129725
LOC728799	0.0798522638	6.4610017274	2.4465986092	0.0146886516	0.0421426645	-4.1712955854
LOC728800	-0.1532800108	6.4641695053	-3.4289300389	0.0006447985	0.0033744572	-1.3382981079
LOC728802	-0.0528938769	6.4733419541	-1.405877967	0.4896044785	0.0021617287	-4.9619591759
LOC728804	0.0084163161	6.31853752	0.2470993557	0.5057860261	0.4775233153	-6.8717111885
LOC728806	0.0420422387	6.5005277337	1.1691581102	0.2427744311	0.3633346796	-6.456826387
LOC728807	0.1031707416	6.3106596269	3.030589573	0.0025390918	0.0104299742	-2.5981502072
LOC728809	0.151209148	11.0428407856	0.6912906245	0.4896331509	0.6085224221	-6.8986419548
LOC728811	-0.0953899359	6.6297348834	-0.5170347023	0.6053102488	0.7089396276	-7.003369651
LOC728813	0.0798697111	6.2999287752	2.3408973637	0.019542983	0.0527056832	-4.4208943161
LOC728816	-0.0597874093	6.386062521	-2.0441248373	0.041349251	0.0945197209	-5.0636714447
LOC728819	0.0699727411	6.3795195686	1.7077024758	0.0881756696	0.1684241942	-5.6883557949
LOC728820	-0.2840928686	10.2476722908	-1.3219810538	0.18811538	0.2665271092	-6.264519426
LOC728823	0.3604162302	8.6395977846	1.8274292602	0.0680999199	0.1382636511	-5.4787447485
LOC728825	-0.0859651623	7.5657734404	-1.0929972641	0.2748055128	0.3975417065	-6.5423972864
LOC728830	-0.0266482508	6.5672682175	-0.8892395872	0.3742078528	0.500733399	-6.7430927051
LOC728831	-0.0153728381	6.3295286367	-0.4220407159	0.6731367808	0.7641679482	-7.0477498064
LOC728832	-0.0588481617	6.463987126	-1.5765187242	0.3721347398	0.0028910845	-4.12438663
LOC728835	0.0708146073	6.324300939	2.1122312079	0.0350527281	0.0832700634	-4.9237417626
LOC728836	-0.0073674833	6.3392057298	-0.2419664104	0.8088835651	0.8673548632	-7.1072458182
LOC728843	-0.0882214329	6.8163679381	-0.7546587705	0.4833322464	0.3763987791	-6.7794574749
LOC728844	0.0739108729	6.5459473438	1.5647897668	0.1181256371	0.2107582339	-5.9201320761
LOC728846	-0.0415828374	6.3609849545	-1.3572354094	0.1751840091	0.2842264413	-6.2209474585
LOC728847	0.0154243204	6.2562647581	0.5063000156	0.6128201046	0.7147699014	-7.0088344308
LOC728849	0.0479078046	6.2719309616	1.5363275797	0.1249513943	0.2199596344	-5.9638938265
LOC728850	-0.0365610142	6.2897345928	-1.1222655598	0.2621696576	0.3842405231	-6.5101917049
LOC728853	-0.042016211	6.3224185409	-1.4457708924	0.148730106	0.2513576351	-6.0978221409
LOC728855	0.2864060996	6.845079072	1.1250892245	0.25046715	0.0135922969	-4.9009978864
LOC728857	0.0954797057	6.3779838118	2.3750025737	0.0178420266	0.0490310561	-4.341542703
LOC728863	0.0514565562	6.4281103135	1.5955533922	0.1110813222	0.2010858728	-5.8719354101
LOC728866	0.0128883625	6.2679455722	0.3862327071	0.6994524717	0.7850535797	-7.0621500871
LOC728873	0.5593138795	11.0438570265	4.2273004069	2.7089529157374e-05	0.0002273393	1.6346256936
LOC728875	-0.0592650001	6.4063073634	-1.9505850813	0.0515417541	0.1116939016	-5.2484762387
LOC728876	0.0762508572	6.5564291833	2.1507844915	0.0318663174	0.077235627	-4.842526767
LOC728877	0.2558060259	8.8164023025	2.4534407408	0.0144147722	0.0415643531	-4.1547659761
LOC728882	0.0381569605	6.4306339796	1.300238132	0.2663304828	0.1262048827	-6.1294860197
LOC728887	0.0051150161	6.3805818796	0.173660117	0.8621873987	0.9065241875	-7.121373723
LOC728888	-0.1630432753	10.9530550876	-1.3877260937	0.1657025659	0.2725983242	-6.1794171423
LOC728889	-0.0236522042	6.5964322874	-0.5761574284	0.5647109717	0.6741686186	-6.9712189258
LOC728895	-0.0506858105	6.5390460539	-1.3493551257	0.1776992281	0.2872809257	-6.2315317528
LOC728897	0.0189664635	6.2847410489	0.5915827976	0.5543385239	0.6655979973	-6.9622592255
LOC728900	-0.0150259731	6.4927654078	-0.4756638658	0.6344758928	0.7327415432	-7.0238005526
LOC728901	-0.1679282845	6.7215447746	-3.3148320569	0.0009686605	0.0047233969	-1.7145166209
LOC728903	0.0409783907	7.8100498663	-0.4353770549	0.3631722067	0.2557509035	-6.5474285097
LOC728904	0.0478053299	6.4067843979	1.4680638655	0.1425772909	0.2431334811	-6.0656016272
LOC728905	-0.0725456072	6.3780764215	-2.2483885118	0.0248903029	0.0636109462	-4.6304486774
LOC728908	-0.1125907588	7.9641220555	-1.2348540677	0.2173371826	0.3342032385	-6.3784049288
LOC728910	0.1088881274	6.467803263	3.1317074887	0.0018170369	0.0079257912	-2.2925951079
LOC728912	0.0172983454	6.3551912328	0.4782359758	0.5057412395	0.3392080637	-6.7468121281
LOC728914	0.0694003474	6.285080981	2.1629617142	0.0309130492	0.0753887658	-4.8165737788
LOC728919	0.0915267482	6.6167921913	2.1636890597	0.2312298721	0.0020434953	-3.8239669863
LOC728924	-0.0123179228	6.4139726323	-0.3460668018	0.7294060447	0.8080161576	-7.0767852874
LOC728927	0.0356526999	6.4232128605	0.8890675644	0.3393675849	0.0662150758	-5.854838576
LOC728929	-0.0807610179	6.4882643147	-2.4886261505	0.0130764537	0.0385046125	-4.0690478234
LOC728931	-0.002210428	6.6909457037	-0.0500973118	0.9600604449	0.9737917936	-7.1351330788
LOC728933	0.0231408138	6.2480472941	0.7373981895	0.4611500139	0.5827890806	-6.8658848273
LOC728934	-0.1048712546	6.6156034284	-1.7431318486	0.0817899782	0.15897866	-5.6277928622
LOC728936	0.0877852842	6.5562087434	1.8582969879	0.0635849774	0.1311834215	-5.422424719
LOC728937	0.4628497373	13.1006854363	4.09295944	4.80298448439575e-05	0.000373846	1.0930666327
LOC728939	0.0224234114	6.5008205067	0.7055688806	0.4807125563	0.6002679449	-6.8887236028
LOC728940	0.0191177641	6.2692840418	0.6214190554	0.5345448197	0.6481662181	-6.9442581262
LOC728942	0.0507374992	6.5537592319	1.6003002608	0.1100246036	0.1996608158	-5.8644156987
LOC728944	-0.0288896704	7.2944974556	-0.5693953773	0.5987127983	0.3552429155	-6.7856878372
LOC728945	-0.0776142094	6.6641620296	-1.8035072376	0.0717779152	0.1439673312	-5.5217498232
LOC728946	-0.0519820098	6.4482973895	-1.1513159698	0.2034800699	0.0191330228	-5.4222894821
LOC728951	-0.0141201434	6.4170188125	-0.3255270608	0.3867174498	0.047327889	-5.8726914462
LOC728953	-0.1658317766	6.8350733646	-2.6076300633	0.0682792796	0.0013362063	-3.1702464044
LOC728955	-0.1006296658	6.4503087814	-3.6418236288	0.0002925747	0.001742352	-0.6035689934
LOC728956	0.027792215	6.4405404111	0.6549003995	0.4721957478	0.2195251171	-6.5361503908
LOC728961	-0.0133305677	6.3035280345	-0.4849628959	0.6278683196	0.7274656707	-7.0193565007
LOC728965	-0.0272746901	6.5258037611	-0.5758371243	0.4512315797	0.2459410823	-6.5829806342
LOC728969	0.1425015805	7.1892873963	0.9216607598	0.2275665524	0.0531167261	-5.8913389359
LOC728970	-0.0127794487	6.3632342833	-0.3833930756	0.7015554305	0.7867408537	-7.0632374754
LOC728971	-0.0254928008	6.519555553	-0.7868046915	0.4316869411	0.5555129848	-6.8284414692
LOC728973	-0.2174982601	10.4309767378	-0.9071631263	0.3646613679	0.4914209389	-6.7270889504
LOC728975	-0.083291952	6.6027905447	-2.069457377	0.1051837367	0.015645906	-4.6970028272
LOC728979	-0.0253445884	6.3827531173	-0.7431970583	0.1671266688	0.0392509723	-5.3680320048
LOC728989	-0.0248568039	6.3510448506	-0.8324935117	0.4054404261	0.5307912732	-6.7916595949
LOC728990	0.1027477265	6.3706911486	3.132532367	0.0018120164	0.0079068132	-2.2900625112
LOC728991	-0.0212735084	6.348060871	-0.6782170574	0.5330118907	0.3990089126	-6.8234625383
LOC728992	-0.0745349014	6.4950957424	-1.7959438289	0.0729741722	0.1458773069	-5.5352300029
LOC729003	0.0155229789	6.4587287307	0.4568640577	0.6479235071	0.7435990466	-7.0325224517
LOC729004	-0.0491404624	6.466708629	-1.2544885993	0.210121609	0.3256202414	-6.3541391344
LOC729008	-0.0034232498	6.5198207828	-0.0865817365	0.9310310163	0.9538725799	-7.1326513744
LOC729009	-0.0356718624	9.6108366419	-0.1147788165	0.9086563764	0.938542859	-7.129825743
LOC729010	-0.0507512265	6.4172170914	-1.6976939728	0.0900508086	0.1711889611	-5.7052411097
LOC729012	0.0892706876	6.2858658281	2.6755322192	0.0076515854	0.0252116973	-3.5936685845
LOC729020	-0.1135140287	6.5032675335	-2.7495819753	0.043889924	0.0010739375	-2.878082353
LOC729021	-0.2656543352	7.3366507237	-3.5318520033	0.0004422719	0.0024567542	-0.9884103651
