gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
FBXL18	-0.0114792351	7.9180991712	-0.5861675048	0.5593966702	0.2707832961	-7.1388081666
FBXL19	-0.0816548868	6.5374444562	-2.8012735448	0.0052415279	0.0117300452	-3.6528162213
FBXL2	-0.0828035407	8.0426045255	-1.0556451205	0.2915224985	0.3689726841	-6.9921399353
FBXL20	0.0584659758	7.7863569359	0.8704187678	0.3843928588	0.464495193	-7.1700499569
FBXL21	-0.0281056423	6.5172972382	-0.5704824696	0.5685476147	0.6406651401	-7.3857022696
FBXL22	0.0936046393	6.3483929784	3.4454235193	0.000606853	0.0017744785	-1.6733966587
FBXL3	-0.1799729432	6.8050097758	-1.8247620206	0.1420900904	1.49852239964095e-05	-1.7888575252
FBXL4	-0.0223268815	6.0885650872	-0.9245760633	0.3555295054	0.43518411	-7.1215619963
FBXL5	-0.2459971787	7.4865110971	-3.6564910438	0.0676621997	1.72022259551631e-10	1.6662826411
FBXL6	0.1296662687	7.1179343906	2.6060318372	0.0746185423	0.0006041642	-3.5219232129
FBXL7	-0.8369412684	7.2927040656	-9.7809679475	3.59912758240766e-21	1.60368297023298e-19	37.0154960129
FBXL8	-0.3155320035	6.5992964751	-6.9892691336	6.86466795097327e-12	1.04995185230705e-10	15.9722793032
FBXO10	-0.1326163942	6.5038181313	-3.8803179467	0.0005713914	3.93010828728921e-05	0.0591231427
FBXO11	-0.2396632903	7.8619084474	-5.0992210637	0.0131966127	4.73734983956979e-13	7.4922092249
FBXO15	-0.1823293725	6.7703045935	-3.0890549495	0.002093567	0.0052787349	-2.8174623015
FBXO16	0.0584065036	6.5206001846	1.7727024697	0.0767462157	0.1193900239	-5.9826148365
FBXO17	-0.1375504498	6.9072293719	-3.1479326874	0.0255064314	4.4086997449451e-05	-2.1596609788
FBXO18	-0.2817213909	7.7936603998	-5.4984759183	0.0001222599	1.39588848151461e-11	8.6304598771
FBXO2	0.5731433156	6.7858903948	6.1839578228	0.167935562	9.58053635545219e-26	22.282671847
FBXO21	-0.1277417428	8.9556773892	-2.2285251663	0.0835113904	0.0056464429	-4.7350772133
FBXO22	-0.1887011295	7.3689117719	-1.1668721242	0.2481378011	2.52957434312145e-09	0.3276799043
FBXO22OS	0.2058451527	6.4817500228	6.9122644024	1.14101242561898e-11	1.69309324142036e-10	15.4747549712
FBXO24	-0.0533081414	6.1822227583	-2.2431269361	0.0282739839	0.0226958753	-5.0227851599
FBXO25	0.0209250714	6.4572537125	0.7846996272	0.439061404	0.1107889996	-6.7149187466
FBXO27	0.0228224593	6.3094408665	0.7526055919	0.4519593645	0.5311790566	-7.2654457317
FBXO28	0.1634892757	7.996053009	2.8319977689	0.010432185	0.0025466855	-3.4476374627
FBXO3	-0.0140837751	7.1808620313	-0.6760776201	0.1081017723	0.0024415853	-4.4947891153
FBXO30	-0.0303081169	7.1588403206	-0.2875456153	0.0276355569	0.0207184799	-4.8903461123
FBXO31	-0.2692849639	8.6475751668	-4.1518803129	3.73701853313434e-05	0.0001496931	0.9481596071
FBXO32	0.2985648577	7.5616974226	0.4717370601	0.0102857824	0.0009852877	-3.2537048251
FBXO33	-0.105830822	8.4749903751	-1.7332872452	0.0835187584	0.1283948337	-6.0513017984
FBXO34	-0.0407162438	8.1447909676	-0.622643813	0.5337369386	0.6081914967	-7.3546388076
FBXO36	-0.1444944357	6.3909839401	-4.1912070134	3.15878761925211e-05	0.000128785	1.1077343813
FBXO38	-0.1753888439	7.4086712282	-2.6634411505	0.1134483795	1.1206181755546e-06	-0.6317977561
FBXO39	-0.0511728428	6.142644433	-2.2195575064	0.0267931111	0.0484425767	-5.0972033634
FBXO4	0.0661047229	6.7736931039	0.151477452	0.070688398	0.0114680004	-5.3564021507
FBXO40	-0.0280560595	6.0841362496	-1.2016928282	0.2299201101	0.3021187602	-6.8278205625
