gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
C5orf51	0.1073579553	8.8295255675	4.3014385214	1.91916172153254e-05	6.57595271756671e-05	1.7252731462
C5orf53	0.0116784156	7.7376196665	0.2255253673	0.8216291356	0.8580951193	-7.3711820811
C5orf54	-0.0797514793	7.1345474957	-3.5740670574	0.0003728888	0.0010411136	-1.0763763949
C5orf56	0.0486021477	6.4263977533	4.3543211431	1.51110091135194e-05	5.8190629550806e-05	1.9480304533
C5orf60	0.0027952432	6.297284068	0.2995955428	0.7645647788	0.8102902211	-7.3517830147
C5orf62	0.0737813572	7.7747919949	0.9950023541	0.3200408993	0.3945152477	-6.9030458107
C6	-0.0068688118	6.6952464498	-0.1298103179	0.8967496646	0.9187701124	-7.3881456561
C6orf1	-0.0324516227	6.8165446531	-1.8838978973	0.2650634329	3.38188791747251e-08	-1.4211155203
C6orf10	-0.034168738	6.199357325	-3.164999784	0.0016105029	0.0038463623	-2.4317102719
C6orf100	0.0372557423	6.5324849151	3.2130955065	0.0013665821	0.0033237763	-2.2806611943
C6orf103	0.0235440427	6.4850719051	1.8934989508	0.0586580455	0.0917042847	-5.6122979792
C6orf105	0.0018829275	6.4314760409	0.0569443152	0.9546040052	0.9648384714	-7.3949331249
C6orf106	-0.0815154238	6.9292366875	-3.461903341	0.0546654025	7.89702631542973e-07	0.179343029
C6orf107	0.0459827034	6.4142306424	3.5340623525	0.0004331019	0.0011888781	-1.2159628972
C6orf108	-0.032353432	7.6142777508	-2.0103454511	0.2740210404	0.0017394308	-4.4128419185
C6orf111	-0.4283772722	8.7518886191	-10.3463866798	1.30672176944984e-23	5.25257667173493e-22	42.6534825697
C6orf114	-0.0322647751	6.2921907166	-2.2476431901	0.024875097	0.043335757	-4.884798955
C6orf115	0.0382235349	8.5711110642	0.7634724983	0.4454104305	0.5202844151	-7.1059191293
C6orf117	0.4356099669	6.6475667527	10.8220181581	1.53324179905492e-25	7.4045545410187e-24	47.0472330427
C6orf118	0.0501029038	6.42703318	4.0758390324	5.05022749902552e-05	0.0001729712	0.8030190015
C6orf12	-0.0219991863	6.3984822707	-2.2066389784	0.1661917553	0.001612945	-4.228681734
C6orf120	-0.0981767277	6.9511446971	-2.8399596276	0.004628306	0.0098269058	-3.3941772053
C6orf122	0.0153647785	6.4941810367	1.3952411294	0.1633366665	0.2223919425	-6.4267617779
C6orf123	0.0580603478	6.3915749347	4.3216632064	1.74701695794732e-05	6.62811132948909e-05	1.8100157866
C6orf124	-0.0769063819	6.6167525179	-2.6694509582	0.0077541056	0.0155341942	-3.8582460334
C6orf125	0.0775600404	9.798669823	1.9939959983	0.0464970976	0.074834881	-5.4183650716
C6orf126	-0.0161376889	6.1306283925	-1.8309016213	0.0674931259	0.1036133339	-5.7280723683
C6orf127	-0.0127170212	6.2672027075	-1.3256684126	0.1853341663	0.2475752471	-6.520960649
C6orf129	-0.164215933	8.6142559649	-4.2227304282	2.69552989761608e-05	9.82956173230017e-05	1.3979708466
C6orf130	-0.2413746654	8.4153963594	-7.9933417144	4.67280966495735e-15	7.83184788096525e-14	23.2408206172
C6orf132	-0.0024243952	6.3855073376	-0.20994304	0.8337664593	0.8677659073	-7.3745664662
