gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ADAMTSL3	-0.0056391529	6.5201683119	-0.3269220288	0.743819937	0.7732053755	-7.7892005071
ADAMTSL4	-0.731691304	7.1451237773	-8.5006880767	0.3242028398	2.62710370337295e-33	40.9885601328
ADAMTSL5	-0.0231378251	7.0366708771	-0.6125322506	0.5403751235	0.5825316106	-7.6551061296
ADAP1	0.3608892275	6.4020777108	13.365825706	1.24581462523097e-36	1.88835271387304e-35	72.0887566463
ADAP2	-0.182037943	6.8017970132	-3.2196711063	0.0013398027	0.0021698804	-2.6965366188
ADAR	-0.018088773	8.6009512174	-2.0347442587	2.27706332515994e-11	8.76275075246334e-21	28.2901667476
ADARB1	-0.4396278473	7.4915848332	-5.9760426252	0.1587974359	3.96183608473998e-17	16.0747185832
ADARB2	0.0051680634	6.472116294	0.2923090825	0.7701328063	0.797171592	-7.7999141759
ADAT1	0.3121804217	7.8527877142	8.8123317372	8.76460927582806e-18	5.41055104831572e-17	29.0601388463
ADAT2	0.1247411207	6.5416137372	8.4304038455	1.81284062815117e-16	1.02480282116347e-15	26.0708302661
ADAT3	0.4724386465	6.7780460846	19.5954602721	4.14784316052249e-69	2.06870940142173e-67	146.5390785846
ADC	-0.4610241571	6.948681275	-10.09379231	1.59499124037123e-22	1.30333964141823e-21	39.8525109481
ADCK1	0.0401098828	7.1361497322	1.8190196896	0.0693152014	0.088252811	-6.1921812318
ADCK2	-0.3045729174	8.5989463274	-6.2318797081	7.76043913000444e-10	2.55941135779093e-09	11.076273834
ADCK4	0.1897800209	7.1782062123	5.4937343172	5.42718215785076e-08	1.47435431092516e-07	6.9436207011
ADCK5	-0.007970191	6.9110379026	-0.3170212328	0.7513175168	0.7799691761	-7.7923873462
ADCY1	0.3442424477	6.4115452487	9.8837548369	2.88801973765825e-14	8.31739343278853e-30	39.6702444741
ADCY10	-0.0016950983	6.3413803062	-0.1454381722	0.8844048021	0.8987138968	-7.8320531094
ADCY2	0.1033815991	6.4244428284	7.8230885766	1.79380031123417e-14	8.78595691173921e-14	21.5440200347
ADCY3	0.2230100734	9.3006424679	3.375608544	0.0007752254	0.0012960487	-2.1899008378
ADCY4	-0.5564326695	6.8190217066	-6.0436692879	2.3941808389432e-09	7.51608874736631e-09	9.9776672684
ADCY5	0.0567945472	6.47385708	3.9829085537	7.48492111127372e-05	0.0001421144	0.0034451443
ADCY6	-0.3024049572	7.9105439269	-7.139475696	9.22398198488918e-09	3.05616132394671e-16	17.6484877338
ADCY7	-0.1587402668	7.0485946432	-4.0275336411	6.2223901692276e-05	0.0001192071	0.1783283191
ADCY8	0.010440632	6.4769945086	0.900246737	0.3682838184	0.4116436252	-7.4376907122
ADCY9	-0.3509055198	7.4804971689	-6.6707735151	5.00576684260752e-11	1.84248265074186e-10	13.7551902085
ADCYAP1	0.0181742068	6.1287416596	1.0948384822	0.2739460428	0.3141082139	-7.2438720471
ADCYAP1R1	-0.0322182554	6.1547037726	-3.0319703035	0.0025150338	0.0039269914	-3.2754518108
ADD1	-0.4642469934	9.5192483303	-14.4813318584	9.93839160336376e-14	6.86285769131596e-78	95.0930056901
ADD2	-0.010628998	6.2456289469	-1.0376420941	0.3012038153	0.0108269985	-6.0462785624
ADD3	-0.2228416614	7.9166901952	-3.0430171981	6.33002022896865e-10	1.11238385306133e-40	44.5514872329
ADH1A	0.0312542183	6.5289115749	0.5418519754	0.5880847012	0.6279293874	-7.6958774294
ADH1B	0.0130332359	6.3374231162	0.5017967279	0.6159607891	0.6544981785	-7.7167682834
ADH1C	0.1247198982	6.4402894948	5.7588852144	1.24436717742196e-08	3.63490049828786e-08	8.3735023221
ADH4	0.0030921177	6.2410922096	0.4485318256	5.15064047051115e-05	4.26772968811416e-06	1.6233252378
ADH5	-0.1289107179	7.6562772779	-4.5641554199	5.87703478259086e-06	1.27125362865376e-05	2.426473938
ADH6	-0.1116916307	6.419061436	-6.4244155804	2.37764157265488e-10	8.21161266426675e-10	12.2314327131
ADH7	0.0813655785	6.4791492084	5.6925144721	1.8092257106611e-08	5.18516623423752e-08	8.0097902213
ADHFE1	-0.3040338752	7.0692159457	-6.8991955554	0.2618956203	1.64955598784364e-34	31.1270084303
ADI1	-0.2527056181	6.8696684621	-5.7296295874	1.46823843069945e-08	4.25098812728288e-08	8.212706151
ADIG	-0.040414391	6.144494689	-3.8978367172	0.0001059264	0.0001972718	-0.3247735625
ADIPOQ	0.0561139308	6.5668051962	2.2809593027	0.0228361751	0.0312621485	-5.2508127212
ADIPOR1	0.4520454624	8.7293807496	11.8493927963	1.3600098781108e-08	3.72364526597621e-59	67.4573823471
ADIPOR2	0.2852138932	9.1677424311	8.0881140561	2.49924334367928e-15	1.3043288659151e-14	23.4847062021
ADK	0.1713514458	7.6127970152	3.4567667109	0.26384337	2.94859217243009e-17	3.2797539881
ADM	-1.8954674167	11.8640245752	-17.894777263	1.01808590633854e-59	3.60729298141601e-58	124.9977029539
ADM2	-0.8322961367	7.8772200474	-8.9441526747	3.00622734423737e-18	1.90894223844683e-17	30.1167866632
ADNP	0.1445108535	7.6610562395	6.4276827637	0.2399303735	5.39118134276353e-30	25.8957085948
ADNP2	0.1073077528	8.2054480776	3.2059439351	0.0014044494	0.0022683566	-2.740021035
ADO	-0.0544602926	8.7302970754	-1.5230187732	0.1281841172	0.1560296902	-6.6848399432
ADORA1	-0.1668170847	6.7362978151	-3.4507600338	0.0012030754	0.0002037706	-1.8715999205
ADORA2A	0.1661557367	6.8741468845	2.7536254497	0.0060394858	0.0089664902	-4.0714274348
ADORA2B	-0.4343304139	8.8549148311	-4.1087696193	4.42520139334852e-05	8.62630265422608e-05	0.5014701721
ADORA3	0.0068410083	6.4134663193	0.8817551222	0.2448641719	0.0190943937	-6.1893251065
ADPGK	-0.1403556334	8.4199163724	-3.9789803448	7.60698927985528e-05	0.0001443436	-0.0118599398
ADPRH	-0.129933751	6.4779872413	-6.4677961406	1.81367782637874e-10	6.32937915011781e-10	12.4960424251
ADPRHL1	0.3131698753	6.4517279828	10.4624948044	1.44237984405018e-06	2.26945141778165e-69	85.5227955552
ADPRHL2	-0.2761628394	8.9413079049	-8.3014993663	4.91944748013101e-16	2.690175106334e-15	25.0864788568
ADRA1A	-0.0437220421	6.2622572442	-3.710155929	0.0012179622	5.57197455298536e-11	4.4810579544
ADRA1B	-0.3872729776	6.897144815	-5.5235892565	4.61164235041687e-08	1.26246148410444e-07	7.1015267771
ADRA1D	-0.0356149531	6.2328046058	-2.0015889307	0.045696073	0.0597412247	-5.8452008725
ADRA2A	-0.0797414111	6.7466639918	-4.3272133118	1.71905017504608e-05	3.51193645129986e-05	1.4009038282
ADRA2B	0.0133002065	6.7815142567	0.7950917176	0.4268168224	0.4710813763	-7.5267262873
ADRA2C	0.0350799393	6.3390254948	1.7835066553	0.2101199548	0.0090621225	-5.7952766822
ADRB1	0.071931597	6.4576132708	4.6922862599	3.22216448462222e-06	7.18231397296673e-06	3.0025824348
ADRB2	0.2089848984	7.0900894575	3.7195398215	0.0002147889	0.0003852611	-0.9905796304
ADRB3	0.1103690846	6.4390496318	5.0813347127	4.75781471125405e-07	1.16596454432232e-06	4.8435012782
ADRBK1	0.1554921762	7.6544529091	5.3798721576	1.98513621433237e-06	5.11539910460686e-09	6.5865040992
ADRBK2	0.0566735966	6.3613003233	4.7478808274	2.47145095373142e-06	5.58592620929744e-06	3.2572225854
ADRM1	0.6938763077	9.3098040691	18.2460932321	2.40613058001998e-58	1.24738934929307e-63	129.4459453517
ADSL	0.1700875208	10.7841076434	4.5904515381	5.20118484014903e-06	1.13206065062248e-05	2.543480353
ADSS	0.0384882251	8.8978716979	0.284718534	0.0137014904	0.0068027942	-4.5296956681
ADSSL1	-0.1992059531	7.0001775822	-1.2383256651	0.0039927997	1.2662484142254e-08	2.6841855194
AEBP1	-2.0730721825	9.4478280729	-14.7841968553	1.7165382216836e-43	3.40217443341746e-42	87.7990496465
AEBP2	0.2338070738	7.7023381828	9.8784738277	1.07913101037936e-21	8.43708603728313e-21	37.9598900797
AEN	0.0817376465	7.4727295389	1.7742200519	0.0764406681	0.0966709293	-6.2723044215
AES	0.2482788078	8.5391398163	6.2896885696	9.66276501569502e-05	9.42056327627348e-25	15.7689877397
AFAP1	-0.5118432339	7.2893958022	-8.0808043693	0.2659868222	5.51063436425423e-58	42.4042582524
AFAP1L1	-0.4701679769	7.2258589507	-6.0776079369	1.95830146413958e-09	6.20214151765418e-09	10.1735224541
AFAP1L2	0.0504220001	6.9740064224	0.6516176987	0.5451013992	0.1953383174	-7.3546365439
AFAR3	0.0220702764	6.5535861894	1.4462223606	0.1485411234	0.1789046487	-6.7984945266
AFARP1	-0.0055006668	6.3673975276	-0.7516965824	0.0002629107	1.83603747614295e-06	1.277311923
AFF1	-0.0602787966	7.0635098189	-2.8677038023	0.2146220598	2.24001617029027e-06	-1.6748662045
AFF2	0.0664098752	6.3590460834	3.0886964298	0.0020860628	0.003292899	-3.1040648148
AFF3	-0.7886473619	7.1738743349	-9.9541995715	1.08091226657046e-16	3.11977627629839e-27	39.4243211351
AFF4	-0.0764092632	9.0222711681	-1.9466244591	0.0519604113	0.0673863144	-5.9531168939
AFG3L1	0.182165508	6.6354055325	7.3558009695	0.0017554068	2.86026227505175e-42	25.7422111353
AFG3L2	0.388240981	9.552916022	11.9744043302	2.60256272049824e-30	3.04035715686007e-29	57.6324460785
AFM	0.0205034926	6.1609052481	1.4565170789	0.1456767695	0.1757056998	-6.7835981197
AFMID	-0.0878132331	7.42661786	-2.9794655909	0.3550434527	9.06984194800656e-08	-0.1668579438
AFP	0.2446839187	6.5958237882	4.196104481	3.04760316044385e-05	6.05406060190627e-05	0.8557426345
AFTPH	0.3334069004	7.0867100677	10.0977208972	0.1400573982	4.67363507411262e-47	61.9246294398
AGA	-0.664288061	8.1326448325	-12.9839415091	7.46556484455813e-35	1.05633940435388e-33	68.0208588015
AGAP1	0.0270878615	6.3565984519	1.9449234852	0.006279239	9.95057326694485e-10	3.654588779
AGAP11	0.0151015492	6.2356146669	1.3522102825	0.1767239555	0.2098991385	-6.9296673804
AGAP2	-0.0640746441	6.2820772492	-5.1945889328	2.65968523890033e-07	6.70400221573814e-07	5.4051037865
AGAP3	0.0065030999	7.1328441137	2.0214126311	0.0125844079	1.86526573381872e-09	3.03193535
AGAP6	0.2492551437	7.1540610733	9.8463570537	1.43146577394714e-21	1.10889880218628e-20	37.6802581046
AGAP7	-0.0402262379	6.4739687893	-3.451948685	0.0005883873	0.000998567	-1.9334058415
AGAP8	0.3146226652	8.1723535436	8.5646642784	6.32608181572137e-17	3.70887748558014e-16	27.1093390162
AGBL1	-0.029771377	6.2251098029	-2.4760523643	0.1192703608	0.0003172748	-3.9723501043
AGBL2	0.0712794973	6.4328909166	5.8232426887	8.62555379769042e-09	2.55755873826804e-08	8.7298579456
AGBL3	0.0344578396	6.3318931545	2.7697832566	0.0057508744	0.0085641174	-4.0272700698
AGBL4	-0.0431834147	6.2140792716	-3.7484383065	0.0001919055	0.000346426	-0.884701045
AGBL5	0.5637769955	7.7208973854	16.7265812443	2.91488334444628e-40	2.8317826084874e-66	111.7991338314
AGC1	-0.0337198516	6.215460827	-2.5926178868	0.0097141835	0.0140223289	-4.4976013909
AGER	0.0360516747	6.4721913603	2.7211178364	2.57994917404394e-06	1.91860598219884e-12	8.833093056
AGFG1	-0.0267169819	7.0145699396	0.8650156176	4.14117605200148e-07	1.52669418918282e-10	9.1284460629
AGFG2	0.1468604971	6.7285104786	5.776854979	5.50514513463869e-06	1.01383041812536e-11	9.2675564129
AGGF1	-0.1582515099	7.7753374733	-6.7757950314	2.47128633466892e-10	4.64960696291835e-12	14.5117060845
AGK	0.2333762546	8.1856247501	9.1013972327	8.25390948468345e-19	5.4152020957228e-18	31.3936751799
AGL	0.0259073902	6.6760915898	0.7180520173	0.0601115061	1.20892613505932e-08	-1.7969492198
AGMAT	0.2171760512	6.3859773923	6.8191092742	1.91278747834503e-11	7.33421540751049e-11	14.6971495085
AGPAT1	0.151197509	6.9717719391	3.5659337698	9.34403839477346e-05	2.2405882480326e-18	12.0584048434
AGPAT2	0.3002507649	7.983991674	6.7613672077	0.0002773377	2.31896699888448e-16	16.8084007275
AGPAT3	0.0748917754	6.4008526695	3.2526075965	0.3265407463	7.84577473235674e-30	15.3965218072
AGPAT4	-0.1034951902	6.825272751	-0.1184891862	4.72362367526924e-07	5.51687816818312e-07	5.0183160498
AGPAT5	0.7615887815	7.6820529585	13.1962731455	7.73658399440293e-36	1.13199070210547e-34	70.2736765401
AGPAT6	0.0757774696	7.0276243747	3.8834164494	0.0001122772	0.0002085728	-0.3797352323
AGPAT9	0.1760484407	7.3628414416	2.296845431	0.0219079096	0.030073313	-5.2147141723
AGPS	0.7176163628	8.1808210027	16.8462115563	4.29892621736355e-54	1.25878849455857e-52	112.0967356412
AGR2	0.6913145259	6.4540761401	9.6381719391	1.61940409870082e-11	1.05206545873959e-31	38.773590164
AGR3	0.1763110598	6.4809834263	5.362023975	0.0719183555	1.49276135498402e-18	12.9663005117
AGRN	0.2399356505	7.8288063561	6.0003714814	1.29738590998314e-07	8.19407612131737e-11	10.0063124172
AGRP	-0.0034792769	6.346079151	-0.3189367859	4.39843198621904e-05	1.10508782761356e-05	1.2373716827
AGT	-0.0258048451	6.6272755286	-0.443752795	0.6573519221	0.6934090147	-7.7441974205
AGTPBP1	0.1828601958	7.0708356411	3.2195014194	0.0345390683	3.68318088299158e-15	9.2898433603
AGTR1	-0.223394047	6.8630245486	-3.6946861924	0.0003338692	0.0001734892	-1.0545496311
AGTR2	-0.1413419888	6.3311852587	-9.5076134855	2.70187376261751e-20	1.94768314533253e-19	34.7737730497
AGTRAP	0.0204402735	7.4017416383	0.5361697842	0.082834636	0.0178292509	-5.773483739
AGXT	0.1085260887	6.4911849558	5.3133528144	1.42821582688755e-07	3.70902632208313e-07	6.0063709425
AGXT2	-0.0164056263	6.1620520049	-1.1148918379	0.2652611781	0.3050313029	-7.2217559612
AGXT2L1	0.0087901055	6.2754868795	0.1395021647	0.0068432488	0.0062700863	-4.1051899723
AGXT2L2	-0.0918240409	7.2003423096	-2.6470735138	0.4717200249	2.85451194558145e-07	-0.7838632073
AHCTF1	0.4017917569	7.2505181541	12.261159625	0.0316249966	5.77820137782078e-74	79.3768960928
AHCY	0.8141739055	10.8796030057	18.4746741898	6.91529902061102e-63	2.79877024886443e-61	132.2643744882
AHCYL1	0.0465054602	10.2805943038	1.3326229625	0.1830685359	0.2167958839	-6.9558933135
AHCYL2	0.2136150156	7.0299321999	5.4922190074	5.4721116993239e-08	1.48561997856393e-07	6.9356270732
AHDC1	0.01787423	6.8562698652	0.6218716812	0.5342190898	0.5767905321	-7.6493456838
AHI1	-0.3469850075	7.6105735562	-7.4727327966	2.23588934358838e-13	1.00728051876214e-12	19.0628059989
AHNAK	-0.682102045	8.8868204155	-9.0189144163	4.11049994605772e-06	1.55021174388292e-50	39.964668465
AHNAK2	-0.9681381298	8.5557358446	-8.4585734173	1.45513928156224e-16	8.2834377976939e-16	26.2876053863
AHR	-0.5585462621	9.0209238412	-10.5989895647	0.0032050825	3.18793140291187e-61	64.0030890397
AHRR	-0.054023471	6.29077709	-2.6177987791	0.0090320118	0.0130908322	-4.4326109808
AHSA1	0.4243189334	9.3242584705	13.0979227761	2.21707377170742e-35	3.19057316610338e-34	69.2273674697
AHSA2	0.1687403391	8.7041002476	2.7307529268	0.0064704014	0.0095701478	-4.1335026038
AHSG	0.1152606496	6.2020836485	2.9709710139	0.0030653978	0.004735691	-3.4562913354
AHSP	0.10466538	6.7250132911	5.4345601791	7.47762591113903e-08	2.00031575333602e-07	6.6329729488
AICDA	0.0811021079	6.5546954257	4.5668586258	5.80385236970214e-06	1.25634424709383e-05	2.4384727602
AIDA	-0.2229090316	10.1644205646	-3.9385263557	8.97878851611397e-05	0.0001687198	-0.1686348921
AIF1	0.0165529929	6.6535214331	1.8153139202	0.0473376281	4.56486226448132e-06	-2.8379268109
AIF1L	1.128675598	7.1132672092	10.6231119728	1.81791709700722e-23	3.99274885603327e-25	44.6772018754
AIFM1	0.0784373599	7.6044178326	2.0429255518	0.2036107953	9.64839281376558e-26	10.8106763903
AIFM2	-0.0462942834	6.5819002524	-1.9437957006	0.0523013925	0.0678043222	-5.958590364
AIFM3	-0.0154993747	6.4010315682	-1.1547673809	0.24856099	0.2873665121	-7.1765901954
AIG1	-0.0757562954	8.127335147	-1.1904771636	0.2342432469	0.2721792657	-7.1348008094
AIM1	-0.0050410948	6.7238928107	-0.2717385397	0.7858993734	0.8112869824	-7.8057140448
AIM1L	0.1452747793	6.314935311	6.7999135187	2.33964172938699e-05	1.0908642207794e-27	31.9594436401
AIM2	0.0461013247	6.507842353	-1.5032510006	3.69529710919842e-05	2.42601467317386e-11	7.9183336051
