gene,fake
ADAL,Gene 270
ADAM10,Gene 271
ADAM11,Gene 272
ADAM12,Gene 273
ADAM15,Gene 274
ADAM17,Gene 275
ADAM18,Gene 276
ADAM19,Gene 277
ADAM2,Gene 278
ADAM20,Gene 279
ADAM21,Gene 280
ADAM21P,Gene 281
ADAM22,Gene 282
ADAM23,Gene 283
ADAM28,Gene 284
ADAM29,Gene 285
ADAM30,Gene 286
ADAM32,Gene 287
ADAM33,Gene 288
ADAM3A,Gene 289
ADAM5,Gene 290
ADAM5P,Gene 291
ADAM6,Gene 292
ADAM7,Gene 293
ADAM8,Gene 294
ADAM9,Gene 295
ADAMDEC1,Gene 296
ADAMTS1,Gene 297
ADAMTS10,Gene 298
ADAMTS12,Gene 299
ADAMTS13,Gene 300
ADAMTS14,Gene 301
ADAMTS15,Gene 302
ADAMTS16,Gene 303
ADAMTS17,Gene 304
ADAMTS18,Gene 305
ADAMTS19,Gene 306
ADAMTS2,Gene 307
ADAMTS20,Gene 308
ADAMTS3,Gene 309
ADAMTS4,Gene 310
ADAMTS5,Gene 311
ADAMTS6,Gene 312
ADAMTS7,Gene 313
ADAMTS8,Gene 314
ADAMTS9,Gene 315
ADAMTSL1,Gene 316
ADAMTSL2,Gene 317
ADAMTSL3,Gene 318
ADAMTSL4,Gene 319
ADAMTSL5,Gene 320
ADAP1,Gene 321
ADAP2,Gene 322
ADAR,Gene 323
ADARB1,Gene 324
ADARB2,Gene 325
ADAT1,Gene 326
ADAT2,Gene 327
ADAT3,Gene 328
ADC,Gene 329
ADCK1,Gene 330
ADCK2,Gene 331
ADCK4,Gene 332
ADCK5,Gene 333
ADCY1,Gene 334
ADCY10,Gene 335
ADCY2,Gene 336
ADCY3,Gene 337
ADCY4,Gene 338
ADCY5,Gene 339
ADCY6,Gene 340
ADCY7,Gene 341
ADCY8,Gene 342
ADCY9,Gene 343
ADCYAP1,Gene 344
ADCYAP1R1,Gene 345
ADD1,Gene 346
ADD2,Gene 347
ADD3,Gene 348
ADH1A,Gene 349
ADH1B,Gene 350
ADH1C,Gene 351
ADH4,Gene 352
ADH5,Gene 353
ADH6,Gene 354
ADH7,Gene 355
ADHFE1,Gene 356
ADI1,Gene 357
ADIG,Gene 358
ADIPOQ,Gene 359
ADIPOR1,Gene 360
ADIPOR2,Gene 361
ADK,Gene 362
ADM,Gene 363
ADM2,Gene 364
ADNP,Gene 365
ADNP2,Gene 366
ADO,Gene 367
ADORA1,Gene 368
ADORA2A,Gene 369
ADORA2B,Gene 370
ADORA3,Gene 371
ADPGK,Gene 372
ADPRH,Gene 373
ADPRHL1,Gene 374
ADPRHL2,Gene 375
ADRA1A,Gene 376
ADRA1B,Gene 377
ADRA1D,Gene 378
ADRA2A,Gene 379
ADRA2B,Gene 380
ADRA2C,Gene 381
ADRB1,Gene 382
ADRB2,Gene 383
ADRB3,Gene 384
ADRBK1,Gene 385
ADRBK2,Gene 386
ADRM1,Gene 387
ADSL,Gene 388
ADSS,Gene 389
ADSSL1,Gene 390
AEBP1,Gene 391
AEBP2,Gene 392
AEN,Gene 393
AES,Gene 394
AFAP1,Gene 395
AFAP1L1,Gene 396
AFAP1L2,Gene 397
AFAR3,Gene 398
AFARP1,Gene 399
AFF1,Gene 400
AFF2,Gene 401
AFF3,Gene 402
AFF4,Gene 403
AFG3L1,Gene 404
AFG3L2,Gene 405
AFM,Gene 406
AFMID,Gene 407
AFP,Gene 408
AFTPH,Gene 409
AGA,Gene 410
AGAP1,Gene 411
AGAP11,Gene 412
AGAP2,Gene 413
AGAP3,Gene 414
AGAP6,Gene 415
AGAP7,Gene 416
AGAP8,Gene 417
AGBL1,Gene 418
AGBL2,Gene 419
AGBL3,Gene 420
AGBL4,Gene 421
AGBL5,Gene 422
AGC1,Gene 423
AGER,Gene 424
AGFG1,Gene 425
AGFG2,Gene 426
AGGF1,Gene 427
AGK,Gene 428
AGL,Gene 429
AGMAT,Gene 430
AGPAT1,Gene 431
AGPAT2,Gene 432
AGPAT3,Gene 433
AGPAT4,Gene 434
AGPAT5,Gene 435
AGPAT6,Gene 436
AGPAT9,Gene 437
AGPS,Gene 438
AGR2,Gene 439
AGR3,Gene 440
AGRN,Gene 441
AGRP,Gene 442
AGT,Gene 443
AGTPBP1,Gene 444
AGTR1,Gene 445
AGTR2,Gene 446
AGTRAP,Gene 447
AGXT,Gene 448
AGXT2,Gene 449
AGXT2L1,Gene 450
AGXT2L2,Gene 451
AHCTF1,Gene 452
AHCY,Gene 453
AHCYL1,Gene 454
AHCYL2,Gene 455
AHDC1,Gene 456
AHI1,Gene 457
AHNAK,Gene 458
AHNAK2,Gene 459
AHR,Gene 460
