gene,fake
C7orf43,Gene 2866
C7orf44,Gene 2867
C7orf45,Gene 2868
C7orf46,Gene 2869
C7orf47,Gene 2870
C7orf49,Gene 2871
C7orf50,Gene 2872
C7orf51,Gene 2873
C7orf52,Gene 2874
C7orf53,Gene 2875
C7orf54,Gene 2876
C7orf55,Gene 2877
C7orf57,Gene 2878
C7orf58,Gene 2879
C7orf59,Gene 2880
C7orf60,Gene 2881
C7orf61,Gene 2882
C7orf63,Gene 2883
C7orf64,Gene 2884
C7orf65,Gene 2885
C7orf66,Gene 2886
C7orf68,Gene 2887
C7orf69,Gene 2888
C7orf70,Gene 2889
C8A,Gene 2890
C8B,Gene 2891
C8G,Gene 2892
C8orf12,Gene 2893
C8orf13,Gene 2894
C8orf15,Gene 2895
C8orf16,Gene 2896
C8orf17,Gene 2897
C8orf22,Gene 2898
C8orf30A,Gene 2899
C8orf30B,Gene 2900
C8orf31,Gene 2901
C8orf33,Gene 2902
C8orf34,Gene 2903
C8orf37,Gene 2904
C8orf38,Gene 2905
C8orf4,Gene 2906
C8orf40,Gene 2907
C8orf41,Gene 2908
C8orf42,Gene 2909
C8orf44,Gene 2910
C8orf45,Gene 2911
C8orf46,Gene 2912
C8orf47,Gene 2913
C8orf48,Gene 2914
C8orf49,Gene 2915
C8orf51,Gene 2916
C8orf54,Gene 2917
C8orf55,Gene 2918
C8orf58,Gene 2919
C8orf59,Gene 2920
C8orf62,Gene 2921
C8orf71,Gene 2922
C8orf73,Gene 2923
C8orf74,Gene 2924
C8orf76,Gene 2925
C8orf77,Gene 2926
C8orf78,Gene 2927
C8orf79,Gene 2928
C8orf80,Gene 2929
C8orf81,Gene 2930
C8orf83,Gene 2931
C8orf86,Gene 2932
C8ORFK29,Gene 2933
C8ORFK32,Gene 2934
C8ORFK36,Gene 2935
C9,Gene 2936
C9orf100,Gene 2937
C9orf102,Gene 2938
C9orf103,Gene 2939
C9orf106,Gene 2940
C9orf109,Gene 2941
C9orf10OS,Gene 2942
C9orf11,Gene 2943
C9orf110,Gene 2944
C9orf114,Gene 2945
C9orf116,Gene 2946
C9orf117,Gene 2947
C9orf119,Gene 2948
C9orf122,Gene 2949
C9orf123,Gene 2950
C9orf125,Gene 2951
C9orf126,Gene 2952
C9orf127,Gene 2953
C9orf128,Gene 2954
C9orf129,Gene 2955
C9orf130,Gene 2956
C9orf131,Gene 2957
C9orf135,Gene 2958
C9orf139,Gene 2959
C9orf14,Gene 2960
C9orf140,Gene 2961
C9orf142,Gene 2962
C9orf144,Gene 2963
C9orf144B,Gene 2964
C9orf150,Gene 2965
C9orf152,Gene 2966
C9orf153,Gene 2967
C9orf156,Gene 2968
C9orf16,Gene 2969
C9orf163,Gene 2970
C9orf164,Gene 2971
C9orf167,Gene 2972
C9orf169,Gene 2973
C9orf171,Gene 2974
C9orf172,Gene 2975
C9orf173,Gene 2976
C9orf21,Gene 2977
C9orf23,Gene 2978
C9orf24,Gene 2979
C9orf25,Gene 2980
C9orf27,Gene 2981
C9orf29,Gene 2982
C9orf3,Gene 2983
C9orf30,Gene 2984
C9orf31,Gene 2985
C9orf36,Gene 2986
C9orf37,Gene 2987
C9orf38,Gene 2988
C9orf4,Gene 2989
C9orf40,Gene 2990
C9orf41,Gene 2991
C9orf43,Gene 2992
C9orf45,Gene 2993
C9orf46,Gene 2994
C9orf47,Gene 2995
C9orf5,Gene 2996
C9orf50,Gene 2997
C9orf53,Gene 2998
C9orf57,Gene 2999
C9orf58,Gene 3000
C9orf6,Gene 3001
C9orf61,Gene 3002
C9orf62,Gene 3003
C9orf64,Gene 3004
C9orf66,Gene 3005
C9orf68,Gene 3006
C9orf69,Gene 3007
C9orf7,Gene 3008
C9orf70,Gene 3009
C9orf71,Gene 3010
C9orf72,Gene 3011
C9orf75,Gene 3012
C9orf78,Gene 3013
C9orf79,Gene 3014
C9orf80,Gene 3015
C9orf82,Gene 3016
C9orf84,Gene 3017
C9orf85,Gene 3018
C9orf86,Gene 3019
C9orf89,Gene 3020
C9orf9,Gene 3021
C9orf90,Gene 3022
C9orf91,Gene 3023
C9orf93,Gene 3024
C9orf95,Gene 3025
C9orf96,Gene 3026
C9orf98,Gene 3027
CA1,Gene 3028
CA10,Gene 3029
CA11,Gene 3030
CA12,Gene 3031
CA13,Gene 3032
CA14,Gene 3033
CA2,Gene 3034
CA3,Gene 3035
CA4,Gene 3036
CA5A,Gene 3037
CA5B,Gene 3038
CA5BP,Gene 3039
CA6,Gene 3040
CA7,Gene 3041
CA8,Gene 3042
CA9,Gene 3043
CAB39,Gene 3044
CAB39L,Gene 3045
CABC1,Gene 3046
CABIN1,Gene 3047
CABLES1,Gene 3048
CABLES2,Gene 3049
CABP1,Gene 3050
CABP2,Gene 3051
CABP4,Gene 3052
CABP5,Gene 3053
CABP7,Gene 3054
CABYR,Gene 3055
CACHD1,Gene 3056
CACNA1A,Gene 3057
CACNA1B,Gene 3058
CACNA1C,Gene 3059
CACNA1D,Gene 3060
CACNA1E,Gene 3061
CACNA1F,Gene 3062
CACNA1G,Gene 3063
CACNA1H,Gene 3064
CACNA1I,Gene 3065
CACNA1S,Gene 3066
CACNA2D1,Gene 3067
CACNA2D2,Gene 3068
CACNA2D3,Gene 3069
CACNA2D4,Gene 3070
CACNB1,Gene 3071
CACNB2,Gene 3072
CACNB3,Gene 3073
CACNB4,Gene 3074
CACNG1,Gene 3075
CACNG2,Gene 3076
CACNG3,Gene 3077
CACNG4,Gene 3078
CACNG5,Gene 3079
CACNG6,Gene 3080
CACNG7,Gene 3081
CACNG8,Gene 3082
CACYBP,Gene 3083
CAD,Gene 3084
CADM1,Gene 3085
CADM2,Gene 3086
CADM3,Gene 3087
CADM4,Gene 3088
CADPS,Gene 3089
CADPS2,Gene 3090
CAGE1,Gene 3091
CALB1,Gene 3092
CALB2,Gene 3093
CALCA,Gene 3094
CALCB,Gene 3095
CALCOCO1,Gene 3096
CALCOCO2,Gene 3097
CALCR,Gene 3098
CALCRL,Gene 3099
CALD1,Gene 3100
CALHM1,Gene 3101
CALHM2,Gene 3102
CALHM3,Gene 3103
CALM1,Gene 3104
CALM2,Gene 3105
CALM3,Gene 3106
CALML3,Gene 3107
CALML4,Gene 3108
CALML5,Gene 3109
CALML6,Gene 3110
CALN1,Gene 3111
CALR,Gene 3112
CALR3,Gene 3113
CALU,Gene 3114
CALY,Gene 3115
CAMK1,Gene 3116
CAMK1D,Gene 3117
CAMK1G,Gene 3118
CAMK2A,Gene 3119
CAMK2B,Gene 3120
CAMK2D,Gene 3121
CAMK2G,Gene 3122
CAMK2N1,Gene 3123
CAMK2N2,Gene 3124
CAMK4,Gene 3125
CAMKK1,Gene 3126
CAMKK2,Gene 3127
CAMKV,Gene 3128
CAMLG,Gene 3129
CAMP,Gene 3130
CAMSAP1,Gene 3131
CAMSAP1L1,Gene 3132
CAMTA1,Gene 3133
CAMTA2,Gene 3134
CAND1,Gene 3135
CAND2,Gene 3136
CANT1,Gene 3137
CANX,Gene 3138
CAP1,Gene 3139
CAP2,Gene 3140
CAPG,Gene 3141
CAPN1,Gene 3142
CAPN10,Gene 3143
CAPN11,Gene 3144
CAPN12,Gene 3145
CAPN13,Gene 3146
CAPN14,Gene 3147
CAPN2,Gene 3148
CAPN3,Gene 3149
CAPN5,Gene 3150
CAPN6,Gene 3151
CAPN7,Gene 3152
CAPN8,Gene 3153
CAPN9,Gene 3154
CAPNS1,Gene 3155
CAPNS2,Gene 3156
CAPRIN1,Gene 3157
CAPRIN2,Gene 3158
CAPS,Gene 3159
CAPS2,Gene 3160
CAPSL,Gene 3161
CAPZA1,Gene 3162
CAPZA2,Gene 3163
CAPZA3,Gene 3164
CAPZB,Gene 3165
CARD10,Gene 3166
CARD11,Gene 3167
CARD14,Gene 3168
CARD16,Gene 3169
CARD17,Gene 3170
CARD18,Gene 3171
CARD6,Gene 3172
CARD8,Gene 3173
CARD9,Gene 3174
CARHSP1,Gene 3175
CARKD,Gene 3176
CARM1,Gene 3177
CARS,Gene 3178
CARS2,Gene 3179
CART1,Gene 3180
CARTPT,Gene 3181
CASC1,Gene 3182
CASC2,Gene 3183
CASC3,Gene 3184
CASC4,Gene 3185
CASC5,Gene 3186
CASD1,Gene 3187
CASK,Gene 3188
CASKIN1,Gene 3189
CASKIN2,Gene 3190
CASP1,Gene 3191
CASP10,Gene 3192
CASP12,Gene 3193
CASP14,Gene 3194
CASP2,Gene 3195
CASP3,Gene 3196
CASP4,Gene 3197
CASP5,Gene 3198
CASP6,Gene 3199
CASP7,Gene 3200
CASP8,Gene 3201
CASP8AP2,Gene 3202
CASP9,Gene 3203
CASQ1,Gene 3204
CASQ2,Gene 3205
CASR,Gene 3206
CASRL1,Gene 3207
CASS4,Gene 3208
CAST,Gene 3209
CASZ1,Gene 3210
CAT,Gene 3211
CATSPER1,Gene 3212
CATSPER2,Gene 3213
CATSPER2P1,Gene 3214
CATSPER3,Gene 3215
CATSPER4,Gene 3216
CATSPERB,Gene 3217
CAV1,Gene 3218
CAV2,Gene 3219
CAV3,Gene 3220
CBARA1,Gene 3221
CBFA2T2,Gene 3222
CBFA2T3,Gene 3223
CBFB,Gene 3224
CBL,Gene 3225
CBLB,Gene 3226
CBLC,Gene 3227
CBLL1,Gene 3228
CBLN1,Gene 3229
CBLN2,Gene 3230
CBLN3,Gene 3231
CBLN4,Gene 3232
CBR1,Gene 3233
CBR3,Gene 3234
CBR4,Gene 3235
CBS,Gene 3236
CBWD1,Gene 3237
CBWD2,Gene 3238
CBWD3,Gene 3239
CBWD5,Gene 3240
CBWD6,Gene 3241
CBWD7,Gene 3242
CBX1,Gene 3243
CBX2,Gene 3244
CBX3,Gene 3245
CBX4,Gene 3246
CBX5,Gene 3247
CBX6,Gene 3248
CBX7,Gene 3249
CBX8,Gene 3250
CBY1,Gene 3251
CBY3,Gene 3252
CC2D1A,Gene 3253
CC2D1B,Gene 3254
CC2D2A,Gene 3255
CC2D2B,Gene 3256
CCAR1,Gene 3257
CCBE1,Gene 3258
CCBL1,Gene 3259
CCBL2,Gene 3260
CCBP2,Gene 3261
CCDC101,Gene 3262
CCDC102A,Gene 3263
CCDC102B,Gene 3264
CCDC103,Gene 3265
CCDC104,Gene 3266
CCDC105,Gene 3267
CCDC106,Gene 3268
CCDC107,Gene 3269
CCDC108,Gene 3270
CCDC109A,Gene 3271
CCDC109B,Gene 3272
CCDC11,Gene 3273
CCDC110,Gene 3274
CCDC111,Gene 3275
CCDC112,Gene 3276
CCDC113,Gene 3277
CCDC114,Gene 3278
CCDC115,Gene 3279
CCDC116,Gene 3280
CCDC117,Gene 3281
CCDC12,Gene 3282
CCDC120,Gene 3283
CCDC121,Gene 3284
CCDC122,Gene 3285
CCDC123,Gene 3286
CCDC124,Gene 3287
CCDC125,Gene 3288
CCDC126,Gene 3289
CCDC127,Gene 3290
CCDC128,Gene 3291
CCDC129,Gene 3292
CCDC13,Gene 3293
CCDC130,Gene 3294
CCDC132,Gene 3295
CCDC134,Gene 3296
CCDC135,Gene 3297
CCDC136,Gene 3298
CCDC137,Gene 3299
CCDC138,Gene 3300
CCDC14,Gene 3301
CCDC140,Gene 3302
CCDC141,Gene 3303
CCDC142,Gene 3304
CCDC144A,Gene 3305
CCDC144B,Gene 3306
CCDC144C,Gene 3307
CCDC144NL,Gene 3308
CCDC146,Gene 3309
CCDC147,Gene 3310
CCDC148,Gene 3311
CCDC149,Gene 3312
CCDC15,Gene 3313
CCDC150,Gene 3314
CCDC151,Gene 3315
CCDC152,Gene 3316
CCDC153,Gene 3317
CCDC155,Gene 3318
CCDC158,Gene 3319
CCDC16,Gene 3320
CCDC17,Gene 3321
CCDC18,Gene 3322
CCDC19,Gene 3323
CCDC21,Gene 3324
CCDC22,Gene 3325
CCDC23,Gene 3326
CCDC24,Gene 3327
CCDC25,Gene 3328
CCDC26,Gene 3329
CCDC27,Gene 3330
CCDC28A,Gene 3331
CCDC28B,Gene 3332
CCDC29,Gene 3333
CCDC3,Gene 3334
CCDC33,Gene 3335
CCDC34,Gene 3336
CCDC35,Gene 3337
CCDC36,Gene 3338
CCDC37,Gene 3339
CCDC38,Gene 3340
CCDC39,Gene 3341
CCDC4,Gene 3342
CCDC40,Gene 3343
CCDC41,Gene 3344
CCDC42,Gene 3345
CCDC43,Gene 3346
CCDC45,Gene 3347
CCDC46,Gene 3348
CCDC47,Gene 3349
CCDC48,Gene 3350
CCDC49,Gene 3351
CCDC5,Gene 3352
CCDC50,Gene 3353
CCDC51,Gene 3354
CCDC52,Gene 3355
CCDC53,Gene 3356
CCDC54,Gene 3357
CCDC55,Gene 3358
CCDC56,Gene 3359
CCDC57,Gene 3360
CCDC58,Gene 3361
CCDC59,Gene 3362
CCDC6,Gene 3363
CCDC60,Gene 3364
CCDC61,Gene 3365
CCDC62,Gene 3366
CCDC63,Gene 3367
CCDC64,Gene 3368
CCDC64B,Gene 3369
CCDC65,Gene 3370
CCDC66,Gene 3371
CCDC67,Gene 3372
CCDC68,Gene 3373
CCDC69,Gene 3374
CCDC7,Gene 3375
CCDC70,Gene 3376
CCDC71,Gene 3377
CCDC72,Gene 3378
CCDC73,Gene 3379
CCDC74A,Gene 3380
CCDC74B,Gene 3381
CCDC75,Gene 3382
CCDC76,Gene 3383
CCDC77,Gene 3384
CCDC78,Gene 3385
CCDC79,Gene 3386
CCDC8,Gene 3387
CCDC80,Gene 3388
CCDC81,Gene 3389
CCDC82,Gene 3390
CCDC83,Gene 3391
CCDC84,Gene 3392
CCDC85A,Gene 3393
CCDC85B,Gene 3394
CCDC86,Gene 3395
CCDC87,Gene 3396
CCDC88A,Gene 3397
CCDC88B,Gene 3398
CCDC88C,Gene 3399
CCDC89,Gene 3400
CCDC9,Gene 3401
CCDC90A,Gene 3402
CCDC90B,Gene 3403
CCDC91,Gene 3404
CCDC92,Gene 3405
CCDC93,Gene 3406
CCDC94,Gene 3407
CCDC96,Gene 3408
CCDC97,Gene 3409
CCDC99,Gene 3410
CCHCR1,Gene 3411
CCIN,Gene 3412
CCK,Gene 3413
CCKAR,Gene 3414
CCKBR,Gene 3415
CCL1,Gene 3416
CCL11,Gene 3417
CCL13,Gene 3418
CCL14,Gene 3419
CCL15,Gene 3420
CCL16,Gene 3421
CCL17,Gene 3422
CCL18,Gene 3423
CCL19,Gene 3424
CCL2,Gene 3425
CCL20,Gene 3426
CCL21,Gene 3427
CCL22,Gene 3428
CCL23,Gene 3429
CCL24,Gene 3430
CCL25,Gene 3431
CCL26,Gene 3432
CCL27,Gene 3433
CCL28,Gene 3434
CCL3,Gene 3435
CCL3L1,Gene 3436
CCL3L3,Gene 3437
CCL4,Gene 3438
CCL4L1,Gene 3439
CCL4L2,Gene 3440
CCL5,Gene 3441
CCL7,Gene 3442
CCL8,Gene 3443
CCM2,Gene 3444
CCNA1,Gene 3445
CCNA2,Gene 3446
CCNB1,Gene 3447
CCNB1IP1,Gene 3448
CCNB2,Gene 3449
CCNB3,Gene 3450
CCNC,Gene 3451
CCND1,Gene 3452
CCND2,Gene 3453
CCND3,Gene 3454
CCNDBP1,Gene 3455
CCNE1,Gene 3456
CCNE2,Gene 3457
CCNF,Gene 3458
CCNG1,Gene 3459
CCNG2,Gene 3460
CCNH,Gene 3461
CCNI,Gene 3462
CCNI2,Gene 3463
CCNJ,Gene 3464
CCNJL,Gene 3465
CCNK,Gene 3466
CCNL1,Gene 3467
CCNL2,Gene 3468
CCNO,Gene 3469
CCNT1,Gene 3470
CCNT2,Gene 3471
CCNY,Gene 3472
CCNYL1,Gene 3473
CCNYL2,Gene 3474
CCNYL3,Gene 3475
CCPG1,Gene 3476
CCR1,Gene 3477
CCR10,Gene 3478
CCR2,Gene 3479
CCR3,Gene 3480
CCR4,Gene 3481
CCR5,Gene 3482
CCR6,Gene 3483
CCR7,Gene 3484
CCR8,Gene 3485
CCR9,Gene 3486
CCRK,Gene 3487
CCRL1,Gene 3488
CCRL2,Gene 3489
CCRN4L,Gene 3490
CCS,Gene 3491
CCT2,Gene 3492
CCT3,Gene 3493
CCT4,Gene 3494
CCT5,Gene 3495
CCT6A,Gene 3496
CCT6B,Gene 3497
CCT6P1,Gene 3498
CCT7,Gene 3499
CCT8,Gene 3500
CCT8L1,Gene 3501
CCT8L2,Gene 3502
CD109,Gene 3503
CD14,Gene 3504
CD151,Gene 3505
CD160,Gene 3506
CD163,Gene 3507
CD163L1,Gene 3508
CD164,Gene 3509
CD164L2,Gene 3510
CD177,Gene 3511
CD180,Gene 3512
CD19,Gene 3513
CD1A,Gene 3514
CD1B,Gene 3515
CD1C,Gene 3516
CD1D,Gene 3517
CD1E,Gene 3518
CD2,Gene 3519
CD200,Gene 3520
CD200R1,Gene 3521
CD200R1L,Gene 3522
CD207,Gene 3523
CD209,Gene 3524
CD22,Gene 3525
CD226,Gene 3526
CD24,Gene 3527
CD244,Gene 3528
CD247,Gene 3529
CD248,Gene 3530
CD27,Gene 3531
CD274,Gene 3532
CD276,Gene 3533
CD28,Gene 3534
CD2AP,Gene 3535
CD2BP2,Gene 3536
CD300A,Gene 3537
CD300C,Gene 3538
CD300E,Gene 3539
CD300LB,Gene 3540
CD300LD,Gene 3541
CD300LF,Gene 3542
CD300LG,Gene 3543
CD302,Gene 3544
CD320,Gene 3545
CD33,Gene 3546
CD34,Gene 3547
CD36,Gene 3548
CD37,Gene 3549
CD38,Gene 3550
CD3D,Gene 3551
CD3E,Gene 3552
CD3EAP,Gene 3553
CD3G,Gene 3554
CD4,Gene 3555
CD40,Gene 3556
CD40LG,Gene 3557
CD44,Gene 3558
CD46,Gene 3559
CD47,Gene 3560
CD48,Gene 3561
CD5,Gene 3562
CD52,Gene 3563
CD53,Gene 3564
CD55,Gene 3565
CD58,Gene 3566
CD59,Gene 3567
CD5L,Gene 3568
CD6,Gene 3569
CD63,Gene 3570
CD68,Gene 3571
CD69,Gene 3572
CD7,Gene 3573
CD70,Gene 3574
CD72,Gene 3575
CD74,Gene 3576
CD79A,Gene 3577
CD79B,Gene 3578
CD80,Gene 3579
CD81,Gene 3580
CD82,Gene 3581
CD83,Gene 3582
CD84,Gene 3583
CD86,Gene 3584
CD8A,Gene 3585
CD8B,Gene 3586
CD9,Gene 3587
CD93,Gene 3588
CD96,Gene 3589
CD97,Gene 3590
CD99,Gene 3591
CD99L2,Gene 3592
CDA,Gene 3593
CDADC1,Gene 3594
CDAN1,Gene 3595
CDC123,Gene 3596
CDC14A,Gene 3597
CDC14B,Gene 3598
CDC14C,Gene 3599
CDC16,Gene 3600
CDC2,Gene 3601
CDC20,Gene 3602
CDC20B,Gene 3603
CDC23,Gene 3604
CDC25A,Gene 3605
CDC25B,Gene 3606
CDC25C,Gene 3607
CDC26,Gene 3608
CDC27,Gene 3609
CDC2L1,Gene 3610
CDC2L2,Gene 3611
CDC2L5,Gene 3612
CDC2L6,Gene 3613
CDC34,Gene 3614
CDC37,Gene 3615
CDC37L1,Gene 3616
CDC40,Gene 3617
CDC42,Gene 3618
CDC42BPA,Gene 3619
CDC42BPB,Gene 3620
CDC42BPG,Gene 3621
CDC42EP1,Gene 3622
CDC42EP2,Gene 3623
CDC42EP3,Gene 3624
CDC42EP4,Gene 3625
CDC42EP5,Gene 3626
CDC42SE1,Gene 3627
CDC42SE2,Gene 3628
CDC45L,Gene 3629
CDC5L,Gene 3630
CDC6,Gene 3631
CDC7,Gene 3632
CDC73,Gene 3633
CDCA1,Gene 3634
CDCA2,Gene 3635
CDCA3,Gene 3636
CDCA4,Gene 3637
CDCA5,Gene 3638
CDCA7,Gene 3639
CDCA7L,Gene 3640
CDCA8,Gene 3641
CDCP1,Gene 3642
CDCP2,Gene 3643
CDGAP,Gene 3644
CDH1,Gene 3645
CDH10,Gene 3646
CDH11,Gene 3647
CDH12,Gene 3648
CDH12P,Gene 3649
CDH13,Gene 3650
CDH15,Gene 3651
CDH16,Gene 3652
CDH17,Gene 3653
CDH18,Gene 3654
CDH19,Gene 3655
CDH2,Gene 3656
CDH20,Gene 3657
CDH22,Gene 3658
CDH23,Gene 3659
CDH24,Gene 3660
CDH26,Gene 3661
CDH29,Gene 3662
CDH3,Gene 3663
CDH4,Gene 3664
CDH5,Gene 3665
CDH6,Gene 3666
CDH7,Gene 3667
CDH8,Gene 3668
CDH9,Gene 3669
CDIPT,Gene 3670
CDK10,Gene 3671
CDK2,Gene 3672
CDK2AP1,Gene 3673
CDK2AP2,Gene 3674
CDK3,Gene 3675
CDK4,Gene 3676
CDK5,Gene 3677
CDK5R1,Gene 3678
CDK5R2,Gene 3679
CDK5RAP1,Gene 3680
CDK5RAP2,Gene 3681
CDK5RAP3,Gene 3682
CDK6,Gene 3683
CDK7,Gene 3684
CDK8,Gene 3685
CDK9,Gene 3686
CDKAL1,Gene 3687
CDKL1,Gene 3688
CDKL2,Gene 3689
CDKL3,Gene 3690
CDKL4,Gene 3691
CDKL5,Gene 3692
CDKN1A,Gene 3693
CDKN1B,Gene 3694
CDKN1C,Gene 3695
CDKN2A,Gene 3696
CDKN2AIP,Gene 3697
CDKN2AIPNL,Gene 3698
CDKN2B,Gene 3699
CDKN2BAS,Gene 3700
CDKN2C,Gene 3701
CDKN2D,Gene 3702
CDKN3,Gene 3703
CDNF,Gene 3704
CDO1,Gene 3705
CDON,Gene 3706
CDR1,Gene 3707
CDR2,Gene 3708
CDR2L,Gene 3709
CDRT1,Gene 3710
CDRT15,Gene 3711
CDRT15L2,Gene 3712
CDRT15P,Gene 3713
CDRT4,Gene 3714
CDS1,Gene 3715
CDS2,Gene 3716
CDSN,Gene 3717
CDT1,Gene 3718
CDV3,Gene 3719
CDX1,Gene 3720
CDX2,Gene 3721
CDX4,Gene 3722
CDY1,Gene 3723
CDY1B,Gene 3724
CDY2A,Gene 3725
CDY2B,Gene 3726
CDYL,Gene 3727
CDYL2,Gene 3728
CEACAM1,Gene 3729
CEACAM16,Gene 3730
CEACAM18,Gene 3731
CEACAM19,Gene 3732
CEACAM20,Gene 3733
CEACAM21,Gene 3734
CEACAM3,Gene 3735
CEACAM4,Gene 3736
CEACAM5,Gene 3737
CEACAM6,Gene 3738
CEACAM7,Gene 3739
CEACAM8,Gene 3740
CEBPA,Gene 3741
CEBPB,Gene 3742
CEBPD,Gene 3743
CEBPE,Gene 3744
CEBPG,Gene 3745
CEBPZ,Gene 3746
CECR1,Gene 3747
CECR2,Gene 3748
CECR4,Gene 3749
CECR5,Gene 3750
CECR6,Gene 3751
CECR7,Gene 3752
CEL,Gene 3753
CELA2B,Gene 3754
CELA3B,Gene 3755
CELP,Gene 3756
CELSR1,Gene 3757
CELSR2,Gene 3758
CELSR3,Gene 3759
CEMP1,Gene 3760
CEND1,Gene 3761
CENPA,Gene 3762
CENPB,Gene 3763
CENPBD1,Gene 3764
CENPC1,Gene 3765
CENPE,Gene 3766
CENPF,Gene 3767
CENPH,Gene 3768
CENPI,Gene 3769
CENPJ,Gene 3770
CENPK,Gene 3771
CENPL,Gene 3772
CENPM,Gene 3773
CENPN,Gene 3774
CENPO,Gene 3775
CENPP,Gene 3776
CENPQ,Gene 3777
CENPT,Gene 3778
CENPV,Gene 3779
CENTA1,Gene 3780
CENTB2,Gene 3781
CENTD1,Gene 3782
CENTD2,Gene 3783
CENTG2,Gene 3784
CENTG3,Gene 3785
CEP110,Gene 3786
CEP120,Gene 3787
CEP135,Gene 3788
CEP152,Gene 3789
CEP164,Gene 3790
CEP170,Gene 3791
CEP170L,Gene 3792
CEP192,Gene 3793
CEP250,Gene 3794
CEP27,Gene 3795
CEP290,Gene 3796
CEP350,Gene 3797
CEP55,Gene 3798
CEP57,Gene 3799
CEP63,Gene 3800
CEP68,Gene 3801
CEP70,Gene 3802
CEP72,Gene 3803
CEP76,Gene 3804
CEP78,Gene 3805
CEP97,Gene 3806
CEPT1,Gene 3807
CER1,Gene 3808
CERCAM,Gene 3809
CERK,Gene 3810
CERKL,Gene 3811
CES1,Gene 3812
CES2,Gene 3813
CES3,Gene 3814
CES4,Gene 3815
CES7,Gene 3816
CES8,Gene 3817
CETN1,Gene 3818
CETN2,Gene 3819
CETN3,Gene 3820
CETP,Gene 3821
CFB,Gene 3822
CFC1,Gene 3823
CFC1B,Gene 3824
CFD,Gene 3825
CFDP1,Gene 3826
CFH,Gene 3827
CFHR1,Gene 3828
CFHR2,Gene 3829
CFHR3,Gene 3830
CFHR4,Gene 3831
CFHR5,Gene 3832
CFI,Gene 3833
CFL1,Gene 3834
CFL2,Gene 3835
CFLAR,Gene 3836
CFP,Gene 3837
CFTR,Gene 3838
CGA,Gene 3839
CGB,Gene 3840
CGB1,Gene 3841
CGB2,Gene 3842
CGB5,Gene 3843
CGB7,Gene 3844
CGB8,Gene 3845
CGGBP1,Gene 3846
CGI-96,Gene 3847
CGN,Gene 3848
CGNL1,Gene 3849
CGREF1,Gene 3850
CGRRF1,Gene 3851
CH25H,Gene 3852
CHAC1,Gene 3853
CHAC2,Gene 3854
CHAD,Gene 3855
CHADL,Gene 3856
CHAF1A,Gene 3857
CHAF1B,Gene 3858
CHAT,Gene 3859
CHCHD1,Gene 3860
CHCHD10,Gene 3861
CHCHD2,Gene 3862
CHCHD3,Gene 3863
CHCHD4,Gene 3864
CHCHD5,Gene 3865
CHCHD6,Gene 3866
CHCHD7,Gene 3867
CHCHD8,Gene 3868
CHCHD9,Gene 3869
CHD1,Gene 3870
CHD1L,Gene 3871
CHD2,Gene 3872
CHD3,Gene 3873
CHD4,Gene 3874
CHD5,Gene 3875
CHD6,Gene 3876
CHD7,Gene 3877
CHD8,Gene 3878
CHD9,Gene 3879
CHDH,Gene 3880
CHEK1,Gene 3881
CHEK2,Gene 3882
CHERP,Gene 3883
CHES1,Gene 3884
CHFR,Gene 3885
CHGA,Gene 3886
CHGB,Gene 3887
CHI3L1,Gene 3888
CHI3L2,Gene 3889
CHIA,Gene 3890
CHIC1,Gene 3891
CHIC2,Gene 3892
CHID1,Gene 3893
CHIT1,Gene 3894
CHKA,Gene 3895
CHKB,Gene 3896
CHL1,Gene 3897
CHM,Gene 3898
CHML,Gene 3899
CHMP1A,Gene 3900
CHMP1B,Gene 3901
CHMP2A,Gene 3902
CHMP2B,Gene 3903
CHMP4A,Gene 3904
CHMP4B,Gene 3905
CHMP4C,Gene 3906
CHMP5,Gene 3907
CHMP6,Gene 3908
CHMP7,Gene 3909
CHN1,Gene 3910
CHN2,Gene 3911
CHODL,Gene 3912
CHORDC1,Gene 3913
CHP,Gene 3914
CHP2,Gene 3915
CHPF,Gene 3916
CHPF2,Gene 3917
CHPT1,Gene 3918
CHR415SYT,Gene 3919
CHRAC1,Gene 3920
CHRD,Gene 3921
CHRDL1,Gene 3922
CHRDL2,Gene 3923
CHRFAM7A,Gene 3924
CHRM1,Gene 3925
CHRM2,Gene 3926
CHRM3,Gene 3927
CHRM4,Gene 3928
CHRM5,Gene 3929
CHRNA1,Gene 3930
CHRNA10,Gene 3931
CHRNA2,Gene 3932
CHRNA3,Gene 3933
CHRNA4,Gene 3934
CHRNA5,Gene 3935
CHRNA6,Gene 3936
CHRNA7,Gene 3937
CHRNA9,Gene 3938
CHRNB1,Gene 3939
CHRNB2,Gene 3940
CHRNB3,Gene 3941
CHRNB4,Gene 3942
CHRND,Gene 3943
CHRNE,Gene 3944
CHRNG,Gene 3945
CHST1,Gene 3946
CHST10,Gene 3947
CHST11,Gene 3948
CHST12,Gene 3949
CHST13,Gene 3950
CHST14,Gene 3951
CHST15,Gene 3952
CHST2,Gene 3953
CHST3,Gene 3954
CHST4,Gene 3955
CHST5,Gene 3956
CHST6,Gene 3957
CHST7,Gene 3958
CHST8,Gene 3959
CHST9,Gene 3960
CHSY1,Gene 3961
CHSY3,Gene 3962
CHTF18,Gene 3963
CHTF8,Gene 3964
CHUK,Gene 3965
