gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
TRMU	0.0584927191	6.9615631917	0.5939950679	0.5527275724	0.7556451907	-7.5779120824
TRNAU1AP	-0.0962594044	6.6697066129	-1.3674518039	0.2836926469	0.1147315882	-6.5479527575
TRNP1	-0.5011616425	9.5944693036	-1.5357340692	0.1251031554	0.2996322075	-6.5774599179
TRNT1	0.1326649777	6.9770044674	1.2329165323	0.3493433928	0.0097010559	-5.9781150207
TRO	-0.1058670391	8.3199974656	-0.6043657969	0.5884632341	0.2746883375	-7.3102182528
TROAP	1.5497287829	7.0918273923	6.8357979308	1.9218109113876e-11	3.04901078789882e-10	14.7812816579
TROVE2	-0.1966024553	8.8004383756	-1.4484950491	0.1815808513	0.2079116303	-6.6289320673
TRPA1	-0.0273732816	6.516556815	-0.2381219569	0.8118635461	0.9130583221	-7.7258946301
TRPC1	-0.6627534343	8.2262478619	-3.8309671611	0.0001403557	0.0008881906	-0.5016342165
TRPC2	-0.0053239606	6.2516026593	-0.2208375837	0.4636473353	0.5671730524	-7.4478663362
TRPC3	-0.2273258476	6.3971749686	-1.273659041	0.2032516378	0.4170039772	-6.944356997
TRPC4	-0.0508168567	6.5611264899	-0.9697567986	0.3325380302	0.5684850045	-7.2844797928
TRPC4AP	-0.6213570627	9.327164985	-5.0397992937	1.08782143672781e-06	1.7410491496997e-06	4.7200552489
TRPC5	-0.06789487	6.4113273415	-1.1323779503	0.2579042231	0.4857856177	-7.1138926958
TRPC6	-0.0008669728	6.194499788	-0.0086126379	0.9931309071	0.9968423364	-7.754200888
TRPC7	-0.0576700085	6.1332087375	-1.4292701034	0.1534198018	0.3453496774	-6.7347096714
TRPM1	-0.0019124015	6.3719749749	-0.0193040593	0.9846046272	0.9929405215	-7.7540516872
TRPM2	-0.0808005436	6.2721791409	-1.4041965143	0.1646308196	0.2976186209	-6.7608857865
TRPM3	0.1139962243	6.3620461494	1.1020366761	0.340489358	0.1394667277	-6.7050757004
TRPM4	-0.895260044	8.2966939137	-3.3934971876	0.0007331157	0.0040006685	-2.0494487192
TRPM5	-0.0888376611	6.1078926746	-1.9211889724	0.055156557	0.1626966865	-5.9145393244
TRPM6	0.3272596265	6.2219861067	7.2240154968	1.45533419858084e-12	2.59286644787521e-11	17.311764277
TRPM7	0.0268422782	6.4784576857	0.5660181428	0.5715819948	0.7686680105	-7.5941265716
TRPM8	0.0025348908	6.3751357179	0.0470268373	0.6630448316	0.8097910156	-7.6579465283
TRPS1	-0.4293057968	7.0674731436	-4.186723308	3.23110561454271e-05	0.0002285583	0.8887893746
TRPT1	-0.0052145369	8.0762494764	-0.8001075618	0.2814138779	0.0921620546	-6.4320539075
TRPV1	-0.081391639	6.3109276508	-1.4200291466	0.2494156009	0.0837996691	-6.5177252322
TRPV2	-0.9912876865	7.3828928331	-2.0135625517	0.0444780974	0.1376905695	-5.7339535164
TRPV3	-0.1253757032	6.3509078726	-2.2216212019	0.0266617187	0.0917226043	-5.2965806919
TRPV4	-0.0321984917	6.4967006691	-0.5889143449	0.5602259294	0.68910265	-7.5705201583
TRPV5	-0.0893870887	6.3861626675	-1.7008050135	0.1140562619	0.1183385984	-6.2353129975
TRPV6	0.0964050267	6.3535875006	1.9464243283	0.3364789807	0.0072545268	-4.9056466965
TRQ1	0.2863744843	6.6149739234	4.9362976027	1.01945809974732e-06	9.0900557880245e-06	4.197562369
TRR1	0.0242967362	6.3552687288	0.455522779	0.6488893575	0.8220742323	-7.6505279982
TRRAP	0.1130414206	9.4295185977	0.8086774694	0.4190044438	0.6509011606	-7.4275014402
TRUB1	0.3415392418	6.9003052896	3.2470112053	0.001227809	0.0063768032	-2.527368731
TRUB2	0.1736663366	7.0030335667	2.2723569564	0.0233994092	0.0824944015	-5.1835072705
TRY1	0.0007850081	6.4471080531	0.0156727262	0.9875004229	0.9942768102	-7.754115179
TRY6	-0.1071131072	6.3675319999	-1.848469628	0.0650005054	0.1849038138	-6.0508055704
TRYX3	-0.0023078199	6.2948624612	-0.0510511566	0.9593008576	0.9824523788	-7.752935156
TSC1	-0.1104452202	7.3463461935	-0.549996428	0.2365963879	0.0084491327	-5.142937002
TSC2	-0.1862295291	7.1292467571	-1.5491082515	0.1424869976	0.0002459243	-3.18393035
TSC22D1	-0.4818999783	8.4600453835	-1.4728754593	0.2176306705	0.075511801	-6.1134817016
TSC22D2	-0.6983462642	8.5019502859	-2.7452758035	0.0063019492	0.0229784242	-4.0075104701
TSC22D3	-0.9807858495	7.9913364753	-2.8123094397	0.0278932424	0.0024002859	-3.5607262233
TSC22D4	-0.4052685069	7.227044031	-3.4931815673	0.0005105595	0.0028844778	-1.7126001281
TSEN15	0.2258851817	7.0024342861	1.5388521628	0.2963764854	0.0464888958	-6.0919249542
TSEN2	0.7225935295	7.8257647782	6.1933527002	1.05994038343636e-09	1.37580287975676e-08	10.8608474013
TSEN34	-1.2623283727	10.2675554932	-10.7995681311	1.53727719744474e-19	1.26828799971318e-29	46.4359844572
TSEN54	0.3643200501	6.8453803634	3.546967241	0.0004184853	0.0024095428	-1.5269534761
TSFM	0.4588263585	7.381552371	6.7972971517	2.46652237033653e-11	3.88062352009875e-10	14.5368702333
TSG1	0.0894241047	6.4358463203	1.8274837029	0.0680975847	0.191593447	-6.0891634377
TSG101	-0.4060195302	10.0949121814	-4.1193374327	4.30409194501116e-05	0.0002982853	0.6164307026
TSGA10	0.1053876336	6.3802597659	2.3033684814	0.2314482849	0.0001614463	-3.20602664
TSGA10IP	0.2646365916	6.3655512162	5.399824069	9.44657268159784e-08	9.69937118096843e-07	6.4952599202
TSGA13	-0.0124840317	6.1769705482	-0.296466659	0.7669709453	0.8904381475	-7.7103047401
TSGA14	0.1277841773	7.5391623581	0.8206265455	0.4522234956	0.4321828358	-7.3294210382
TSHB	-0.0283058822	6.1598609942	-0.620199409	0.5353496606	0.7437689192	-7.5620163778
TSHR	-0.0169417551	6.3466574891	-0.3179320745	0.5850369739	0.4977341777	-7.5310336524
TSHZ1	-1.296871129	7.8224058007	-6.3169700613	5.02710466975221e-10	6.78386230448761e-09	11.5888406795
TSHZ2	-0.1950883844	6.5144582399	-1.0640208638	0.2877248667	0.5204751348	-7.1888023138
TSHZ3	-0.7933724689	8.3645187698	-2.338000181	0.0196976871	0.0714164011	-5.0334838404
TSIX	0.056980834	6.2975364062	1.1790508744	0.238820789	0.4627018084	-7.0600781227
TSKS	0.0205462754	6.1184855011	0.4378816266	0.6616214341	0.8291949784	-7.6584040667
TSKU	-0.9615958999	9.8694671271	-2.9835129892	0.0029593064	0.0139952937	-3.3356156575
TSLP	-0.1552688255	6.4429058393	-2.6509793906	0.0117533815	0.0141714102	-4.2085070579
TSN	-0.0971251248	6.2476661651	-1.409355866	0.1592209244	0.3544237667	-6.7628780158
TSNARE1	-0.0772681225	6.2408448537	-1.6714928406	0.0951184866	0.2454270003	-6.3606882436
TSNAX	-0.0091860541	7.6405138863	-0.1156334356	0.754836305	0.8324521528	-7.6981164075
TSNAXIP1	-0.2755626537	6.5060249546	-3.6096000142	0.0003309076	0.0019441594	-1.3073361996
T-SP1	-0.0088544996	6.5058376843	-0.1865472726	0.8520753659	0.9337657859	-7.7368424471
TSP50	0.086781533	6.373481981	1.9446854107	0.0522552811	0.155910877	-5.8693993397
TSPAN1	-0.2380417884	6.5636193955	-2.3932881754	0.0169883467	0.0631047269	-4.9038696163
TSPAN10	-1.1803069606	7.6062975437	-2.7439961072	0.0062416047	0.0268356208	-4.0125781513
TSPAN11	-0.1327537829	6.3565540974	-1.5393579361	0.2672092444	0.0575965253	-6.1767211738
TSPAN12	0.2294972763	6.4522207681	1.7655971176	0.2596674219	0.0186735577	-5.5885249641
TSPAN13	0.3629097831	7.67287725	0.7168436676	0.4842709167	0.2694986026	-7.1003944295
TSPAN14	-0.4358318968	7.710036857	-2.0108008015	0.0447699519	0.138367334	-5.739474034
TSPAN15	0.1544838918	6.6407199721	1.0136804475	0.3111224619	0.5464752347	-7.2409974598
TSPAN16	-0.0634387426	6.1834071751	-1.4047041516	0.1605996605	0.3563005574	-6.7694012011
TSPAN17	-0.0945801351	9.1880362813	-0.7260176673	0.5145920241	0.4558323952	-7.3819208532
TSPAN18	0.0378539408	6.5878960574	-0.6511564012	0.2713674327	0.3070197257	-7.0401924753
TSPAN19	-0.046951144	6.4493617538	-0.7189280251	0.472450505	0.6957878863	-7.495973358
TSPAN2	0.0475698777	6.4661762991	0.0570570286	0.4078929148	0.6105893394	-7.4088395371
TSPAN3	-1.1101933022	10.6497150554	-6.0383280152	0.000639468	2.73686784253663e-16	13.261568811
TSPAN31	-1.1025361219	8.9508253791	-8.1731958167	1.6388529064224e-15	3.91327915183197e-14	23.9890788725
TSPAN32	-0.2169475425	6.5192808442	-1.2498876053	0.2590895678	0.1716521942	-6.8641130362
TSPAN33	2.1389060151	6.5506372679	13.6794772757	1.65704827634365e-37	1.67230869957237e-35	74.1790376015
TSPAN4	-0.900831265	8.3037752511	-5.0700698223	0.0051669328	1.9892365701676e-11	6.8264130186
TSPAN5	-1.1467829981	9.5849512075	-4.416087909	1.1818312362779e-05	9.00743442321148e-05	1.8470815249
TSPAN6	0.1115712594	8.4716446615	0.4634244919	0.6720919877	0.6093361752	-7.5564298253
TSPAN7	1.0644371859	6.4990230009	5.1475226284	1.91772319673688e-06	2.96152115052963e-07	5.3248009645
TSPAN8	-0.0659183711	6.4727552087	-0.582877785	0.5601831066	0.7609654665	-7.5844488329
TSPAN9	-1.3478770417	10.9093200098	-4.9799899197	8.2107098964214e-07	7.42627420754268e-06	4.4060364252
TSPO	-2.4613754322	10.33609921	-3.6301700996	0.0007342169	0.0003594575	-1.161544772
TSPY1	-0.0120129293	6.303310531	-0.3828572807	0.4340005143	0.4407809575	-7.3274976159
TSPY2	-0.0318657989	6.3440065286	-0.6618677734	0.5630397223	0.4599208011	-7.3989532692
TSPY3	0.156069371	6.4082114068	2.6738209996	0.0076927154	0.0321962465	-4.2004512664
TSPYL1	-0.0601336832	9.1972071314	-0.4571477221	0.6477216782	0.8214368519	-7.6497868916
TSPYL2	-0.2287641129	6.9588662863	-1.4255416992	0.371482793	0.0037758937	-5.8482258005
TSPYL3	-0.0685215755	7.2538253648	0.1863040035	0.2899099761	0.4211168108	-7.1570140261
TSPYL4	-0.2630150653	7.0778321652	-2.0936717133	0.0366864051	0.118343578	-5.5705679183
TSPYL5	0.7224325413	6.6745498415	2.3161427118	0.0208689326	0.075017928	-5.0839041776
TSPYL6	-0.338066663	6.806518326	-3.1323084524	0.0018143858	0.0090633753	-2.8873517215
TSR1	0.2742359579	7.278166966	1.9614779683	0.313139476	9.23566188803008e-05	-2.9068949668
TSR2	0.3796282856	9.4169099327	3.6155000192	0.0003236109	0.0019048441	-1.2864580958
TSSC1	0.2336295729	8.346465196	1.9033491512	0.0574482153	0.1679460669	-5.9484499232
TSSC4	-0.2836496725	9.0834549917	-2.0210335967	0.0436966304	0.1356601383	-5.7189820084
TSSK1B	0.0211734533	6.3215874129	0.3663309434	0.7142405187	0.8603711888	-7.6871611122
TSSK2	0.0729294051	6.4703573645	1.2663898112	0.2058392561	0.4200472631	-6.9535635085
TSSK3	0.0231344479	6.4098502194	0.5134474515	0.6078174754	0.7946583397	-7.6224811687
TSSK4	0.0526015685	6.4050760644	1.0899123726	0.2761663759	0.5071010769	-7.1609754158
TSSK6	0.0516821869	6.5237541486	1.0302264199	0.3032971094	0.5380291371	-7.2241199693
TST	-0.6094147609	10.570669815	-2.6689712893	0.0078033984	0.0325844143	-4.213259205
TSTA3	-0.0022295542	7.8104009589	-0.0151836745	0.9878904291	0.9944615579	-7.7541227225
TSTD1	1.0222560776	6.6385116384	7.8201873896	1.98143036069418e-06	4.33824815872462e-24	25.1764284757
TSTD2	0.0791820669	6.9595255644	1.1308518864	0.2585456025	0.4862955419	-7.11561573
TTBK1	-0.0083324068	6.2152020734	-0.1864994565	0.8521128439	0.9337792089	-7.7368513634
TTBK2	-0.0619745885	6.2596892688	-1.2991929281	0.1943506118	0.4049485507	-6.9116027574
TTC1	-0.0967923989	8.5395747635	-0.7572343529	0.4491911749	0.677233547	-7.4677309439
