,SYMBOL,logFC,adj.P.Val
166,AC000089.3,0.680708385263,1.0
167,AC000095.9,0.0,1.0
168,AC000099.1,0.0,1.0
169,AC000110.1,-0.0841342877073,1.0
170,AC000111.3,0.0,1.0
171,AC000111.4,0.0,1.0
172,AC000111.5,0.0,1.0
173,AC000111.6,0.0,1.0
174,AC000120.7,0.303182185042,1.0
175,AC000123.4,0.277421972915,1.0
176,AC000124.1,0.0,1.0
177,AC000362.1,0.0,1.0
178,AC000367.1,0.0,1.0
179,AC000370.2,0.0,1.0
180,AC000374.1,0.0,1.0
181,AC000403.1,0.0,1.0
182,AC002044.4,0.0,1.0
183,AC002056.3,0.143064453216,1.0
184,AC002056.5,0.0,1.0
185,AC002059.10,-0.164497060722,1.0
186,AC002064.4,inf,1.0
187,AC002064.5,0.0,1.0
188,AC002066.1,0.266726129744,1.0
189,AC002066.2,0.0,1.0
190,AC002069.5,0.0627820139287,1.0
191,AC002069.6,0.0,1.0
192,AC002070.1,0.0,1.0
193,AC002075.3,inf,1.0
194,AC002075.4,0.0,1.0
195,AC002076.10,0.0,1.0
196,AC002115.5,0.0,1.0
197,AC002115.9,0.0,1.0
198,AC002116.7,-0.47397615775,1.0
199,AC002116.8,0.0,1.0
200,AC002117.1,inf,1.0
201,AC002127.2,0.0,1.0
202,AC002127.4,0.0,1.0
203,AC002128.5,0.0,1.0
204,AC002306.1,0.0,1.0
205,AC002310.10,1.42790227585,1.0
206,AC002310.12,-0.0227369125411,1.0
207,AC002310.13,0.0,1.0
208,AC002310.17,0.0,1.0
209,AC002310.7,inf,1.0
210,AC002314.4,0.0,1.0
211,AC002331.1,0.0,1.0
212,AC002365.1,0.0,1.0
213,AC002366.3,0.0,1.0
214,AC002368.4,0.0,1.0
215,AC002383.2,0.0,1.0
216,AC002386.1,0.0,1.0
217,AC002395.1,0.0,1.0
218,AC002398.11,0.118952563795,1.0
219,AC002398.12,0.0,1.0
220,AC002398.13,1.07537924472,1.0
221,AC002398.5,0.0,1.0
222,AC002398.9,0.0,1.0
223,AC002400.1,0.0,1.0
224,AC002401.1,0.0,1.0
225,AC002429.4,0.0,1.0
226,AC002429.5,0.0,1.0
227,AC002451.1,0.0,1.0
228,AC002451.3,0.0,1.0
229,AC002454.1,inf,1.0
230,AC002456.2,0.0,1.0
231,AC002463.3,0.0,1.0
232,AC002465.2,0.0,1.0
233,AC002467.7,-0.384423502293,1.0
234,AC002472.1,0.0,1.0
235,AC002472.11,0.0,1.0
236,AC002472.13,inf,1.0
237,AC002477.1,0.0,1.0
238,AC002480.2,0.0,1.0
239,AC002480.3,0.0,1.0
240,AC002480.4,0.0,1.0
241,AC002480.5,0.0,1.0
242,AC002485.1,0.0,1.0
243,AC002486.2,inf,1.0
244,AC002486.3,0.0,1.0
245,AC002511.1,0.0,1.0
246,AC002511.2,0.0,1.0
247,AC002511.3,0.0,1.0
248,AC002519.6,0.145767444431,1.0
249,AC002519.8,0.0,1.0
250,AC002523.1,0.0,1.0
251,AC002539.1,0.0,1.0
252,AC002539.2,0.0,1.0
253,AC002542.2,0.0,1.0
254,AC002543.2,inf,1.0
255,AC002550.5,0.0,1.0
256,AC002551.1,0.0,1.0
257,AC002553.1,inf,1.0
258,AC002553.4,0.0,1.0
259,AC002558.1,0.0,1.0
260,AC002978.1,0.0,1.0
261,AC002979.1,0.0,1.0
262,AC002981.1,0.0,1.0
263,AC002984.2,inf,1.0
264,AC002985.3,0.0,1.0
265,AC002992.1,0.0,1.0
266,AC002994.1,0.0,1.0
267,AC003001.1,0.0,1.0
268,AC003002.4,0.0,1.0
269,AC003002.6,0.481743564458,1.0
270,AC003003.5,-0.0987384592636,1.0
271,AC003005.2,inf,1.0
272,AC003005.4,0.0,1.0
273,AC003006.1,0.0,1.0
274,AC003006.7,0.0,1.0
275,AC003009.1,0.0,1.0
276,AC003009.2,-0.575461108166,1.0
277,AC003029.1,0.0,1.0
278,AC003035.1,0.0,1.0
279,AC003043.1,0.0,1.0
280,AC003045.1,0.0,1.0
281,AC003051.1,-inf,1.0
282,AC003075.4,0.0,1.0
283,AC003079.1,0.0,1.0
284,AC003080.4,0.0,1.0
285,AC003084.2,0.0,1.0
286,AC003088.1,-0.445060998235,1.0
287,AC003090.1,0.0,1.0
288,AC003092.1,0.0,1.0
289,AC003092.2,0.0,1.0
290,AC003101.1,0.0,1.0
291,AC003102.1,0.0,1.0
292,AC003102.3,-0.151518677887,1.0
293,AC003104.1,0.360386857666,1.0
294,AC003658.1,0.0,1.0
295,AC003664.1,0.0,1.0
296,AC003665.1,0.110817575239,1.0
297,AC003666.1,0.0,1.0
298,AC003681.1,0.0,1.0
299,AC003682.16,0.0,1.0
300,AC003682.17,0.0475021659167,1.0
301,AC003956.1,inf,1.0
302,AC003958.2,0.0,1.0
303,AC003958.6,0.0,1.0
304,AC003968.1,0.0,1.0
305,AC003973.1,0.0,1.0
306,AC003973.4,0.0,1.0
307,AC003973.5,0.0,1.0
308,AC003973.6,0.0,1.0
309,AC003984.1,0.0,1.0
310,AC003985.1,0.0,1.0
311,AC003986.5,0.0,1.0
312,AC003986.6,0.0,1.0
313,AC003986.7,0.0,1.0
314,AC003988.1,0.0,1.0
315,AC003989.3,0.0,1.0
316,AC003989.4,0.0,1.0
317,AC003991.3,0.0,1.0
318,AC004000.1,0.0,1.0
319,AC004004.2,0.0,1.0
320,AC004006.2,0.0,1.0
321,AC004009.3,0.0,1.0
322,AC004012.1,-1.70697831108,0.419079319417
323,AC004014.3,0.0,1.0
324,AC004014.4,0.196556237484,1.0
325,AC004016.1,0.0,1.0
326,AC004016.2,0.0,1.0
327,AC004017.1,0.0,1.0
328,AC004019.10,0.0,1.0
329,AC004019.13,0.981743564458,1.0
330,AC004019.18,0.0,1.0
331,AC004022.7,0.0,1.0
332,AC004022.8,0.920465439999,1.0
333,AC004041.2,inf,1.0
334,AC004051.2,0.0,1.0
335,AC004052.1,0.0,1.0
336,AC004053.1,0.0,1.0
337,AC004054.1,0.0,1.0
338,AC004057.1,0.0,1.0
339,AC004062.2,0.0,1.0
340,AC004063.1,0.0,1.0
341,AC004066.2,0.435188862263,1.0
342,AC004066.3,0.0,1.0
343,AC004067.5,0.152868108026,1.0
344,AC004069.1,0.0,1.0
345,AC004069.2,-inf,1.0
346,AC004070.1,0.0,1.0
347,AC004074.3,-0.00779034214965,1.0
348,AC004074.4,0.0,1.0
349,AC004076.7,0.0,1.0
350,AC004076.9,0.0,1.0
351,AC004079.1,0.0,1.0
352,AC004112.4,inf,1.0
353,AC004112.5,0.0,1.0
354,AC004112.7,0.0,1.0
355,AC004125.3,0.0,1.0
356,AC004129.7,0.0,1.0
357,AC004129.9,0.0,1.0
358,AC004156.3,0.401261540736,1.0
359,AC004158.2,0.176230835799,1.0
360,AC004158.3,0.0,1.0
361,AC004159.1,0.0,1.0
362,AC004160.4,0.0,1.0
363,AC004166.6,0.701611014202,1.0
364,AC004221.2,inf,1.0
365,AC004231.2,0.0,1.0
366,AC004237.1,inf,1.0
367,AC004257.1,0.0,1.0
368,AC004257.3,-0.0062081392444,1.0
369,AC004381.6,0.167316784382,1.0
370,AC004381.7,0.0,1.0
371,AC004383.3,0.383664208764,1.0
372,AC004386.3,0.0,1.0
373,AC004386.4,-0.415125050784,1.0
374,AC004410.3,inf,1.0
375,AC004447.2,-0.140949807802,1.0
376,AC004448.2,0.0,1.0
377,AC004448.5,0.0,1.0
378,AC004449.6,0.416518899086,1.0
379,AC004453.8,-0.0654323263829,1.0
380,AC004458.1,0.0,1.0
381,AC004460.1,0.0,1.0
382,AC004461.4,0.0,1.0
383,AC004463.6,0.281525315848,1.0
384,AC004466.1,inf,1.0
385,AC004471.10,0.981743564458,8.86837015959e-06
386,AC004471.9,inf,1.0
387,AC004485.3,0.0,1.0
388,AC004490.1,0.0,1.0
389,AC004492.1,0.0,1.0
390,AC004510.3,0.0,1.0
391,AC004520.1,0.0,1.0
392,AC004528.1,0.0,1.0
393,AC004528.4,inf,1.0
394,AC004535.2,0.0,1.0
395,AC004538.3,0.547502165917,1.0
396,AC004540.4,-inf,1.0
397,AC004540.5,0.339983416277,1.0
398,AC004543.1,0.0,1.0
399,AC004543.2,0.0,1.0
400,AC004549.6,0.0,1.0
401,AC004552.1,0.0,1.0
402,AC004562.1,0.0,1.0
403,AC004593.3,0.0,1.0
404,AC004595.1,0.0,1.0
405,AC004603.4,0.0,1.0
406,AC004623.2,0.0,1.0
407,AC004637.1,0.274224814819,1.0
408,AC004655.1,0.0,1.0
409,AC004656.1,0.0,1.0
410,AC004673.1,0.0,1.0
411,AC004691.5,inf,1.0
412,AC004692.4,0.0,1.0
413,AC004692.5,inf,1.0
414,AC004699.1,0.0,1.0
415,AC004702.2,0.0,1.0
416,AC004706.1,0.0,1.0
417,AC004744.3,0.0,1.0
418,AC004745.1,0.0,1.0
419,AC004769.1,0.0,1.0
420,AC004771.1,0.231743564458,1.0
421,AC004775.5,0.0,1.0
422,AC004791.2,0.0,1.0
423,AC004797.1,0.134471240773,1.0
424,AC004812.1,0.0,1.0
425,AC004817.1,0.0,1.0
426,AC004824.1,0.0,1.0
427,AC004824.2,0.0,1.0
428,AC004832.1,0.0,1.0
429,AC004837.3,0.0,1.0
430,AC004837.4,0.0,1.0
431,AC004837.5,inf,1.0
432,AC004840.8,0.0,1.0
433,AC004840.9,-0.294308474816,1.0
434,AC004851.1,0.0,1.0
435,AC004854.4,0.0,1.0
436,AC004854.5,0.0,1.0
437,AC004862.6,0.0,1.0
438,AC004866.1,0.0,1.0
439,AC004866.3,0.0,1.0
440,AC004869.2,0.0,1.0
441,AC004869.3,0.0,1.0
442,AC004870.3,0.0,1.0
443,AC004870.4,0.0,1.0
444,AC004870.5,0.0,1.0
445,AC004875.1,0.0,1.0
446,AC004878.2,0.0,1.0
447,AC004878.3,0.0,1.0
448,AC004878.5,0.0,1.0
449,AC004878.6,0.0,1.0
450,AC004878.7,0.0,1.0
451,AC004878.8,0.0,1.0
452,AC004889.1,0.0,1.0
453,AC004893.10,-1.29045349522,1.0
454,AC004893.11,-0.148492937504,1.0
455,AC004895.1,0.0,1.0
456,AC004895.4,0.0,1.0
457,AC004899.1,0.0,1.0
