SYMBOL,Norm.y.4,Tumour_24h_10nmol_resveratrol,Norm.y.5,Tumour_24h_50micromol_resveratrol,Norm.x.5,Tumour_48h_10nmol_resveratrol,Norm.x.6,Tumour_48h_50micromol_resveratrol
AARSD1,41.0113414689,42.7260843882,41.0113414689,32.6159293695,35.32500319,37.5620841338,35.32500319,27.0141174607
AASDH,161.92932714,150.438904984,161.92932714,233.639528523,197.427343253,189.325730652,197.427343253,180.399303908
AASDHPPT,289.094120776,273.734209259,289.094120776,257.536248974,312.415802241,269.797114819,312.415802241,225.349607976
AASS,84.7693360431,69.402096296,84.7693360431,79.9362691518,64.5927671943,42.4149625914,64.5927671943,48.9880471957
AATF,342.690115389,328.842040832,342.690115389,264.049253453,270.422161757,303.822338636,270.422161757,308.320755971
AATK,20.7912727236,24.8919434522,20.7912727236,23.3364102812,25.8169762799,20.2890950033,25.8169762799,20.7875937102
ABAT,251.805385948,240.953276907,251.805385948,221.95535198,212.968469689,192.345510058,212.968469689,140.580924278
ABCA1,110.884324367,112.596333339,110.884324367,93.3350808456,108.690680965,100.371609017,108.690680965,121.86610798
ABCA11P,48.0152367557,56.8774420405,48.0152367557,49.5261346756,40.1383028123,42.0549090617,40.1383028123,35.559311623
ABCA12,50.4078577455,136.26294534,50.4078577455,126.166967927,137.971467284,356.157954898,137.971467284,211.797140421
