SYMBOL,Norm.y.2,Tumour_24h_2millimol_Metformin_hydrochloride,Norm.y.3,Tumour_24h_4millimol_Metformin_hydrochloride,Norm.x.3,Tumour_48h_2millimol_Metformin_hydrochloride,Norm.x.4,Tumour_48h_4millimol_Metformin_hydrochloride
ABCB1,9.75408178664,10.4159312171,9.75408178664,9.96619441598,9.66986169855,10.5128815522,9.66986169855,10.47329447
ABCB1 ,13.8507240463,15.6061356592,13.8507240463,15.850054526,14.0451695319,13.14186701,14.0451695319,17.6328451225
ABCB10,317.51938773,278.374032096,317.51938773,284.598507593,259.385849911,326.576350672,259.385849911,318.110150918
ABCB11,13.7563934914,14.144815758,13.7563934914,13.749571103,15.8182854408,13.260536726,15.8182854408,13.1144707595
ABCB4,14.0406800774,15.7363619891,14.0406800774,14.7506491033,15.9784992761,15.7475731074,15.9784992761,15.8102316388
ABCB5,19.1735264122,17.747504977,19.1735264122,18.4687826404,17.0242640091,17.6328451225,17.0242640091,17.8624776074
ABCB6,16.5896964191,15.9362985667,16.5896964191,14.3569320466,16.9169471033,17.6841218736,16.9169471033,18.0741325803
ABCB7,285.167489816,293.259509182,285.167489816,273.12555251,264.576424699,258.22709712,264.576424699,244.644842332
ABCB8,25.7151498517,26.8276266051,25.7151498517,19.3141943147,28.1605483836,23.8789178792,28.1605483836,26.1998560003
ABCB9,26.0472022444,24.489826736,26.0472022444,23.8968662982,21.940977419,23.1301735358,21.940977419,22.6006645737
ABCC1,146.771746056,143.040010244,146.771746056,177.134543698,177.543538193,233.824276394,177.543538193,203.093229408
ABCC10,233.111715981,252.605088461,233.111715981,227.8051793,258.054181706,229.119523845,258.054181706,226.55459801
ABCC11,21.8878885472,21.2301238757,21.8878885472,20.3994883377,19.8154043327,21.6012334133,19.8154043327,21.0873344593
ABCC12,15.5361860111,14.9155454769,15.5361860111,16.3901644949,16.1851110803,14.385204847,16.1851110803,15.1103562893
ABCC13,13.5690598149,15.0376764559,13.5690598149,14.5041082023,13.818412643,14.7786601026,13.818412643,15.5051653913
ABCC2,18.0438128224,19.7959859156,18.0438128224,18.2666787114,19.6127942207,18.9608330542,19.6127942207,24.75339638
ABCC3,65.0860633084,66.0577203523,65.0860633084,62.9996407274,60.6263635976,62.4454271664,60.6263635976,60.3284646183
ABCC4,50.10657686,44.4507771555,50.10657686,43.9132183256,37.0623070362,37.0060422973,37.0623070362,31.8410115771
