SYMBOL,Norm.y.6,Tumour_24h_01micromol_Retinoic.acid,Norm.y.7,Tumour_24h_1micromol_Retinoic.acid,Norm.x.7,Tumour_48h_01micromol_Retinoic.acid,Norm,Tumour_48h_1micromol_Retinoic.acid
A1BG,23.6962449808,17.3584481503,23.6962449808,23.8562133282,22.0758510671,22.3274938708,22.0758510671,21.999983545
A1CF,19.2139395309,25.0853276238,19.2139395309,23.3141813674,22.6391561416,26.0847561471,22.6391561416,24.3072552823
A2BP1,21.0055776801,19.2504758279,21.0055776801,20.3203040391,22.120773714,19.5121617499,22.120773714,21.3402191708
A2LD1,30.5854435359,29.8534109279,30.5854435359,26.2069441261,27.6969018299,28.1234050001,27.6969018299,33.5967196657
A2M,14.6140735056,13.8806620178,14.6140735056,13.7009870403,12.4775074823,13.0777507167,12.4775074823,13.6863453381
A2ML1,80.5504142224,69.0266328832,80.5504142224,61.2230301528,178.450147284,89.4340141508,178.450147284,107.431411543
A4GALT,25.373781614,17.4412643107,25.373781614,16.2569708063,18.0976787772,16.2105575809,18.0976787772,15.2633423665
A4GNT,19.8453609402,20.7538345177,19.8453609402,19.9149784908,19.7646903732,20.1460862741,19.7646903732,19.9729394792
AAA1,17.2408614154,16.4776660159,17.2408614154,17.8661872269,16.4480091096,17.6567369689,16.4480091096,16.2306288134
AAAS,62.0167927576,56.2401539592,62.0167927576,52.396953441,57.2749251541,63.7539401193,57.2749251541,56.7442103577
AACS,493.389728718,499.862669936,493.389728718,451.88927602,459.379300475,463.771024535,459.379300475,447.588370485
AACSL,13.5417515739,14.7590844531,13.5417515739,15.9121448307,14.9683743842,12.9934984965,14.9683743842,15.020273688
AADAC,17.3344297095,19.1949062029,17.3344297095,20.1840957694,18.7545524101,16.7536875149,18.7545524101,18.1229305855
AADACL2,15.6343753578,15.7744588497,15.6343753578,15.2093813789,15.6394649339,15.7466196464,15.6394649339,15.4512723399
AADAT,38.5017813147,44.9470111355,38.5017813147,33.3737564834,25.7168013463,35.7535219616,25.7168013463,38.6726792861
AAGAB,71.370274114,63.29737238,71.370274114,67.6573246985,74.2570383223,76.6590732687,74.2570383223,69.8045948456
AAK1,42.7975093309,46.6738652581,42.7975093309,48.4559263425,47.9221394226,45.8793312517,47.9221394226,48.0872731542
AAMP,386.999240864,404.826447966,386.999240864,358.710134127,312.6303289,284.387453095,312.6303289,289.551651416
AANAT,18.3957457445,14.0953079954,18.3957457445,13.583308539,14.7559626949,13.9705917634,14.7559626949,15.0310401585
AARS,405.959930764,390.798085749,405.959930764,413.61728218,565.458061846,487.967995526,565.458061846,498.768054472
AARS2,56.2922640072,58.6343445809,56.2922640072,57.2953132065,59.9898795018,58.1790913504,59.9898795018,61.283564026
AARSD1,41.0113414689,41.7068621996,41.0113414689,44.3135880132,35.32500319,35.0984562408,35.32500319,32.9769334301
AASDH,161.92932714,148.556492865,161.92932714,155.816326812,197.427343253,163.348250185,197.427343253,152.326687274
AASDHPPT,289.094120776,286.42311052,289.094120776,303.946528906,312.415802241,306.584415053,312.415802241,293.003228714
AASS,84.7693360431,66.2689798428,84.7693360431,57.6621854775,64.5927671943,61.9467128843,64.5927671943,54.2682251281
AATF,342.690115389,319.647941423,342.690115389,322.232382644,270.422161757,249.698077225,270.422161757,259.385849911
AATK,20.7912727236,21.2746731952,20.7912727236,25.3030212427,25.8169762799,27.5871875321,25.8169762799,25.269188698
ABAT,251.805385948,302.437358593,251.805385948,265.577792269,212.968469689,251.265724676,212.968469689,256.328416952
ABCA1,110.884324367,109.165297269,110.884324367,139.315556117,108.690680965,119.677563575,108.690680965,154.034647776
ABCA11P,48.0152367557,46.6507071788,48.0152367557,49.2890481787,40.1383028123,48.0473859633,40.1383028123,57.5162807415
ABCA12,50.4078577455,43.2256222957,50.4078577455,38.3881714643,137.971467284,72.3672476161,137.971467284,80.9180889581
ABCA13,11.432040345,11.4110641775,11.432040345,11.5949960863,10.7549398031,11.3245936486,10.7549398031,10.9260273798
ABCA17P,15.39921524,15.0401240472,15.39921524,13.9902647272,13.2187543195,14.5441380952,13.2187543195,17.0549649667
ABCA2,19.2209395089,21.2541187137,19.2209395089,20.8788418593,24.2443529204,21.6557759168,24.2443529204,19.766348505
ABCA3,25.1682532628,25.2999980202,25.1682532628,24.4344708351,23.8329604019,31.1394425026,23.8329604019,24.3800783464
ABCA4,16.2355967225,15.1728978796,16.2355967225,16.7403713961,16.4496506594,17.8214265675,16.4496506594,15.5889366895
ABCA5,49.40514214,48.4006193612,49.40514214,48.4434544719,62.8583998369,77.5760362883,62.8583998369,62.2045385711
ABCA6,9.72743131764,12.2976528843,9.72743131764,11.4452103735,11.4202347812,11.1137024733,11.4202347812,11.0256032693
ABCA7,38.445341391,35.1689629648,38.445341391,30.0925897428,39.2434977484,43.796321783,39.2434977484,59.3976542517
ABCA8,15.8570033411,17.1138133801,15.8570033411,17.5754248303,16.8356588087,17.4828195517,16.8356588087,18.1299649099
ABCA9,14.1034236111,15.074312807,14.1034236111,14.8742124961,14.6310078547,14.0243864188,14.6310078547,14.3143849342
ABCB1,9.75408178664,9.91552019915,9.75408178664,10.1933920459,9.66986169855,9.96619441598,9.66986169855,9.98742459737
ABCB1 ,13.8507240463,14.4230047949,13.8507240463,12.4140164914,14.0451695319,14.8493381689,14.0451695319,15.1458621328
ABCB10,317.51938773,320.851565433,317.51938773,278.081281678,259.385849911,306.874927273,259.385849911,311.831184685
ABCB11,13.7563934914,13.453473982,13.7563934914,15.3830094592,15.8182854408,13.9157293794,15.8182854408,13.8148598729
ABCB4,14.0406800774,15.5980112334,14.0406800774,16.6443893854,15.9784992761,15.8618356263,15.9784992761,14.4425300118
ABCB5,19.1735264122,18.6152752231,19.1735264122,20.4092338532,17.0242640091,17.7731163313,17.0242640091,17.5254577279
ABCB6,16.5896964191,13.8632612548,16.5896964191,16.4265522326,16.9169471033,15.3295344266,16.9169471033,15.7088797725
ABCB7,285.167489816,252.067672193,285.167489816,273.617376931,264.576424699,200.269027282,264.576424699,233.824276394
ABCB8,25.7151498517,25.9835449395,25.7151498517,28.1992928189,28.1605483836,28.0044674604,28.1605483836,24.489826736
ABCB9,26.0472022444,24.5943247708,26.0472022444,24.6554678355,21.940977419,23.6843507806,21.940977419,25.2723334445
ABCC1,146.771746056,155.457291119,146.771746056,167.379852543,177.543538193,175.401462633,177.543538193,165.793993614
ABCC10,233.111715981,272.957564735,233.111715981,299.234833749,258.054181706,341.49271279,258.054181706,328.743888069
ABCC11,21.8878885472,23.3218914056,21.8878885472,21.432351279,19.8154043327,19.2301679451,19.8154043327,19.6265127301
ABCC12,15.5361860111,17.447850549,15.5361860111,15.2800864117,16.1851110803,15.4792050868,16.1851110803,15.850247308
ABCC13,13.5690598149,13.9870279783,13.5690598149,14.8107113908,13.818412643,14.9054702156,13.818412643,15.189000494
ABCC2,18.0438128224,15.7484436092,18.0438128224,17.3750306436,19.6127942207,16.0212387534,19.6127942207,17.7439817637
ABCC3,65.0860633084,62.6279067852,65.0860633084,65.9703531801,60.6263635976,64.6638953624,60.6263635976,82.8816612067
ABCC4,50.10657686,46.1039235332,50.10657686,46.8916188869,37.0623070362,34.1041038859,37.0623070362,35.3210212903
ABCC5,61.1539026129,69.4297164434,61.1539026129,72.3887841148,69.4297164434,69.6208908703,69.4297164434,70.0695817915
ABCC6 ,14.3505141749,14.7449073966,14.3505141749,13.8467161381,14.6905052271,13.0500979051,14.6905052271,14.6747365097
ABCC6P1,13.5776419526,15.8960918315,13.5776419526,14.0294800532,12.4198441948,13.8635646087,12.4198441948,13.6478679673
ABCC8,21.2150576201,17.2417341575,21.2150576201,22.0482074533,20.1751749042,20.7565757817,20.1751749042,19.7627589008
ABCC9,15.629786792,16.1445371536,15.629786792,17.0289432357,16.6693089726,17.1573778439,16.6693089726,17.039305364
ABCD1,18.5036409593,17.243753081,18.5036409593,15.3295344266,17.770965565,20.0289026032,17.770965565,18.9416592281
ABCD2,11.9043116551,12.0629450391,11.9043116551,13.2191976163,11.970174104,12.2579664843,11.970174104,13.1745039971
ABCD3,567.897164108,615.062794219,567.897164108,570.11035491,575.964842362,532.20362297,575.964842362,506.42451616
ABCD4,45.7511423592,54.9274983339,45.7511423592,51.2078030304,48.0396626655,54.2288662905,48.0396626655,62.8054939375
ABCE1,1165.35215272,1013.44604836,1165.35215272,962.55535072,830.074612754,813.850538234,830.074612754,780.950652676
ABCF1,598.569598409,649.034589312,598.569598409,591.882030012,542.869504378,530.873212775,542.869504378,533.729302308
ABCF2,121.823217263,103.770640656,121.823217263,105.24025805,100.454213322,92.1195293257,100.454213322,91.6068624454
ABCF3,118.60885628,110.904474824,118.60885628,101.55892357,93.2246161534,101.202479894,93.2246161534,119.048419183
ABCG1,145.497750168,83.3087080711,145.497750168,129.366431167,159.012201316,87.5319821535,159.012201316,181.427032295
ABCG2,80.98150211,72.5569201031,80.98150211,77.8633013011,86.8254052418,50.1801497923,86.8254052418,67.2193665332
ABCG4,18.2722157187,17.4412643107,18.2722157187,17.2643542544,19.2252545551,20.7280523589,19.2252545551,18.8078172146
ABCG5,13.0411129665,12.9581141516,13.0411129665,13.3277195076,12.4198441948,13.4149356459,12.4198441948,12.4340276497
ABCG8,22.1574319832,21.0632915264,22.1574319832,21.2646945409,20.8518202948,24.3590473337,20.8518202948,19.9521863762
ABHD1,17.1434916325,16.0790369522,17.1434916325,16.1004558607,15.3648945529,15.0670137508,15.3648945529,14.8380722778
ABHD10,157.772214234,153.46988233,157.772214234,146.524870559,166.382032286,146.598372108,166.382032286,167.921019611
ABHD11,46.3767255628,42.5987362253,46.3767255628,48.9880471957,36.5332651231,38.3022666983,36.5332651231,41.7938865995
ABHD12,56.3521113576,65.4245521506,56.3521113576,64.3458070454,66.790902351,59.5237912387,66.790902351,57.9028144906
ABHD12B,14.457100586,14.1868472321,14.457100586,13.3731541551,13.7995074377,12.8574140128,13.7995074377,14.6033170758
ABHD13,63.5416615249,55.7562707293,63.5416615249,64.0634537305,46.9619656903,52.3768525963,46.9619656903,50.3797613332
ABHD14A,49.5773098106,51.2078030304,49.5773098106,37.3199865301,45.4181162095,38.3570572069,45.4181162095,45.2694706987
ABHD14B,37.8768970502,45.8832255388,37.8768970502,56.3334709079,58.7489374582,55.0019405486,58.7489374582,55.3214289181
ABHD15,58.3521010719,60.0972944732,58.3521010719,49.4939777076,48.6356411356,42.7121745749,48.6356411356,57.4047891013
ABHD2,56.0319532669,57.725865612,56.0319532669,54.880776979,44.3776744842,54.9722922469,44.3776744842,51.8496560891
ABHD3,332.936569098,311.745339261,332.936569098,342.607743528,367.961762787,447.165059129,367.961762787,508.633691684
ABHD4,44.575216744,41.3497845823,44.575216744,46.9094606554,54.2512171889,43.9497645916,54.2512171889,46.0607818652
ABHD5,42.8457013131,39.6086211045,42.8457013131,37.9402892658,57.1330507005,43.6778386289,57.1330507005,43.5712625179
ABHD6,43.5323847783,44.0725394247,43.5323847783,39.6250267188,71.1119203226,43.7341671622,71.1119203226,40.0174135728
ABHD8,16.5522989618,14.4925829389,16.5522989618,13.1783803334,14.3877713633,14.284119022,14.3877713633,16.3823039496
ABI1,218.15876358,236.38919264,218.15876358,232.679937882,243.351986546,263.442386693,243.351986546,255.423035501
ABI2,94.2128780103,95.9075843093,94.2128780103,105.755637335,100.371609017,107.965636628,100.371609017,107.552378346
ABI3,23.2853098709,27.3450912696,23.2853098709,27.2111638725,24.3948147749,24.4227994341,24.3948147749,28.6928597083
ABI3BP,15.5391439688,14.8017585331,15.5391439688,14.2288814533,17.4209650567,15.3749988204,17.4209650567,15.4092871998
ABL1,328.302819472,323.84757526,328.302819472,331.486562138,326.662128998,291.764750633,326.662128998,310.816900142
ABL2,235.400548514,241.581099212,235.400548514,251.805385948,200.76645657,292.809438674,200.76645657,295.784532145
ABLIM1,365.954657562,273.2187918,365.954657562,331.731881085,583.617785314,276.713176928,583.617785314,288.875356631
ABLIM2,36.6092090319,36.9798244285,36.6092090319,38.5292763628,49.4627229204,41.3028358382,49.4627229204,35.591596681
ABLIM3,22.0832824712,23.5524785973,22.0832824712,22.1259114583,22.0191853955,24.0747571717,22.0191853955,23.2390257572
ABO,18.5922158313,21.1359737199,18.5922158313,24.2343946849,19.6871762096,23.6435078752,19.6871762096,23.8548448975
ABP1,12.9732538728,12.8274098173,12.9732538728,12.3866003163,12.7809193305,11.0615389448,12.7809193305,11.3415968377
ABR,98.8961196746,103.961958416,98.8961196746,104.305437132,120.208970645,112.135982019,120.208970645,126.391103252
ABRA,15.3277064749,13.3200017179,15.3277064749,13.4459409908,14.2681185414,14.4254555521,14.2681185414,14.9770023139
ABT1,150.039366446,123.88331481,150.039366446,171.047274007,136.87689597,128.978573262,136.87689597,128.432182069
ABTB1,25.8201491832,22.120773714,25.8201491832,21.166984498,23.2493267409,22.7140965265,23.2493267409,21.719100065
ABTB2,35.591596681,35.9688332842,35.591596681,38.7597458947,31.9286651303,37.0810966089,31.9286651303,34.9802291548
ACAA1,239.211363834,230.341693429,239.211363834,180.921464808,260.324239203,236.30708439,260.324239203,228.648265509
ACAA2,43.1381398923,42.4547978006,43.1381398923,53.0281256107,50.9293520365,36.1746614189,50.9293520365,41.8814534688
ACACA,262.062966293,263.903961004,262.062966293,303.822338636,238.283379195,215.398172436,238.283379195,266.128993647
ACACB,21.4151322261,22.0375548602,21.4151322261,21.7213597619,22.0668815235,21.5882753463,22.0668815235,22.0502373813
ACAD10,25.2650048349,25.6790801153,25.2650048349,26.3132351317,24.0665254737,21.1680574408,24.0665254737,21.7869186036
ACAD11 ,147.961669909,135.784199948,147.961669909,122.360200255,154.170871289,131.102229954,154.170871289,125.049164484
ACAD8,217.754918185,178.856756538,217.754918185,170.829251684,227.734447005,187.983690654,227.734447005,224.790253686
ACAD9,52.4309626851,58.6165657438,52.4309626851,58.1885828825,52.9556663474,56.090001091,52.9556663474,54.3406038956
ACADL,15.1639443466,16.5786977673,15.1639443466,16.3617771725,16.3319738533,15.6352421501,16.3319738533,14.9993264236
ACADM,850.927719066,1042.68248802,850.927719066,1015.8062225,833.299761177,1055.8085711,833.299761177,967.379910908
ACADS,49.4176703278,44.249231645,49.4176703278,46.4102607122,43.5159486707,42.7534587783,43.5159486707,46.4158062057
ACADSB,40.0927689174,39.3237248327,40.0927689174,31.9405505837,54.5861181444,37.3634458612,54.5861181444,39.8584413494
ACADVL,805.905469858,1055.8085711,805.905469858,968.548478593,962.55535072,1392.5898002,962.55535072,1605.06435987
ACAN,19.2252545551,20.1563873825,19.2252545551,20.7616982403,21.4856767648,20.1202447448,21.4856767648,21.7935656139
ACAP1,15.6017211497,16.984038022,15.6017211497,16.2138245917,16.4365088067,16.673333296,16.4365088067,15.3659550278
ACAP2,246.50067499,234.37521422,246.50067499,288.709163293,237.847027478,258.719744144,237.847027478,276.836116818
ACAP3,28.8762959836,28.6806394556,28.8762959836,27.4373749427,34.7408345088,36.9045015044,34.7408345088,30.341288164
ACAT1,57.5078815474,58.9584289959,57.5078815474,60.895369231,55.9806777715,51.2294319278,55.9806777715,50.8860344026
ACAT2,1359.84640543,1119.69620831,1359.84640543,925.787703909,934.292028095,913.713206353,934.292028095,802.966607889
ACBD3,578.145716576,512.043937931,578.145716576,569.017218556,576.387781888,536.636216648,576.387781888,522.533283578
ACBD4,39.9665009039,37.5827341988,39.9665009039,37.2668208674,35.9594191047,41.5572494983,35.9594191047,38.9996215463
ACBD5,165.883773704,156.19675923,165.883773704,146.704848531,175.511624709,139.696360492,175.511624709,150.456549503
ACBD6,285.535885983,348.286538956,285.535885983,290.141300357,337.969313597,329.789514147,337.969313597,319.289107574
ACCN1,24.1315537759,22.1765246987,24.1315537759,22.5823296963,24.0014799532,20.4785738648,24.0014799532,22.6043566265
ACCN2,47.4857413155,40.2297891619,47.4857413155,41.0334287026,58.5480878798,30.0673437095,58.5480878798,30.8048641015
ACCN3,12.1984696088,11.8849983508,12.1984696088,12.1261087501,12.6004133896,12.3152292861,12.6004133896,12.7304209372
ACCN4,22.6113194419,21.4255460419,22.6113194419,22.6469180051,21.0612275073,21.1263959128,21.0612275073,23.9931988953
ACCN5,16.3465413573,16.8668209655,16.3465413573,16.2980850476,17.088796517,19.1850731905,17.088796517,16.7130121546
ACCS,43.4428446701,38.9784375652,43.4428446701,34.0443592609,37.5009716065,36.2609714126,37.5009716065,37.4923039264
ACD,145.865707473,147.543073512,145.865707473,155.758695999,99.9039145733,122.301353931,99.9039145733,147.501354761
ACE,14.8438481931,15.1161560792,14.8438481931,16.503898315,15.9757233397,16.2355967225,15.9757233397,16.4375803293
ACE2,13.9087912446,15.9805489465,13.9087912446,15.4527377091,14.296360609,14.6494184482,14.296360609,14.9532546273
ACER1,20.2911396424,18.3837423058,20.2911396424,17.8973519259,19.3959776033,17.8694802202,19.3959776033,17.9867480613
ACER3,183.70380952,170.138412661,183.70380952,182.910150723,116.739712155,128.322421825,116.739712155,134.710262361
ACHE,12.1075181217,11.9114466944,12.1075181217,13.0984179959,12.1428343033,11.6290753867,12.1428343033,12.2970947222
ACIN1,118.875930188,104.479695609,118.875930188,113.414900717,105.388876754,106.614316953,105.388876754,116.023844886
ACLY,2133.29934671,1782.38795884,2133.29934671,1706.99211524,2008.69938683,1525.67408659,2008.69938683,1459.19454602
ACMSD,14.6396325313,15.4361768281,14.6396325313,19.3513850787,15.5358332461,16.1853457166,15.5358332461,14.3453700207
ACN9,287.227197197,232.233600473,287.227197197,207.83348775,272.435053329,230.654766378,272.435053329,208.880504075
ACO1,286.286385214,279.536883246,286.286385214,342.484662672,321.390173728,277.984467666,321.390173728,269.797114819
ACO2,163.348250185,168.57420618,163.348250185,195.505934178,182.308941304,168.791789929,182.308941304,164.809339958
ACOT1 ,56.6259777845,66.6062161709,56.6259777845,84.0026288285,69.5469297585,73.49255146,69.5469297585,70.6624629288
ACOT11,21.8862363909,22.6966952742,21.8862363909,23.6591249019,20.216248124,19.4816495388,20.216248124,23.8812003501
ACOT12,12.9603987259,11.3330573437,12.9603987259,12.4407794711,12.1496404857,13.0632502029,12.1496404857,12.3544995129
ACOT13,504.690497082,508.633691684,504.690497082,488.121047067,577.217090104,463.598573303,577.217090104,450.232252496
ACOT4,15.662162411,16.4294489994,15.662162411,18.9013246735,14.9214410418,15.9371392498,14.9214410418,14.6817391793
ACOT6,10.1020105981,11.8620822487,10.1020105981,10.3308026046,10.2978653853,10.9045796207,10.2978653853,10.7337228352
ACOT7,664.906727903,730.972850584,664.906727903,736.993426361,453.176424356,728.513212644,453.176424356,798.353337201
ACOT8,45.6352261953,43.8506175442,45.6352261953,42.9315788816,48.4314177439,47.7477591785,48.4314177439,46.3976440495
ACOT9,794.827788846,815.902225887,794.827788846,777.220607487,653.202239089,713.484131417,653.202239089,793.614778117
ACOX1,56.1479104853,59.9898795018,56.1479104853,66.9687557447,67.5533221693,66.9382438934,67.5533221693,67.3947232849
ACOX2,14.0348550694,17.3584481503,14.0348550694,19.0163331518,17.0569148322,16.7291648745,17.0569148322,17.8137360223
ACOX3,67.4869829106,76.5142131135,67.4869829106,66.6881104235,79.2731459533,89.9045974984,79.2731459533,83.7564898831
ACOXL,17.6697631849,16.9232624411,17.6697631849,17.0318730287,16.876713819,17.5958976254,16.876713819,17.5247657866
ACP1,308.492258809,270.691044249,308.492258809,292.094095999,248.069320257,264.765155002,248.069320257,258.4240888
ACP2,187.698498407,200.411994004,187.698498407,205.815458796,153.622818999,146.021255473,153.622818999,152.372693823
ACP5,46.2601931419,50.2727153634,46.2601931419,47.3216940688,49.7440024771,61.2230301528,49.7440024771,54.4095840279
ACP6,182.702967416,244.126573719,182.702967416,234.105497692,220.694738369,242.730794864,220.694738369,265.122568695
ACPL2,26.3669869689,57.5850346035,26.3669869689,59.5492702772,21.4913341769,59.044185772,21.4913341769,55.7383124234
ACPP,18.2239612711,20.0949970691,18.2239612711,20.3703102444,19.1827193323,21.8728457553,19.1827193323,18.9570772842
ACPT,32.4657065457,31.6891684381,32.4657065457,34.1139270543,33.2588019739,28.7283453749,33.2588019739,29.369921593
ACR,12.9925505348,13.4313465959,12.9925505348,14.8325455472,13.0266347249,12.9207638744,13.0266347249,12.5297090599
ACRBP,18.6347026674,20.3037024457,18.6347026674,19.9781146106,20.2627542378,19.4347503543,20.2627542378,20.8144873931
ACRC,40.3771514168,39.8799331806,40.3771514168,53.4124541177,54.3464922334,56.5876725992,54.3464922334,48.7623802157
ACRV1,19.7131893591,18.8983152234,19.7131893591,19.6306572986,19.6844802159,19.7275622343,19.6844802159,19.610149096
ACSBG1,14.5855627376,15.9448140939,14.5855627376,14.7313121487,15.5726389686,15.9657858948,15.5726389686,15.0670137508
ACSBG2,23.019670378,22.0909509969,23.019670378,26.2283988401,24.8823132528,22.1713786798,24.8823132528,23.5577677759
ACSF2,133.888260367,169.184720041,133.888260367,145.138508758,263.016768868,210.724823546,263.016768868,215.539101511
ACSF3,25.5336780803,22.344628867,25.5336780803,21.6640222815,21.5856373024,24.022979658,21.5856373024,26.3883982694
ACSL1,1057.45395451,1549.70725791,1057.45395451,1324.58039354,1578.35115384,1962.59646452,1578.35115384,1933.05811456
ACSL3,1065.55328638,1301.50530203,1065.55328638,1526.98629184,996.876497854,1176.96223739,996.876497854,1716.48227646
ACSL4,169.230661195,158.819072482,169.230661195,155.248439261,199.184469034,215.241248244,199.184469034,215.904608532
ACSL5,15.3741387705,15.3616689791,15.3741387705,13.0146193092,17.6797110028,13.9510567315,17.6797110028,16.2903124659
ACSL6,15.650100383,15.493139357,15.650100383,14.3754000521,15.7615185179,15.8147046849,15.7615185179,15.568764788
ACSM1,16.3159562254,13.577193579,16.3159562254,14.1751183273,14.6494184482,15.9278837673,14.6494184482,14.296360609
ACSM2A ,13.679043519,14.2255927883,13.679043519,14.3315622069,13.6989779138,14.418347889,13.6989779138,12.9732538728
ACSM3,16.2155228024,15.3095035205,16.2155228024,19.9490464603,17.2683708411,16.8006748791,17.2683708411,17.0059364764
ACSM5,20.0180439515,20.2990185595,20.0180439515,22.8199009372,20.2195536162,19.5740017278,20.2195536162,20.7521218137
ACSS1,25.0891689341,23.0028271871,25.0891689341,24.2013380118,25.344878907,23.4637230797,25.344878907,23.6004725134
ACSS2,521.424408642,388.59217381,521.424408642,403.89346853,821.956617327,392.504631184,821.956617327,448.58202008
ACSS3,12.6958259113,12.7116724205,12.6958259113,12.0108723369,14.053698369,12.8937624173,14.053698369,14.0916011167
ACTA1,21.3592184328,17.9515368928,21.3592184328,19.8018383092,17.683778941,17.7451506014,17.683778941,17.454087652
ACTA2,21.4264232349,22.3206671768,21.4264232349,19.4838459479,21.9230735443,20.3827275514,21.9230735443,23.5194122251
ACTB,7167.87146964,7326.03341848,7167.87146964,7195.02088472,6926.42815102,7195.02088472,6926.42815102,7102.4142383
ACTC1,20.900675681,21.5777142667,20.900675681,18.1998619189,15.8333366122,18.9311235236,15.8333366122,23.0314071435
ACTG1,6503.60042087,7037.59051979,6503.60042087,6572.41368578,6317.33482046,6969.21163099,6317.33482046,6926.42815102
ACTG2,21.1957694171,22.894808438,21.1957694171,22.3601419072,21.988336439,23.4298292104,21.988336439,22.0146300152
ACTL6A,539.723648806,483.204951992,539.723648806,463.956615521,397.410617434,500.198411138,397.410617434,449.878011273
ACTL6B,16.8265277689,16.7083201493,16.8265277689,17.3255166143,17.6335413592,17.6645081376,17.6335413592,16.8192104562
ACTL7A,24.2013380118,20.6813589475,24.2013380118,24.8931868958,20.8360573825,15.970309349,20.8360573825,19.5663386581
ACTL7B,27.3842585112,27.8517605712,27.3842585112,29.4508331004,26.6513655079,30.0449962661,26.6513655079,27.9263043867
ACTL8,33.1943442785,29.1426108416,33.1943442785,34.787453584,26.1902586141,25.7620405853,26.1902586141,27.3755741562
ACTL9,14.5579732091,13.9958099293,14.5579732091,15.378528429,14.0348550694,14.8990413657,14.0348550694,14.7675407427
ACTN1,970.255410986,1032.54924135,970.255410986,910.33773,925.15416511,1014.56914569,925.15416511,990.171235203
ACTN2,18.3383334814,20.0619232072,18.3383334814,17.9160050278,17.3121190349,17.5279925132,17.3121190349,18.3239118101
ACTN3,19.6993938441,17.9982042327,19.6993938441,17.4044814085,18.4171069553,20.1280172966,18.4171069553,21.4246688849
ACTN4,824.531116789,931.160688771,824.531116789,853.760380231,835.796911774,1160.1344567,835.796911774,1085.31768525
ACTR10,1670.68074255,1765.21439905,1670.68074255,1728.34692769,1617.03362368,1639.494209,1617.03362368,1643.21343073
ACTR1A,700.286563774,780.950652676,700.286563774,732.923807358,684.87907635,694.448562704,684.87907635,668.581279215
ACTR1B,186.614853265,180.785008269,186.614853265,173.930394323,215.08043947,213.52673199,215.08043947,196.19028713
ACTR2,442.968453518,453.891962102,442.968453518,462.855360619,414.45494347,425.916994819,414.45494347,403.586206911
ACTR3,695.13283595,788.999886718,695.13283595,774.634095683,675.212263466,687.091004281,675.212263466,688.511825283
ACTR3B,64.5364023639,47.0311435374,64.5364023639,59.7891351905,71.2723252454,53.7878343458,71.2723252454,53.2006457168
ACTR3B ,60.086623388,52.5248768657,60.086623388,63.1868102677,70.6734944423,47.3067929999,70.6734944423,60.421129789
ACTR3C,15.5609879969,19.1827193323,15.5609879969,20.0091064025,17.0297289441,19.1459383533,17.0297289441,20.7556341569
ACTR5,62.8054939375,52.9735005839,62.8054939375,56.2564000678,50.7992239665,47.5423475602,50.7992239665,49.4507270462
ACTR6,96.5194630571,98.6657821111,96.5194630571,100.852047365,97.9638018507,101.99399276,97.9638018507,104.158162637
ACTR8,78.8650409926,78.2218821934,78.8650409926,82.8599725499,77.3289671836,65.5985611649,77.3289671836,73.6062779117
ACTRT2,17.5111283798,17.6318401862,17.5111283798,16.9908527311,16.5492698095,16.26991063,16.5492698095,16.7806722645
ACVR1,440.079222906,434.473770532,440.079222906,439.545050991,537.500702589,534.044605176,537.500702589,539.723648806
ACVR1B,39.0277836117,41.4651016476,39.0277836117,43.1306400896,39.5979538553,42.9558489748,39.5979538553,43.3119296767
ACVR1C,18.0090416401,19.2139395309,18.0090416401,19.036220049,25.1280929596,21.0932940567,25.1280929596,20.5398533634
ACVR2A,89.8710442169,75.845440775,89.8710442169,78.2603630372,107.10796956,77.0780638006,107.10796956,82.9481926754
ACVR2B,29.469193641,35.3716844077,29.469193641,38.0218119556,28.5751382926,32.0617994241,28.5751382926,32.4687159712
ACVRL1,19.5185805503,20.3592098541,19.5185805503,20.8444159294,18.0356598566,19.5185805503,18.0356598566,17.0289432357
ACY1,113.08630213,85.1401351574,113.08630213,101.191471831,103.890611129,92.5121753774,103.890611129,82.3468869142
ACY3,16.932867062,17.1695144237,16.932867062,15.7456662431,15.3841114698,17.1645027995,15.3841114698,16.4732054263
ACYP1,189.654564333,205.815458796,189.654564333,184.197339442,158.59686314,195.017110894,158.59686314,198.066904386
ACYP2,203.825551454,173.026018312,203.825551454,171.302547945,288.32337101,233.29457058,288.32337101,216.809364527
ADA,176.090644571,245.351566057,176.090644571,237.785973874,228.648265509,274.254369419,228.648265509,235.547055848
ADAD1,15.0598917283,16.3121624048,15.0598917283,16.9034917004,17.0747120925,15.4295912791,17.0747120925,15.9061900021
ADAD2,32.0260615345,37.3415767263,32.0260615345,28.4528374526,38.4039166438,33.5829505211,38.4039166438,37.5620841338
ADAL,47.8639232388,50.3621970145,47.8639232388,49.1462655848,51.6113164094,43.4294181421,51.6113164094,47.9428798097
ADAM10,575.33091821,451.644934308,575.33091821,475.908235976,411.96331928,437.882900342,411.96331928,415.837763774
ADAM11,20.4565270692,19.7881568165,20.4565270692,20.7782435447,19.9149784908,19.8465609468,19.9149784908,21.5882753463
ADAM12,18.0323985307,18.813682334,18.0323985307,19.4174900604,18.0834042675,18.3024259658,18.0834042675,18.8220556678
