SYMBOL,Norm.y.6,Tumour_24h_01micromol_Retinoic.acid,Norm.y.7,Tumour_24h_1micromol_Retinoic.acid,Norm.x.7,Tumour_48h_01micromol_Retinoic.acid,Norm,Tumour_48h_1micromol_Retinoic.acid
KCNA5,25.765355728,22.7157832225,25.765355728,25.9451945597,27.4531111828,25.4281780153,27.4531111828,24.5088094114
KCNA6,28.6010090096,25.9868054244,28.6010090096,31.1279105603,26.6674687718,25.8201491832,26.6674687718,28.2775041577
KCNA7,21.0424765865,19.5504414501,21.0424765865,20.465121895,18.3383334814,18.9826269273,18.3383334814,18.3989098083
KCNAB1,16.8786926863,15.8570033411,16.8786926863,17.1705246826,18.655524376,16.2903124659,18.655524376,16.2006794671
KCNAB2,22.0618184284,22.6327205985,22.0618184284,23.8915998028,28.7463738814,22.2749227584,28.7463738814,26.9916122377
KCNAB3,19.8018383092,20.1444506734,19.8018383092,19.3620006025,23.1936198812,23.8147694578,23.1936198812,24.3565909321
KCNB1,17.5168483688,16.9902302533,17.5168483688,17.4562897539,16.84910829,19.93090189,16.84910829,18.5581765212
KCNB2,15.7456662431,16.8031575601,15.7456662431,17.2704808583,14.2265310952,17.841283363,14.2265310952,18.9008407483
KCNC1,14.1914063448,14.9648617187,14.1914063448,15.6843693164,15.0747994322,15.0030716078,15.0747994322,15.4051764627
KCNC2,12.1514437835,12.9913236287,12.1514437835,12.6972785289,14.4613606526,12.7445774824,14.4613606526,13.795090253
KCNC3,19.2359691418,18.700579427,19.2359691418,19.7398753806,20.9840370786,19.8737061054,20.9840370786,19.8015528152
KCNC4,24.2989747688,25.9426817535,24.2989747688,26.3376244909,24.9676404327,30.4272761038,24.9676404327,29.1832372805
KCND1,16.926747483,17.0142210537,16.926747483,15.3302936121,17.4802812039,16.9273992089,17.4802812039,15.4842815282
KCND2,10.0857974702,10.4853147892,10.0857974702,10.5916429588,11.7718364313,10.4549084412,11.7718364313,9.94340886517
KCND3,15.7961258533,16.700254472,15.7961258533,17.2737991038,17.1056056295,23.2614152143,17.1056056295,23.6999070008
KCNE1,14.296360609,13.865198025,14.296360609,15.3169645046,16.4502048402,14.9456296239,16.4502048402,15.7622454889
KCNE1L,17.5514461315,16.5617923103,17.5514461315,18.0125662566,19.0623420745,18.7401429532,19.0623420745,18.0578829043
KCNE2,18.8574184461,18.5112265594,18.8574184461,16.0980766704,17.6645081376,18.8290087467,17.6645081376,20.3214148758
KCNE3,19.328367838,20.0633557176,19.328367838,19.1051511096,18.5857021391,17.6697631849,18.5857021391,21.0097817686
KCNE4,13.6937355895,13.3545317287,13.6937355895,14.8643154103,14.2481828441,14.4906433988,14.2481828441,15.9438765788
KCNF1,15.7144036473,16.2850205764,15.7144036473,14.2768723714,15.2594748329,15.0460525329,15.2594748329,16.4304086967
KCNG1,30.314200432,31.2360827591,30.314200432,34.0383960473,38.5558932623,35.2899041438,38.5558932623,30.1793590193
KCNG2,13.0533187397,12.6983864492,13.0533187397,9.84770091294,12.4367564004,12.0332250983,12.4367564004,12.0779153198
KCNG3,14.1489079123,13.9295547764,14.1489079123,13.6116403866,13.8194223071,14.9475785487,13.8194223071,14.5302800124
KCNG4,17.8762575735,20.6914223579,17.8762575735,20.5784624122,18.6514410871,18.3578001513,18.6514410871,20.9507909474
KCNH1,18.7015832423,16.2319197831,18.7015832423,15.9597175267,15.4838724843,18.69139996,15.4838724843,17.3474262791
