SYMBOL,Tumour_GSM508549.ERN.HER2N_RES,Tumour_GSM508559.ERP.HER2N_RES,Tumour_GSM508581.ERN.HER2N_RES,Tumour_GSM508582.ERN.HER2N_RES,Tumour_GSM508585.ERN.HER2N_RES,Tumour_GSM508587.ERN.HER2N_RES,Tumour_GSM508590.ERN.HER2N_RES,Tumour_GSM508592.ERN.HER2N_RES,Tumour_GSM508632.ERN.HER2N_RES,Tumour_GSM508634.ERP.HER2N_RES,Tumour_GSM508668.ERP.HER2N_RES,Tumour_GSM508669.ERN.HER2N_RES,Tumour_GSM508671.ERN.HER2N_RES,Tumour_GSM508672.ERN.HER2N_RES,Tumour_GSM508673.ERP.HER2N_RES,Tumour_GSM508776.ERN.HER2N_RES,Normal_GSM556167,Normal_GSM556168,Normal_GSM556169,Normal_GSM556170,Tumour_GSM508567.ERP.HER2N_NRES,Tumour_GSM508654.ERP.HER2N_NRES,Tumour_GSM508674.ERP.HER2N_NRES,Tumour_GSM508675.ERN.HER2N_NRES,Tumour_GSM508676.ERP.HER2N_NRES,Tumour_GSM508677.ERP.HER2N_NRES
ABCB8,2.8520026913254024,2.6859530449432665,3.463044715935413,3.8826676475444284,2.813040369312086,3.5267097150720423,2.405122460920126,2.513871932779751,2.362584245424293,3.1855827989669234,2.763240246733819,2.6832424074307784,2.941713282696926,2.7969622446143947,3.320029466104986,3.495295547075715,2.7072189117824026,2.5335204721750975,2.384810890586218,3.3816659483338216,3.2559964989529044,3.0604583236957135,2.949567464004848,2.303813187581339,3.047125153880185,2.8124255356032952
ABCC4,1.682933472066691,2.1063855594606187,1.6398485741555473,2.4621469876354034,2.1615718355762654,2.440769201109264,2.122627987793194,2.098542313476342,1.8012221811434477,2.1088860824884574,1.9975813588196356,2.960843298001863,6.220138701171103,1.9351734223014652,2.8388562120314114,2.1454244472569535,1.616343355674086,1.6134484619372949,1.863695955085906,1.276091626643248,2.2083457510139946,2.1958311450997687,3.354132240395851,2.2261629195252004,2.210895643027371,2.156958879663509
ABCC8,3.7603788374693297,4.5871705884447795,2.40019873539862,3.1837132105451182,2.895173443770182,3.188644634650299,4.332517737863404,4.7919687420471595,2.3625226646912068,4.06718068312318,2.916874153305518,2.7131809429788665,2.4743227938192245,3.1222233325960564,3.0358401189527853,3.438591727699052,3.1996395788543612,7.191159088605558,3.602228534814058,7.259214098168748,9.721009836749033,3.0779665115726464,3.593084380706982,4.551334548900373,2.6421906296647797,8.82374528759553
ABCG4,4.620131128589613,3.2761443361860887,2.7729210194236247,3.871169145895423,2.745377101667743,2.528823591622992,2.8015457602690894,3.10131158576082,2.9137594216852265,3.439886596214932,2.248828628973644,2.994393530585048,3.3803123175742678,2.9234068958074215,3.51082219802392,3.3288757409648593,3.2316957945906615,2.631732609893896,3.2368636846989323,3.052781025836256,3.196466148489895,3.836140516541219,4.984201439388125,3.5743317394434717,3.464883092631928,2.7003293527861874
ABHD12,2.668765997002026,5.435610593715135,4.260040525526055,5.297227714299314,2.9575971845385527,2.0971047061919146,4.56942685973574,3.199215199589052,3.1350479895797143,2.4975408287187366,4.912673099702467,3.22514789998021,4.446895866865564,2.6585549669070985,3.500437806769411,4.936019336606681,2.2935772245499413,3.518581245260309,5.587874684800112,3.0876322259303257,2.8725805756629166,2.733459706157682,5.901868225108258,3.451242786169284,1.9273893200043246,3.1719211295729814
ABHD5,3.4117960488538084,2.9906863183291037,3.2058963087594896,4.408816763055363,3.5542799973760832,3.4905143697711396,3.569184275877592,4.236223568874648,3.61823130970197,3.0638401866176586,3.4938145431792487,3.710580244923519,3.343813443488165,2.914743251323583,2.7995702334859174,2.400441700159807,4.153595401379617,2.9870703640719847,4.1765290474801695,3.62027952423,2.7214563096089615,3.1807282973493334,3.515942905158299,2.645996860056073,4.830856617946239,3.9154878858504745
ABHD6,2.448564518448394,3.7745200244796218,2.650527911112627,3.0914998521929813,2.7528877207381153,2.8571160552648647,2.498682063635235,2.6291363111080877,2.793566974715328,4.842745838621198,3.109268593262831,3.307556443432033,3.436379719081169,2.9185588925290937,4.126720015081956,2.7542312855124775,4.734001508723091,2.747107369925464,3.6959235711471314,3.031313930843626,2.3716705668330382,2.9603414815741456,4.301964478559306,3.2759612561140177,5.68111097098673,4.045094995034729
ABI1,3.600068778321982,3.6402104735946605,5.781174540226608,6.132872272247266,3.725300924524823,4.901618970342165,2.505203918793492,4.746590001011768,4.684444114533028,4.440875872054301,3.166877616883349,4.048119793734179,3.712783725013023,3.762211657982792,3.6538379477468705,3.47278331288752,3.5778032750110667,3.7369361868448254,4.026896290795228,4.0230372914961485,3.7019196239631995,4.483641225624492,2.9059842182007873,3.068233276946101,2.6078312513984305,3.122323225812648
ABL1,2.7166092945970957,3.374430282199762,2.207895157247005,2.753391439467754,2.836550698294296,2.695250731598042,3.1770561133323385,2.8766755815084313,2.781440907199853,2.765968927077973,2.155236220407213,2.4573643301196935,2.6252696453021893,3.2852298483688696,3.2405422276306743,2.7804662162683913,3.249292667226744,2.8825113230599824,3.0075751596888836,2.5912268404338294,3.0870126977638943,2.472131206042562,3.2474678976284252,2.8205147737758964,3.1782760166514294,2.7733631072680573
ABP1,4.501419524835997,3.5424701446694153,3.6453288986645815,2.80688511655402,3.0182562255295853,2.777449605463077,4.969725232069813,3.2430411689378347,3.3077890751025203,3.290130979671621,3.4016748976499334,4.118101563081942,3.628633713031486,3.953755297123532,4.023267937904672,2.6116728121170296,3.563786855636531,3.4315450835120838,3.232567615502059,3.1186625260704384,3.2207939735367828,3.15273319659589,7.752359657087009,4.176604944221937,4.5721592131294795,4.407647118848803
ACAA1,3.084939541475119,3.8534979847340614,2.742989914049456,2.8495261867990886,3.74802216370745,3.165795523973512,2.9245470564156495,4.39748820049296,2.5244277442263208,3.007350690858641,2.5458064849263695,2.626820028809453,3.608335058027015,2.4055595572735875,2.593078215930373,4.0583405580474725,4.4552583458561115,3.5974354763139926,3.348188763893595,3.1288097501350234,2.629396973917308,3.180860253967647,2.836279754388919,2.3049468525420354,2.7764368235602195,3.84266318625163
ACAA2,2.516046082215062,2.9127057464830965,3.6269258725080094,3.3847792499917064,3.085456768481649,4.108006071937091,3.0163100061185006,3.4474779813153837,2.8758498497813005,4.0311097151635344,3.3781436986912294,1.8640025341269235,3.21735673937038,2.556193508150218,2.8934069344650513,2.4452373437935595,4.99068489002035,3.0756209017350367,3.502283334003506,3.3576225739209917,1.9433865196159459,1.8869828247797231,2.4501507829810647,2.2722291251912776,3.542264303939757,3.0962634663212647
ACACA,2.6547510888293324,2.754884563228678,4.051686242496105,2.934280558968604,3.1966426311502447,4.150072507267238,2.8070085910347964,3.3664624199909814,2.373202458961439,3.1562779201324287,2.289643699926222,2.831360245105738,2.361618596033358,3.6491035593162784,3.1229512933967847,3.321235776207225,2.7508667559134454,3.0796930987165583,3.1092491507705167,2.8873962506551476,3.514404821160333,2.3429847750640294,3.774243520467737,3.3048416064509762,3.2408597764546476,3.0659367783761704
ACACB,3.486111229483445,3.4712665603120376,3.0073370342068393,3.1622991417171042,2.499040179697421,3.1014552418873693,3.0338168427633625,2.925290934487885,3.7865154090758457,2.8172315243438004,3.842147136751615,3.8714261451119114,3.7280189831123836,3.361978555882072,3.698744389283606,2.609814113740647,6.371551345581476,3.0980112005337888,4.445753144369992,7.079625098068169,2.9938025069347796,3.1340874386264694,2.7031222487397137,3.894498561439143,8.968690704232243,7.813715572743499
ACAD8,3.329635054735348,4.1628070114212115,4.11678488889065,2.7994731175505247,7.640452670624362,3.1690931062582464,2.3780619414253987,3.864522385521631,2.4377188808575116,2.8821582609338043,2.48754385082893,2.4820387919108464,2.5187981036796376,2.795364573662514,3.7335801395971937,3.3235439763636747,3.313661074363407,3.280935671744279,3.12990793037833,3.065673823757525,3.2213083705094285,4.557436466463712,3.196243527752642,3.639099858742155,3.8461239634726434,2.873450491739137
ACADL,2.2128512831729257,3.0938694182144206,3.159199099445923,3.4036101264543963,3.3482414552711894,3.6013514206985495,2.7240829444364265,3.7575245410220743,6.651928509253777,3.2192362261691323,3.0134580294471895,3.4059563768587204,14.12917648253944,3.4275811596033576,3.9469039855106005,3.231199640682345,9.79276968940114,3.6245001521230806,5.403534279287216,6.63916050346658,3.2075454092537536,2.651642573376135,3.645312713069951,3.4789362358045524,5.706218940957267,6.191748561995373
ACADSB,2.541642628238174,4.928813036884502,2.2916772195032706,1.209325671325126,3.0957807125819503,2.1476152516837708,3.097388001437662,2.541117534315078,3.520000601801163,2.7453782857427345,14.320674156948566,2.662337223666701,2.2563491203985744,2.241974559862497,2.2923297600220596,4.900046713635912,2.936416992847211,4.116967859057423,3.0891867484124647,3.4782758054270717,4.788978983301229,3.1605032832201134,3.472055995220515,2.4321591310903248,2.235747981089218,5.826262187274852
ACAT1,2.120675330404497,1.4920147073482124,2.09122712148519,1.5014172519336886,2.5129445283381666,2.213000006133983,1.783486078948501,2.388535737854426,1.8417760043057347,2.3611650161924267,2.1310929020444838,2.2266766524433708,1.6984983741317834,1.680897988577259,1.6581534938678077,2.2276322050918957,3.490076967900832,1.786726305649403,2.839720277493408,2.4552653801335462,1.8943000188935422,2.268754903937296,1.9102817056592063,1.1985904629736994,2.537584390777822,2.3413430031611444
ACD,2.6697095510637086,2.4654604524956953,3.0045652524812714,1.9374492849008678,2.555121297894419,2.8570239299825726,2.2268443386231884,2.277050933993521,3.35474721285235,2.2772312151348206,1.9281345139781931,2.058458084519089,2.227877193568955,2.782207135206129,2.625492207139167,2.419866994380847,2.456806558128548,2.688733101668054,2.20126193185387,2.3694758059905987,1.9324375469651969,1.697132896004944,4.976972521600451,2.7808735157075315,3.050496765462709,2.121009944823002
ACLY,2.415330734661916,2.7730342354502153,3.0723649655471275,2.5844321918769655,2.5744888416225065,3.4995049032629972,2.0211507818177594,2.8242115087289172,1.7810258906655125,2.1960820348719556,2.4260050762942256,2.1431682091911335,2.5098319988506983,2.098454805459451,2.6284032720461017,2.6676009230807436,2.3691214997249426,2.0158268446091667,1.9220210575033767,2.176883821557776,2.371253983567719,2.020019958767965,3.4688677003967308,2.6274840407387368,3.2731102609433766,2.4701695492392615
ACMSD,3.574746910738506,3.571687538594708,4.582852152558366,4.2021399491647555,3.700121098743768,2.511942258450358,3.0493429262996323,2.345946851245856,3.301736952845007,4.484292574693039,3.3535849357673277,2.7295902726429735,2.4593105530554076,3.8188814932795796,2.6431766017602305,3.5714558601245394,2.8939839338501665,3.8709269652490015,2.6622749313922465,4.0344537789710655,3.1921238275635795,3.677072435787402,6.291947623437439,1.7880216502868778,3.4590996647605894,4.102508899565089
ACOT2,1.7464557479218765,2.143901042957965,2.6091203207009914,2.557086731800088,3.3997377942052225,1.91571350012203,2.1153836820324083,1.3732563294367601,2.239861622873528,3.2373384004432433,4.319759457900942,2.7802029629505842,2.269425096332254,2.0413929005810862,2.2073963829400274,2.9656039056899384,5.592396293489854,2.010937632731492,2.990814039667964,3.5435851519756802,3.2441980838926927,2.8218677598500452,1.707215564533235,1.7445621508239746,2.9977184691394196,4.002292216100712
ACOT4,2.7110097906059285,3.0687287494728057,2.9861313254272828,6.045503256414219,4.889400265789701,1.9513138762444817,2.074624266333598,2.4196901473243653,4.008114378564906,3.3411507536100897,6.811340155997072,1.6437920098823149,3.0647333497035927,2.3533363737768767,2.7046610999879857,9.81581141053179,5.096663477009768,4.076966506260627,3.2627640931586432,3.660524533570701,4.399974807547415,5.768562916868793,2.9936944707444915,2.296511789689396,3.5328076202876897,5.192107928949358
ACOT7,1.7592918418471273,2.1500311747495204,2.0280707660312722,1.9014927191811133,2.833824069406005,2.0318529482056134,3.333793656914124,2.18067674382216,2.3089385644712346,1.8270740830671874,2.910666459970642,1.9818154772406276,1.5290544900975522,1.0961260313353203,1.2213022631149866,3.525468368823251,1.9693299234025776,1.798623138060991,1.7535276523803613,2.068838663498599,1.4130185579219812,1.683691350358512,2.1934033575981453,1.2830962135261623,1.6349948431679067,1.6643887325810034
ACOT8,2.472280088844826,2.6565043853693258,2.1077639655969147,2.5521281726065403,2.422722117363745,2.7775246493220385,2.645895602635336,3.408143965672278,2.5989486035526936,2.453755067026602,3.5882776085311816,1.6752111304862054,2.8761665982510944,2.2617521695580756,2.347249306128289,4.262327174231084,2.243290181172922,2.3864611153527084,2.1264327697261693,2.1517802293198867,2.4040526813894334,2.036654741208372,1.6358561318244909,2.5347021962317964,2.0674035283997605,2.4842758778333596
ACOT9,2.2863371927676277,2.4732808545684413,3.1878572216883923,3.948619273509306,4.386150890621229,3.2337355801261896,4.391951801651718,2.717491492487957,3.605016370582227,3.818141252210989,2.450570094311875,3.40241492381593,2.6570336121941946,2.803128148900841,2.8896096994621177,2.399040851804331,3.458923088700425,2.6027488205514064,3.8804454476645716,3.355981371411939,2.406799539916398,2.3189755572539617,2.7711338740310474,3.011375538135589,3.1899480800952786,2.463953259029969
ACOX1,2.7054626814737244,4.328174315306922,2.526540539543599,4.678281539388943,4.101973449612369,2.067417274997312,3.2869329950847535,2.939434177856593,3.8487167844388432,3.3225231505321045,5.442764586486119,4.826751697153894,4.133348941516974,3.3700056301853483,2.876578349946429,3.1325215672674838,3.9607641150367514,3.0218547198777936,3.720101116094583,3.8342129067798356,3.43296432175909,2.505053689079655,1.8656376176556542,2.6318899805669154,5.419230586514302,4.198591558926401
ACOX2,3.3871342570630887,13.478407093713669,1.9606021243498026,2.3646052218897515,4.421738867399609,1.5938701335940724,1.485068530230883,3.3893887326717516,3.9877227085704465,3.3699695275575734,21.870963557756014,2.2618479375854763,2.4415991785369817,3.1815581624047966,3.2458938721478106,3.0143187022769444,5.921916085871263,4.543804403307417,4.098401429144327,4.669707320128172,4.397949321507449,4.757187256341515,4.215012607691015,1.9160975082732123,3.734989780461865,5.4798979183985
ACSBG1,2.1944624339751657,3.134559021071976,8.942941930980282,2.8128334045264682,2.8291190066272254,2.5252390496538966,2.684126520094399,2.7416725660106365,2.45252440325446,3.1823450678919305,2.9106583576687175,2.8786130332658564,2.2081422071203245,2.541900393995166,2.874333767996798,2.9164363873996857,2.29199825141455,1.6770810491172323,2.4266447397425632,2.4704828557597356,3.2377417727046858,2.753350825336872,4.810091270457991,3.17225503780659,3.560769686885265,2.5091450965219235
ACSBG2,3.327526870243216,3.732459561609865,2.874065755790247,3.3593179791279413,4.287990580540841,3.485828874250184,2.9869954614733634,3.671050130584788,3.9405908432437933,3.6867418098944045,2.381646474889577,3.471432205591204,3.508541440888183,3.6960444071441017,3.7247926970777168,2.6835088312027526,3.700085946376322,3.608200471555396,3.4469182550718167,2.8066885922966724,2.936167278384489,3.602854837412894,3.369767447535117,3.470810605702048,3.9023545368576467,2.8844459981328656
ACSL1,5.847015841831412,4.396410575620645,3.170117380335,7.214745963016373,9.263682540444806,6.489386531616513,4.8038793353510485,4.713808031184251,10.443278180500878,7.3267566350633215,3.177879014517508,5.777633082040481,5.394763484014698,3.2920264047060113,7.124033214278587,8.185435418839697,21.22111654338107,3.9260415089143836,8.983575486400333,14.009575518837774,4.8804524936023865,4.51728549900582,2.6368906974395308,3.178963671550902,15.959961381329098,13.58120395318839
ACSL3,2.4370890829924368,3.879566445200215,2.0993865278109305,2.573680426258561,2.1181098258992077,5.780520969580899,2.282262998535209,4.246748479007802,3.5372976457657592,2.340927244617104,3.7703092889975025,1.4629927661422881,2.532549877825241,2.7881078863927864,2.4218558664396213,2.975042274174556,2.3647426739615907,4.0265153154826425,3.02660588491239,3.491218980190013,3.211095208754037,2.4968283217936627,2.660645947424255,2.0309004226668264,2.364488682778134,2.67329517962174
