Pathway,AMCF,genes
AKT_Pathway_p73_Mediated_Apoptosis,0.0,AKT1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 YAP1 
AKT_Pathway_Protein_Synthesis,0.0,EIF4E EIF4EBP1 MTOR 
AKT_Pathway_Regeneration_of_Cyclic_Nucleotide,0.0,AKT1 AKT2 AKT3 CASP9 CDC37 HSP90AA1 PDE3B PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Respiratory_Burst,0.0,AKT1 AKT1S1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Survival_Genes,0.0,AKT1 AKT2 AKT3 ATF4 CDC37 CREB1 CREB3L4 CREB3L4 HSP90AA1 PDPK1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC THEM4 
AKT_Pathway_Synaptic_Signaling,0.0,AKT1 AKT2 AKT3 CDC37 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG3 GABRQ HSP90AA1 PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R2 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2B PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN 
AKT_Pathway_Translation,0.0,MTOR RPS6KB1 TSC1 TSC2 
Androgen_receptor_Pathway,1.0,ABCB10 ABCB11 ABCB8 ABCC4 ABCG4 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 AKT1 AKT2 AKT3 ANGPTL6 AR ARAF AREG BAD BCL2 BDNF BMP10 BMP15 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8A BRAF BTC CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1G CACNA1H CACNA1I CACNA1S CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CACNG8 CALM1 CALM2 CALR CAMK4 CASP3 CAV1 CCND1 CLEC11A CLEC14A CREBBP CTGF CTNNB1 CXCL12 DAXX DNAJB1 EFCAB6 EGF ELK1 EP300 FGF1 FGF12 FGF13 FGF14 FGF2 FGF22 FGF4 FGF5 FGF6 FGF7 FGF8 FGFR1 FGFR3 FGFR4 FIGF FLT4 FOS FOXO1 GAS1 GAS2 GAS6 GAS8 GDF10 GDF15 GDF2 GDF5 GDF6 GDF9 GFER GH1 GH2 GHRH GMFG GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI3 GNAL GNAO1 GNAQ GNAS GNAT1 GNAT2 GNAT3 GNAZ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNG8 GNGT1 GNGT2 GNRH1 GNRH2 GPC6 GRB2 GTF2E1 GTF2E2 GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 HAT1 HBEGF HDGF HGF HIPK3 HNMT HRAS HSP90AA1 HSPA4 IGF1 IGF1R IGF2 IGF2-AS IL2 IL2RA IL3 IL4 IL6 IL9 JUN KAT2B KAT7 KDR KLF10 KRAS LEFTY2 MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MDM2 MET MRAS NCOA1 NCOA2 NCOA4 NFKB1 NFKB2 NGFR NR2C2 NRAS NRIP1 NTF3 NTF4 NUDT6 OGN PARK7 PDGFA PDGFB PDGFC PDGFD PDGFRA PDGFRB PENK PGF PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PKN1 PLCB1 PLCB2 PLCB3 PLCB4 PLCD1 PLCD3 PLCD4 PLCE1 PLCG2 PLCH1 PLCH2 POLR2A POLR2B POLR2C PPBP PPP3R1 PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI PSMA1 PSMA2 PSMA3 PSMA4 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMD1 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PTEN PTN RAF1 RANBP9 REL RELA RELB RHOA RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA4 RPS6KA6 RRAS RRAS2 SEMA3A SEMA4B SEMA4G SEMA5A SHBG SMAD3 SOS1 SOS2 SP1 SPON1 SRC SRF SUMO1 SUMO2 SUMO3 TAF2 TBP TBRG1 TDGF1 TGFA TGFB1 TGFB1I1 TGFB2 TGFB3 TGFBR1 THPO TIMP1 TIMP2 TIMP3 TIMP4 TYMP UBB UBC UBD 
Androgen_receptor_Pathway_Apoptosis,0.0,AKT1 AKT2 AKT3 BAD BCL2 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 
Androgen_receptor_Pathway_AR_Degradation,0.0,AR CALR CASP3 CAV1 CCND1 CREBBP CTNNB1 DAXX DNAJB1 EP300 FIGF FLT4 FOS FOXO1 GAS1 GAS2 GAS6 GAS8 GDF10 GDF15 GDF2 GDF5 GDF6 HSP90AA1 HSPA4 KAT2B KAT7 MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MDM2 NCOA1 NCOA2 NRIP1 PIK3R1 PRKACA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PSMA1 PSMA2 PSMA3 PSMA4 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMD1 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PTEN SRC UBB UBC UBD 
