SYMBOL,Tumour55.AVG_Signal,Tumour56.AVG_Signal,Tumour60.AVG_Signal,Tumour64.AVG_Signal,Tumour66.AVG_Signal,Tumour68.AVG_Signal,Tumour69.AVG_Signal,Tumour72.AVG_Signal,Norm_1_AVG_Signal,Norm_2_AVG_Signal,Norm_3_AVG_Signal
"7A5",137.0958,161.7193,156.1828,156.6153,132.4772,137.8371,109.2066,156.8559,36.8,44.1,42.2
"A1BG",137.6663,156.9451,154.514,140.038,139.2569,131.0398,121.698,146.6156,42.4,44.85,46.65
"A1CF",135.4233,150.69,132.099,135.0352,143.0748,124.1815,114.3691,134.2066,39.1667,44.1667,40.5
"A26C3",129.5503,158.4299,132.2922,136.8232,139.7385,130.3347,115.9578,134.0676,45.9,45.3333,45.5
"A2BP1",123.9731,139.1923,120.8386,130.1333,128.618,118.8545,109.3253,131.8182,42.575,45.6,40.875
"A2M",625.8732,1682.748,559.729,2689.829,2849.417,442.2416,687.4152,732.3582,347.1,527.5,335.5
"A2ML1",116.2767,124.2371,117.0845,174.5816,220.0994,1832.952,134.6578,110.1005,48.4,66.4,43.4
"A3GALT2",128.1501,159.1212,145.5348,139.9472,140.9095,141.2391,105.2663,136.9206,40.05,42.65,41.95
"A4GALT",566.6653,155.6673,503.6968,165.4512,368.7056,247.1591,381.6385,131.5241,155.9,166.3,214.5
"A4GNT",154.5614,162.6404,139.619,170.1318,149.8425,126.165,148.3244,156.0922,40.8,41.4,48.4
"AAA1",127.1389,146.6465,130.8814,135.4789,126.8027,119.0287,113.6931,140.9026,42.34,43.24,41.62
"AAAS",243.8982,164.0927,164.6431,184.1429,187.6132,155.5045,215.9736,175.7046,69.8,73.8,58.7
"AACS",222.1272,243.5631,180.4762,183.9992,223.6607,288.3664,176.0541,215.4868,72.3,97.7,70.1
"AACSL",140.699,178.048,157.4166,149.2494,159.1419,169.9923,145.1974,169.9454,41.7,46,42.2
"AADAC",163.071,245.8873,143.2105,206.1913,146.7754,134.5161,121.9171,134.3379,45.7,75.4,49.6
"AADACL1",309.5647,298.7292,259.2322,370.1751,476.4135,230.3088,330.8148,329.1346,114.65,116.25,87.2
"AADACL2",130.2576,149.8295,134.8699,143.6863,154.8542,141.5372,122.1423,150.9221,47.4,45.9,62.8
"AADACL3",126.2491,150.9601,127.8074,150.1536,124.6817,124.111,99.28558,134.4804,45.7,44.7,48
"AADACL4",114.6239,132.6315,114.2917,113.8708,127.651,116.3372,116.0532,121.357,43.2,35.3,37.6
"AADAT",145.6743,304.7341,240.0574,309.2772,215.5258,135.8115,173.4514,269.5736,64.525,63.95,57.625
"AAK1",226.5195,255.5243,186.7769,214.7397,198.3149,547.8598,206.5182,201.777,45.3333,60.8,55.2
"AAMP",663.4454,400.6266,521.914,431.2539,607.9589,376.1681,587.644,480.4433,113.7,161.8,129.3
"AANAT",111.2006,116.3047,116.2353,115.0505,103.6149,106.8502,102.3583,104.6966,40.7,34.6,36.1
"AARS",2957.004,1304.167,2710.077,1662.293,2837.5,3053.506,1964.117,1312.538,946.7,1228.9,1019.5
"AARS2",288.1528,251.0401,371.8777,299.4637,455.7482,249.7675,290.4803,296.1292,87.5,109.9,88
"AARSD1",326.8672,452.5009,350.4862,641.1571,499.9785,320.0357,313.5273,366.7251,242.7,329.4,232.9
"AASDH",211.1843,240.8548,274.3216,285.567,287.538,202.752,221.0242,196.0523,117.8,130.7,97.1
"AASDHPPT",246.157,322.9498,376.1531,341.1292,326.9589,359.6333,388.6506,412.9669,82.55,128.3,125.75
"AASS",148.4082,179.9957,211.1635,142.4986,175.3009,171.1012,142.1268,159.6214,53.5,65.55,56.45
"AATF",724.8543,499.9338,632.7308,840.2117,640.9222,362.5467,684.8553,435.4189,334.5,399.3,271.9
"AATK",144.5166,171.9359,160.5848,174.8543,155.3397,148.475,145.2322,167.0244,41.9333,42.7667,40.2667
"ABAT",150.3079,187.5835,169.0703,132.0209,153.1554,120.4418,255.9777,182.0491,47.4333,49.0667,41.8
"ABCA1",1363.687,378.9432,1092.425,850.1534,1865.346,361.6243,1027.213,362.7898,562.6,432,352.7
"ABCA10",125.0781,161.2491,143.6912,166.0827,163.1659,127.8096,140.5611,208.7016,37.55,53.7,43.5
"ABCA11",126.447,169.2488,147.4479,168.5634,160.5594,140.6788,142.9059,175.3516,47.8,53.7,44.8
"ABCA12",112.5599,126.152,109.6297,113.3693,119.4149,157.3718,109.7336,113.1111,42.95,40.85,40.25
"ABCA13",131.2801,126.4356,106.6607,146.1113,116.6596,198.1131,115.0647,111.5901,42.3,42.2,35
"ABCA2",176.0835,140.1365,136.5019,136.5369,129.8047,132.8113,166.8395,148.6268,46.5,55.1,49.25
"ABCA3",227.5247,172.5314,155.5187,184.4749,199.5635,147.4758,132.4894,163.6682,54.3,61,51
"ABCA4",145.3933,152.1025,126.4519,133.709,153.5152,137.1302,130.7227,132.4637,62.3,59.2,61.9
"ABCA5",111.8287,148.1202,134.2122,126.974,122.4197,124.3272,123.1221,132.9973,49.0667,50.2,45.3
"ABCA6",136.0822,181.8815,250.365,263.1293,169.8499,143.2241,485.9245,168.8363,117.95,157.6,252.5
"ABCA7",167.9769,169.3112,140.364,166.0728,161.994,165.7938,141.724,148.1236,58.8667,67.8,61.2333
"ABCA8",133.0723,213.9326,150.7048,179.4774,163.4389,131.8684,126.2741,156.9729,114.2,168.55,106.3
"ABCA9",131.2388,180.2672,149.1063,165.41,159.6464,143.2279,187.3712,224.6346,49,61.6,55.35
"ABCB1",126.5118,156.0403,123.806,144.743,136.9195,125.9297,105.1164,130.9099,53.4,77.05,55.8
"ABCB10",268.2059,424.4933,301.7942,372.8537,306.681,268.5518,264.1706,339.2062,87.1,97.5,128.6
"ABCB11",140.1246,177.0384,135.3448,184.0508,162.2228,150.8305,123.1711,159.581,48.8,48.2,43.6
"ABCB4",125.8294,129.8687,144.5761,123.1439,142.7455,133.7962,97.17474,127.3303,53,45,41.8
"ABCB5",102.6701,111.6449,105.1536,100.5203,104.6387,94.79021,93.325,106.4371,37.8,37.9,38.4
"ABCB6",448.0609,276.3849,466.1026,267.807,260.4741,290.9243,434.7002,321.5721,300.5,281.4,186
"ABCB7",326.0399,307.7313,359.7342,248.3253,326.4452,446.7503,368.4664,333.1807,96.7,135.9,109.5
"ABCB8",152.4222,158.2522,143.1693,149.7463,165.2674,139.7146,110.1297,136.0947,41.3,51.2,45.2
"ABCB9",438.5053,277.2155,241.2725,262.7249,248.8784,192.8492,173.7412,242.0353,56.6333,58.6333,59.9667
"ABCC1",145.0171,183.4389,152.9322,160.8441,159.1792,142.7572,132.2405,156.0699,49.3,62.5,55.25
"ABCC10",251.9165,197.2749,161.8761,156.1165,153.8048,151.9486,177.2509,198.7053,67.1,77.3,56.7
"ABCC11",127.1186,151.4463,128.7968,142.5625,135.3049,131.1623,106.8258,132.8516,44.8,43.3333,42.4
"ABCC12",119.6223,128.263,109.0147,118.7811,112.1336,106.5479,104.3241,114.9328,51.8,46.8,50.1
"ABCC13",122.5248,154.9964,127.566,132.5711,140.0025,132.4942,116.7366,137.5615,43.6,52.3333,45.6
"ABCC2",108.9634,145.4716,122.778,129.1865,105.6235,123.9718,114.8131,118.6356,46.8,48.7,40.6
"ABCC3",821.5049,290.7169,530.4815,1302.209,1035.442,204.1427,802.617,1205.367,587.85,692.85,1052.25
"ABCC4",212.6798,768.0413,615.3178,281.9029,354.0535,184.004,808.4808,684.4133,158.55,179.3,349.4
"ABCC5",269.0693,492.0987,480.1255,737.8569,461.1894,268.0782,1239.04,322.1123,528.1667,417,281
"ABCC6",132.4366,161.3634,129.8328,132.037,137.2525,129.7024,117.8186,138.6177,40.6333,44.7,39.7667
"ABCC8",108.6251,118.0049,106.1306,104.465,107.4528,114.583,95.9368,108.018,41.9,43.5,34.9
"ABCC9",129.0939,164.8038,132.6679,145.2287,163.8396,138.9147,123.3269,145.7684,44.3333,47.8,42.7
"ABCD1",383.0824,130.6299,135.6951,141.263,168.08,128.0345,146.9726,129.5112,92.1,100.2,65.4
"ABCD2",117.5347,135.5093,118.0847,133.6335,121.4866,117.0353,95.7588,131.7261,38.2,47.25,39.65
"ABCD3",537.1315,919.1719,435.4728,489.4007,962.4395,216.7852,502.4809,326.7035,62,97.2,83.7
"ABCD4",128.6105,152.1192,122.9697,134.5345,135.0747,127.5361,118.2577,135.882,44.625,45.75,41.475
"ABCE1",316.455,884.6586,426.19,620.0604,701.0251,479.8701,484.8579,599.0353,132.4,174.5,213.45
"ABCF1",1175.956,890.7718,905.2423,941.4821,1110.411,786.3448,1163.095,980.8406,330.6,538.55,426.1
"ABCF2",183.9424,230.5439,180.884,226.9314,188.6434,209.6225,147.8475,202.3001,68.1,100.9,85.8333
"ABCF3",242.6711,179.8841,169.6165,154.7627,178.5036,153.4562,198.9824,156.2795,103.5,95.1,76.6
"ABCG1",251.8228,172.9735,336.5328,184.4883,262.6613,253.7512,425.2335,194.502,59.6167,61.9333,61.1667
"ABCG2",110.4828,146.4555,107.5619,106.2348,121.2787,104.5019,115.0856,119.718,44.8,59.5,47.8
"ABCG4",141.912,190.8221,144.0739,175.7301,160.8515,153.2509,139.7012,168.099,50.4,45.9,43.2
"ABCG5",128.5108,152.0035,128.0384,157.3964,148.1102,139.507,111.2546,148.511,54.6,51,53.2
"ABCG8",169.8505,196.7786,153.1403,152.2843,163.6769,139.3588,124.3934,154.0427,45.8,43.9,44.7
"ABHD1",138.8034,150.0092,141.6788,147.5302,148.1308,122.6297,123.3044,141.2896,42.9,46.2,40.3
"ABHD10",223.4969,395.5261,236.5918,244.0576,331.0722,177.8597,272.1201,238.0938,128.6,122.9,111.8
"ABHD11",160.2771,166.7062,237.3895,259.1823,160.4836,139.3364,152.1105,242.9257,47,59.5333,53.9667
"ABHD12",754.8984,978.5782,457.8062,441.5083,1119.445,243.6979,831.6321,443.032,283.6667,267.9,198.3333
"ABHD12B",137.0602,156.3864,141.1713,154.2654,141.195,133.2565,114.8259,141.065,41.5667,42.9667,40.3667
"ABHD13",136.147,179.1566,136.011,150.1555,140.5575,152.158,124.1392,168.7849,40.45,42.3,43.2
"ABHD14A",1417.612,302.1792,436.4578,340.1492,362.6513,251.6057,484.7761,427.1896,163.3,219.7,122.4
"ABHD14B",321.3342,197.2115,153.9931,181.7169,189.9156,149.5128,344.1179,199.0418,213.1,225,138.3
"ABHD2",193.3699,162.0498,150.0176,188.7514,194.5997,146.4072,153.5904,155.6012,48.5,52.5,51.6333
"ABHD3",174.8739,197.9933,151.9549,343.5893,234.7406,210.3606,232.8095,170.9692,54.8,79.9,107.1
"ABHD4",208.234,156.7718,141.6158,153.799,188.2767,173.7013,172.9762,150.5896,99.5,110.9,116.5
"ABHD5",457.1343,439.815,607.8077,363.7822,333.5529,331.2928,386.6563,372.8905,70,90.9,109.6
"ABHD6",310.0113,242.3027,203.3393,224.6516,290.2561,223.9043,253.1515,195.2449,73.1,99.9,77.8
"ABHD7",174.3167,336.1292,169.7068,222.2455,208.6835,149.6439,136.8708,163.1865,42,43.3,38
"ABHD8",795.6594,286.14,311.801,387.0846,265.0961,194.0786,245.4881,269.4968,165.4,225.2,157.8
"ABHD9",645.0739,181.3333,492.7731,184.3951,383.8451,128.4388,239.5171,216.2518,54.9,61.2,53.6
"ABI1",325.2657,421.9465,290.1088,395.3556,362.6673,312.7431,483.9823,424.5547,54.8,81.55,85.75
"ABI2",171.8018,201.7059,169.251,191.2802,185.8067,170.313,149.2818,187.691,57.05,66.025,70.675
"ABI3",155.3885,154.448,121.8921,163.4157,188.71,118.5602,155.3739,128.1709,56.1,64.9,42.2
"ABI3BP",126.0275,163.2244,124.4382,198.7476,257.6861,125.541,124.6984,153.4076,171.8,118.3,210.4
"ABL1",373.8347,214.5914,184.3862,230.0977,271.661,244.6927,395.6438,176.5383,139.7667,203.6333,184.5
"ABL2",134.3528,163.0754,134.0815,143.2948,136.9592,220.7406,117.7852,142.8886,46.2667,55.3667,52.3667
"ABLIM1",261.2864,371.0197,295.2071,390.904,361.6274,459.3884,929.2689,459.9341,511.7,653.975,558.05
"ABLIM2",121.1435,154.2991,114.9551,139.924,126.7305,132.2136,117.0951,132.2275,50.9,90.4,54.6
"ABLIM3",254.4857,150.0141,189.0241,150.6873,178.3946,167.5674,567.4169,174.6541,128.3,115.9,109
"ABO",117.3895,126.403,110.9727,118.4823,110.2134,106.1389,111.4853,115.7114,43.3,46.1,44.9
"ABP1",122.3002,138.643,123.0403,136.2048,127.9899,117.6687,108.4483,140.4548,42.3,39.4,39.7
"ABR",306.6189,405.7726,297.3883,658.5335,334.0253,286.7453,519.5027,454.0091,192.5,214.1333,190.9
"ABRA",109.3055,127.3677,109.0883,115.5832,118.0134,110.3433,112.4106,118.6967,45,45.7,40.2
"ABT1",175.3323,214.0201,206.9891,202.5535,221.2459,157.5587,203.3351,179.7715,49.2,57.6,46.4
"ABTB1",411.0957,196.3209,217.8768,236.9713,277.7027,218.8282,296.1901,271.8631,122.25,156.7,105
"ABTB2",228.3246,169.4966,133.8123,161.8385,154.8865,151.3928,119.3726,143.3644,50.3,58.4,59.9
"ACAA1",2250.393,780.4029,1080.864,1042.744,1058.321,662.5742,753.8644,1432.987,323,392.1,452.8
"ACAA2",261.9678,398.312,248.4938,652.9343,296.7312,146.773,328.3963,310.882,87.7,109,98
"ACACA",504.0697,318.2874,529.2825,850.795,900.6467,419.0476,568.9441,547.6292,228.4333,270.5,283.7667
"ACACB",142.0055,189.4235,158.955,244.8368,219.5271,151.8913,310.3494,198.4899,347.8,414.2,168.3
"ACAD10",196.533,242.1629,286.1956,335.4559,416.3245,190.7128,369.731,289.3209,97.7,135.4,79
"ACAD11",186.9229,388.071,401.6029,499.5424,589.4108,519.5714,260.8487,429.9985,204,213.7,228.9
"ACAD8",427.0488,233.6356,249.1002,276.6447,291.9998,167.7872,366.6582,269.471,89.5,101.05,108.1
"ACAD9",709.7046,319.3359,564.1105,383.7774,822.3184,366.9882,301.4118,464.946,205.3,285.7,192.2
"ACADL",130.7838,166.7585,133.1433,150.3777,146.4651,176.2326,103.4685,135.0389,43.6,45.2,42.2
"ACADM",985.4723,757.9279,960.692,1261.911,997.4778,623.6219,912.8757,909.8363,288.2,373.5,449.1
"ACADS",358.674,169.8498,178.5011,231.0254,197.6402,171.8439,189.792,176.2852,112.6,147.8,99.9
"ACADSB",132.1034,185.2542,150.123,167.6704,156.2535,143.0255,136.7254,165.8901,55.5,58.4,49.9
"ACADVL",1825.141,1570.988,918.2811,1946.323,1350.999,1511.927,1300.035,1130.977,1222.7,1898.4667,1396.5
"ACAN",105.96,128.5401,107.3169,107.2958,104.5183,102.1622,97.31374,112.8917,40.3,39.5,38.5
"ACAP1",128.1738,133.2872,130.9369,174.4896,310.619,148.4756,136.073,127.319,62.7,112.7,50.5
"ACAP3",124.3089,171.1309,108.0627,131.8709,142.0598,147.4446,111.5318,166.5205,50,53.4,47.9
"ACAT1",625.6567,887.3954,448.9494,700.1894,620.3005,430.0792,238.7005,466.3546,323,322.1,405.8
"ACAT2",244.0496,359.7603,312.4337,388.4907,418.1881,927.0856,252.0773,380.487,68.55,92.35,115.7
"ACBD3",815.7601,752.2361,782.1907,608.2764,987.6561,786.6216,903.2552,891.7756,259.4,227.1,302.9
"ACBD4",190.9257,169.0977,166.8962,152.0231,163.3002,136.087,216.9892,165.5108,50.2,48.9,41.3
"ACBD5",127.4922,156.2198,128.7015,133.2847,149.8813,118.1874,114.3315,137.0268,37.2,41.8667,42.3667
"ACBD6",260.6314,231.1344,225.1928,237.1823,285.0734,250.4933,295.1635,344.733,143.7,158.6,142.7
"ACBD7",196.618,245.167,139.7344,171.0829,141.6577,117.0182,109.2425,165.2403,47.6,47.7,44.3
"ACCN1",127.9287,142.075,119.0005,134.2707,136.974,124.5306,116.5248,142.8178,42.05,43.6,43.9
"ACCN2",135.599,141.4885,134.4696,131.8033,135.9818,123.0585,109.4833,134.9341,48.95,53.05,43.55
"ACCN3",128.3107,150.1253,120.7512,148.9707,124.0922,119.4179,116.2174,129.1852,50.4,53.95,55.9
"ACCN4",121.2847,132.6902,115.477,126.8725,117.0852,118.9743,115.1409,131.2954,37.2333,42.8333,38.4333
"ACCN5",132.8242,157.481,123.5581,128.5921,137.3969,143.6553,112.3081,142.7861,37.5,37.3,42.8
"ACD",464.7292,215.6932,241.9993,216.6209,240.5121,221.7151,220.6638,271.4149,132.1,154,116.4
"ACE",129.9015,157.5244,132.5933,125.654,131.77,119.0096,108.5285,133.8973,40.2,42.1,39.9
"ACE2",127.9072,158.7724,148.9587,162.5035,157.5831,140.9524,143.7262,151.0963,50.8,54.1,50.4
"ACHE",124.6753,152.1887,135.8779,134.02,143.9224,136.2856,116.9274,142.2383,39.8667,47.7667,42.4667
"ACIN1",830.9563,418.6034,429.7863,580.8096,613.8915,476.266,1387.812,665.4478,411.8,523.7,319.9
"ACLY",1091.684,1093.137,587.9876,1772.215,1320.252,941.6837,533.881,968.5972,306.5,460.65,511.05
"ACMSD",120.4103,131.9138,127.7864,110.356,129.3849,116.9556,106.5775,125.1145,70.8,74.8,67.3
"ACN9",583.1258,470.2923,346.8712,620.1807,441.9575,333.3077,300.7748,538.8914,82,101.4,141
"ACO1",1095.078,531.8894,771.6849,895.2413,821.155,1170.277,660.8165,634.8032,533.2,958.3,787.4
"ACO2",678.3645,547.9438,405.029,514.4874,620.1332,424.52,680.1118,568.8775,122.1,201.6,183.3
"ACOT1",178.3379,152.7783,127.0561,185.5274,155.8596,138.0418,152.7471,153.9727,47.6,68.45,62.75
"ACOT11",904.221,340.5656,440.2726,533.5062,505.0638,190.8113,602.5795,540.5706,224.75,296.65,207.75
"ACOT12",115.1376,128.9883,121.5687,125.5002,116.0998,125.965,126.0659,126.4272,50.8,54.9,41.3
"ACOT2",159.4667,162.8267,134.5208,183.8947,138.5783,131.6293,141.949,169.7618,51.9,64,83.5
"ACOT4",453.6663,193.3999,190.5821,351.143,340.485,164.1853,290.5576,213.6518,54.5,65.2,69.8
"ACOT6",154.344,159.4503,152.8597,164.5357,150.947,133.0844,117.6808,144.7368,44.5,35.5,38.4
"ACOT7",447.9227,315.8665,203.7223,390.7996,354.5871,339.7967,201.2228,310.1676,96.9571,109.8,104.3
"ACOT8",348.232,225.0533,302.7926,196.3456,212.6724,184.9726,154.0741,200.2713,47.5,71.1,62.8
"ACOT9",190.99,208.776,176.2687,239.9932,259.423,351.8008,187.3077,203.7269,60.85,73.3,103.65
"ACOX1",238.2213,261.1664,296.8151,649.9852,591.4443,177.096,317.821,291.7879,61.1333,81.6333,80.2333
"ACOX2",134.7458,144.1615,132.8348,154.2653,176.7792,167.0503,107.8562,160.7545,154.6,164,126.5
"ACOX3",426.9022,362.0756,596.7873,426.4139,1767.222,473.2417,601.2546,409.2999,183.3,288.9,173.9
"ACOXL",115.4928,163.4956,126.521,131.3433,130.7207,131.2928,147.8857,165.4009,58.2,53.2,69.2
"ACP1",1026.863,1276.164,1563.607,1858.15,1831.489,1599.049,1017.913,1498.575,144.55,238.05,421.3
"ACP2",495.9125,226.5818,321.9351,361.0458,347.7883,260.3192,366.9669,281.3951,103.4,175.9,126.3
"ACP5",368.9154,161.3269,158.7706,166.0927,166.7042,207.4771,173.0892,133.3644,62.1,71,67.3
"ACP6",912.9381,294.0122,401.5348,544.7944,417.595,170.1582,604.6757,516.6957,168.5,192,135.7
"ACPL2",264.5856,433.2238,300.279,536.1257,351.4588,178.4245,237.6813,320.6667,84.35,118.05,203.4
"ACPP",200.1479,192.3425,168.2642,175.5791,176.6981,195.8157,126.3939,159.4048,45.4,50.2,41.9
"ACPT",157.2654,174.8325,133.9844,132.4474,148.5384,138.5312,147.4549,140.5198,57.6,62.5,55.55
"ACR",134.6429,132.3125,118.1282,120.7472,128.7248,116.9147,126.305,110.1763,39.6,45.2,37.6
"ACRBP",132.5087,131.8716,119.1495,194.7071,171.9979,128.8836,119.3587,121.1642,48.6,49.5,46.9
"ACRC",140.081,150.5308,132.5808,142.5667,135.6772,125.7201,166.6915,145.9481,52.4,49.7,47.1
"ACRV1",119.7786,128.2065,118.7362,125.1377,118.8118,123.4986,119.5743,126.1141,48.6,43.75,41.8
"ACSBG1",132.581,156.2729,140.8585,1175.837,158.2694,137.7188,132.1016,365.1896,64.5,55.9,42.9
"ACSBG2",115.6718,118.6484,111.212,126.5075,111.377,107.7496,96.77094,119.2269,43.7,47.9,39.7
"ACSF3",170.4483,156.6393,144.9354,145.2067,162.5446,141.4169,117.7334,145.849,45,49.4,44.3
"ACSL1",684.7121,446.8854,744.2602,1587.064,1469.649,720.8735,1657.645,442.1115,81,90.3,86.4
"ACSL3",411.5197,276.8802,630.0908,289.501,710.6147,443.0347,863.3583,576.2442,124.5333,202.4333,335.6667
"ACSL4",158.1494,245.1565,152.3981,231.808,624.5435,179.4518,202.9111,177.961,73.025,83.1,102.25
"ACSL5",281.8506,169.0663,436.5081,727.4603,1009.179,143.3755,1323.038,720.1055,434.62,480.3,619.44
"ACSL6",116.3631,140.5084,124.606,127.7852,127.0193,114.6369,108.4495,122.1192,38.825,45.1,38.6
"ACSM1",106.8557,137.0739,107.3702,125.3442,110.9711,101.0497,105.8238,116.0935,41.7,45.1,39
"ACSM2A",113.3715,150.5436,128.0962,137.386,133.7249,120.3158,108.0486,148.5666,40.7,41.6,38.8
"ACSM2B",127.636,166.1538,135.1665,137.6353,143.3644,138.1031,106.5337,153.5687,38.7,40.7333,41.1
"ACSM3",178.945,164.4948,184.5672,564.7823,300.7503,136.1018,177.5236,158.6475,69.5,83.0333,73.2667
"ACSM4",119.3549,164.2789,119.2536,138.4793,128.3507,136.1446,101.4668,124.9509,41.7,41.6,41.5
"ACSM5",132.5564,161.4658,127.5572,137.2754,135.9287,129.4802,115.0434,133.5358,44.3333,48.9667,42.3333
"ACSS1",185.1368,208.3614,159.7935,223.5884,272.9861,163.6528,227.5336,215.3409,103.7,153.9,98.1
"ACSS2",351.4408,383.6266,437.1347,386.2699,361.5417,511.7688,291.8588,311.8592,246.52,254.88,200.74
"ACSS3",123.0071,176.7529,120.0848,132.5253,158.7835,136.5263,136.1865,132.4377,41.5,35.8,41.9
"ACTA1",121.6424,139.0409,121.1103,124.4026,114.6602,101.8426,102.5558,124.5609,46.2,50.2,59.3
"ACTA2",1678.99,2509.066,499.4843,3702.878,5196.28,4678.468,1525.283,2590.25,16086.1,16737.8,18847.1
"ACTB",18770.12,9343.145,16073.78,10211.96,11757.2,21565.75,12353.32,13377.16,5497.5667,7722.7,9366.0667
"ACTC1",123.5166,137.2003,130.3281,132.2487,128.0511,125.0895,108.8411,128.5353,1170.95,1056.6,1413.75
"ACTG1",15069.03,17978.42,20313.01,15456.66,12523.28,23737.62,11089.85,19040.38,5475.65,6920.6,6431.1
"ACTG2",366.8615,1189.663,144.7772,793.3608,1942.485,853.8781,206.5145,574.8434,16410.6,15841.5,23365.9
"ACTL6A",757.1544,1368.897,687.5257,1421.557,1377.087,831.9253,855.0291,1112.844,147.55,217.6,323.55
"ACTL6B",128.1689,128.1198,142.876,154.7386,133.4012,123.0469,129.5977,136.9547,48.2,38.7,45
"ACTL7A",107.9519,123.6406,99.75613,97.56834,112.6375,115.2471,104.7796,113.3603,37.3,41.7,42
"ACTL7B",146.7091,178.9138,139.0901,138.9845,131.4462,152.3135,128.093,147.7358,50.7,56.5,47.7
"ACTL8",229.3215,146.1237,127.1029,130.7282,109.97,122.3761,124.5026,129.4942,41.3,42.3,42.3
"ACTN1",1328.329,557.5942,652.8802,753.6829,1115.488,2421.739,247.9038,694.0154,851.8,1599.8,1583.4
"ACTN2",127.7356,144.7248,135.9331,128.7569,137.1714,143.9048,107.3877,145.2654,61.8,62.1,68.3
"ACTN3",113.0467,132.6667,116.0773,108.1538,109.3709,96.18494,123.7067,109.0995,40.5,44.1,38.4
"ACTN4",3230.118,953.7604,1059.333,738.1486,1209.363,773.9221,1341.133,722.3884,790.8,1274.6,865.5
"ACTR10",618.1193,563.6014,628.3716,862.2995,613.5965,888.3065,761.2728,744.4604,162.6,279.5,294.2
"ACTR1A",659.1958,460.338,456.1752,486.0898,557.3528,431.7296,725.4982,608.2044,443.3,479.7,480.3
"ACTR1B",698.9047,417.0067,286.0726,408.5481,480.6106,340.788,464.0158,400.7087,279.9,352.8,278.7
"ACTR2",1806.288,3642.265,2756.898,4427.27,2207.398,3002.383,3880.975,3233.878,360.4,666.8,1052.3
"ACTR3",490.3134,1058.159,830.2484,941.2536,785.2638,1091.295,1423.072,1175.994,107.4,126.8,190.5
"ACTR3B",155.365,176.4826,142.5173,154.2374,146.3073,144.6356,127.7898,160.5234,44.1,46.35,45.95
"ACTR5",212.606,255.9324,214.0454,261.1377,246.6167,198.838,282.6612,223.5916,84.5,93.7,76.6
"ACTR6",683.0736,540.0555,617.0237,680.2982,603.7519,387.994,104.3174,485.0477,245.5,241.9,333.3
"ACTR8",168.807,211.6931,189.4104,204.2796,245.2218,187.9499,182.1273,209.6649,46.7,58.1,56.7
"ACTRT1",175.9504,206.1537,171.4063,183.8926,180.6155,172.6062,179.9389,163.9291,59.6,59.5,52.3
"ACVR1",473.5919,516.0173,335.5263,386.2634,418.6725,657.19,461.4394,559.9268,264.9,311.3,280.4
"ACVR1B",225.6823,226.948,175.2424,206.0119,294.9127,207.7406,205.2237,226.5413,165.3,191.5,142.675
"ACVR1C",149.5465,149.0486,137.1691,144.8029,155.7168,158.3842,134.1192,164.6666,37.6,41.7,42.8
"ACVR2A",197.7218,433.4932,234.2315,406.5511,315.1906,150.7571,216.0693,284.4919,95.4,125,98.55
"ACVR2B",144.8488,140.9575,125.6104,117.4904,119.5715,116.0682,122.7601,136.9734,37.85,39.95,32.7
"ACVRL1",209.5532,221.7088,168.8646,237.2765,302.7153,208.2724,174.0084,185.6838,73.3,131.1,81.3
"ACY1",2171.129,571.6615,363.8549,453.6445,528.9293,345.6874,336.1956,824.6369,233.8,361.3,251.4
"ACY3",118.434,123.9557,107.1946,114.7728,108.8752,106.3491,96.54086,112.6537,35.9,44,33.9
"ACYP1",230.1022,257.4082,203.4508,347.5784,260.881,255.6529,239.8968,391.862,75.1667,102.5333,169.4
"ACYP2",230.7574,247.0383,208.1147,235.9402,233.3465,218.7119,208.0625,263.8316,71.4,86.1,107.5
"ADA",241.9537,337.6085,249.183,181.4932,272.8833,518.5084,145.3751,211.3144,80.6,95.6,97.8
"ADAD1",139.7975,161.9613,144.1498,143.2789,132.2457,117.2956,105.0823,146.9646,44,39.2,36
"ADAD2",139.5534,146.2578,123.5625,118.1502,170.5543,108.2905,135.6035,137.6453,50.7,45.1,36.8
"ADAL",145.2776,195.6223,156.7385,170.5544,164.3382,150.2735,137.0956,186.1549,53.8,57.5,54.3
"ADAM10",167.0384,388.0449,319.83,328.1313,710.584,240.923,376.2883,637.2435,47.1,83.2,85.4
"ADAM11",134.7393,142.2975,125.8952,136.1744,137.827,128.0001,149.4908,143.4404,48.4,42.3,44.2
"ADAM12",133.1085,151.4996,142.6862,140.1147,141.8202,137.7373,117.7898,143.4786,36.6333,40.0667,40.9667
"ADAM15",4933.64,1144.956,503.4709,1516.423,929.8964,1195.239,627.9921,1070.961,184.95,297.8,224.325
"ADAM17",468.6102,438.7626,341.4079,362.549,308.5325,314.3006,455.8726,306.0866,125.65,133,108.85
"ADAM18",99.01225,124.4376,108.4261,106.4611,107.8661,113.4676,91.15684,111.0386,37.7,42.3,39.7
"ADAM19",135.2003,176.4939,154.1957,156.8922,204.7907,195.2499,142.4514,155.0593,106.7667,112.7,174.7667
"ADAM2",160.6036,173.4173,154.2202,177.582,153.4026,180.5472,137.3876,167.8369,37.1,46.8,44.3
"ADAM20",125.5931,135.1863,118.0126,130.1779,119.0018,104.6325,101.8131,121.9852,42.1,43.9,32.3
