SYMBOL,Tumour55.AVG_Signal,Tumour56.AVG_Signal,Tumour60.AVG_Signal,Tumour64.AVG_Signal,Tumour66.AVG_Signal,Tumour68.AVG_Signal,Tumour69.AVG_Signal,Tumour72.AVG_Signal,Norm_1_AVG_Signal,Norm_2_AVG_Signal,Norm_3_AVG_Signal
"MTIF2",288.3715,493.7906,600.7098,631.2418,509.7643,508.4328,452.1219,569.0192,104.45,116.25,129.35
"MTIF3",531.4604,790.3198,818.5015,845.9533,1391.467,824.8687,1314.773,1448.156,131.1,160.6,212.5
"MTL5",138.3239,140.5612,133.0707,139.9008,125.3642,121.9363,104.7346,134.5687,41.25,44.05,40.3
"MTM",130.9228,162.6857,134.5275,155.7214,127.8857,142.7328,108.6921,154.6528,36.2,37.4,40.1
"MTM1",151.2538,196.2698,157.3993,167.7771,184.4491,179.0756,190.1046,182.3058,57.5,85.3,80.9
"MTMR1",162.5,181.5759,169.3529,158.6568,153.2717,164.548,123.0205,178.086,45.2,53.15,45.25
"MTMR10",251.4303,324.5358,415.0283,402.3565,421.0976,317.463,453.2331,359.6531,110.6,111.85,119.05
"MTMR11",234.5852,226.8965,255.3906,339.7351,283.0873,251.3887,402.0887,474.9874,158.6,149.5,130.9
"MTMR12",155.4776,186.1946,175.1259,182.7554,153.3721,165.1371,128.6959,141.0284,43.5,53.5,53.9
"MTMR14",430.118,383.4993,320.7586,406.6563,416.8168,316.597,367.1076,318.835,139.9667,128.9667,101.4667
"MTMR15",157.1446,230.0306,283.8743,243.8296,259.9453,206.3841,233.6189,234.6727,130.5,156,143.5
"MTMR2",186.257,220.1533,189.9283,192.7547,197.016,226.0235,178.1138,193.7177,67.7,71.85,72.2
"MTMR3",284.1035,264.5072,228.159,249.9404,391.6182,220.4379,253.5482,276.9854,129.075,134.95,126.05
"MTMR4",647.2861,760.6265,716.157,740.6448,888.6473,380.3568,686.4671,810.3612,121.3,152.1,115.1
"MTMR6",367.9922,562.0206,306.3282,353.6967,353.0379,371.1031,484.4893,509.1486,115.9,122.8,136.9
"MTMR7",140.5543,145.9586,123.5428,139.4924,129.0685,133.3969,135.4565,138.6839,36.4,46.3,37.5
"MTMR8",120.508,140.3165,120.8019,118.329,113.0976,119.3831,113.7005,128.1835,39.65,42,38.7
"MTMR9",183.9399,391.2058,336.8887,407.1756,298.4008,384.9693,281.626,380.8737,148.7,202.5,165.6
"MTNR1A",130.011,147.8187,144.1631,133.8287,124.0874,119.9159,121.4607,132.1189,45.9,41.4,43
"MTNR1B",112.6699,135.855,112.484,115.9568,114.7496,107.7766,119.0586,110.635,41.9,49.3,39.1
"MTO1",187.1516,261.9009,219.368,243.2426,253.7623,247.9336,258.825,236.1329,85.75,108.2,124.55
"MTP18",929.616,420.8191,352.2589,287.0757,270.2311,397.1959,402.106,408.8292,97.3667,96.0333,142.7333
"MTPN",1590.971,1750.262,1597.577,2140.143,1813.616,1935.941,1036.261,2534.259,660,708.65,735.55
"MTR",246.1724,334.485,280.7493,343.1784,294.6543,320.0652,393.7571,365.0972,90.6,94.3,114.8
"MTRF1",128.9731,204.2852,137.7599,212.5199,212.5899,185.9425,253.3904,204.8501,50.5,58,43.3
"MTRF1L",286.5221,433.7055,399.4682,416.5471,355.4601,349.5198,521.1586,411.728,148.4,166.6,166.65
"MTRR",191.7863,286.1962,278.7035,307.7077,246.5913,179.8621,201.0894,240.2423,69.3667,76.2667,117.4333
"MTSS1",300.9744,505.7402,359.2019,771.0009,801.1611,1466.826,772.5377,317.2789,287.7,256,197
"MTTP",123.0378,141.6039,113.4291,121.2463,118.5699,109.6389,95.6807,117.1438,44.1,47.1,43.9
"MTUS1",125.8222,171.9822,179.8334,162.9763,165.6229,146.2819,153.9147,142.7598,53.22,70.48,72.72
"MTX1",559.447,304.8658,348.5363,403.2074,320.1194,269.5912,271.2028,359.5175,124.1,158,134.65
"MTX2",514.5872,727.7312,829.9875,729.1145,802.5016,762.5095,695.9301,1008.958,204.8333,253.9333,334.5333
"MTX3",178.275,270.1707,351.2337,270.3076,328.9694,365.8749,302.5414,338.0431,139.5,159,141.1
"MUC1",3247.725,298.3266,488.2742,553.2367,2336.703,643.3077,3293.812,394.1689,108.9,150.9333,365.4
"MUC12",137.8774,161.6875,146.5876,147.4679,151.2734,133.3375,108.4037,157.049,38.9,47.55,44.5
"MUC13",130.3683,164.6782,149.52,133.3853,138.4601,136.568,113.6071,146.529,34.6,44.6,38.6
"MUC15",130.0899,141.2204,130.7374,134.454,144.8363,136.2848,120.2259,145.0382,41.5,47.8,41.2
"MUC16",150.5756,171.8508,165.6549,147.326,127.9225,145.7313,132.8561,152.5293,43.4,40.9,45.7
"MUC17",121.2205,126.4845,109.8759,119.1392,119.2594,100.7507,106.9261,112.0295,41.1,48.5,37
"MUC2",148.8717,141.6504,140.4449,144.8903,145.7641,135.2361,129.6228,188.5786,42.9,43.4,40
"MUC20",306.804,195.5294,476.812,418.5536,732.0925,113.5149,695.0426,285.0152,164.5,152.5,160.1
"MUC3B",138.2675,167.0953,130.1072,136.1508,155.2229,148.377,112.3231,140.6292,41.65,48.2,42.65
"MUC4",142.8819,159.6457,140.6385,147.9899,146.3738,141.3787,123.1443,151.3899,42.78,43.16,39.4
"MUC5AC",161.9929,153.4998,148.2894,140.1198,151.5033,148.1467,123.6038,182.1464,44.1,40.8,44.5
"MUC5B",124.4202,145.878,147.0163,127.8715,132.0004,126.7887,112.8607,141.4081,44,45.6,46
"MUC6",133.8907,174.647,142.3384,154.429,150.549,145.5376,131.1308,157.0648,45.7,46.375,46.025
"MUC7",113.0101,118.2374,101.5286,115.2617,105.8701,109.5911,98.40697,116.3329,39.2,35.6,37.3
"MUCDHL",153.7497,176.0551,146.5597,164.2374,135.3847,142.5978,104.8032,170.4718,44.9,47.4,43
"MUCL1",161.9614,197.3245,128.3256,222.9307,154.5109,127.3368,121.586,198.1234,40.4,40.6,41.4
"MUM1",902.6688,351.8797,352.5417,656.9411,453.0197,473.9568,744.759,376.5454,284.7,444.7,221.8
"MUM1L1",226.2362,276.2575,155.1521,290.0868,165.3187,166.3221,99.3947,175.7477,56.4,65.1,47.9
"MUPCDH",116.0709,129.1595,118.0664,125.4151,114.8728,109.4425,111.2809,124.6619,39.8,42.45,39.5
"MURC",131.7277,134.9903,118.2253,140.3162,124.9773,117.9427,103.2896,126.6655,65.4,66.4,54
"MUS81",416.1791,315.9261,267.6795,288.8517,290.3936,244.5897,364.7125,321.9149,147.2,141.8,128.7
"MUSK",134.2834,154.141,115.7716,130.3,136.098,129.9075,101.3746,136.7652,76,81.4,86.7
"MUSTN1",151.582,176.8053,155.7729,167.3792,186.2343,154.471,139.1209,152.6858,122.2,109.1,76.1
"MUT",267.765,358.628,349.8216,300.3945,315.065,320.2829,449.409,297.3142,81.35,131.1,117.9
"MUTED",183.7144,208.7644,243.9966,220.7322,208.7572,181.0888,253.7658,193.3219,103.1,103.05,124.85
"MUTYH",349.3786,224.5177,207.6796,338.2383,274.8212,156.8068,196.3688,221.7414,97.8333,108.8333,112.7667
"MVD",366.5726,206.3067,178.8565,215.861,253.6885,278.0813,184.0978,202.7722,80.7,119.7,96.6
"MVK",306.5743,206.9579,175.6342,162.5085,213.9613,237.6287,253.1816,185.3277,79.1,99.5,61.1
"MVP",1144.15,747.9169,488.4109,539.7339,744.5505,605.7218,1013.18,590.7628,236.8,461.8,460.3
"MX1",1069.69,458.0932,4623.489,1949.279,4383.042,611.3138,1856.635,1315.061,1438.4,1329.7,859.8
"MX2",248.5293,329.5266,620.1561,565.1467,809.8961,177.3903,1055.149,471.4984,112.1,135.3,64.5
"MXD1",679.8671,360.7447,196.9305,284.5329,487.9831,1105.133,573.494,201.0703,102.9,99.4,84.3
"MXD3",221.9958,156.983,133.9134,177.9308,159.972,144.2815,152.7035,156.3207,63,66.1,65.5
"MXD4",2124.683,989.1987,985.2101,1566.394,1142.213,894.1911,2200.538,847.0844,514.2,499.3,288.9
"MXI1",128.6421,145.2526,149.3769,138.1958,144.0503,159.1905,120.3446,135.6161,42.65,45.8,45.375
"MXRA5",1443.337,524.8707,444.7874,541.786,633.0267,1710.869,4781.641,582.213,1118.2,1606.7,896.8
"MXRA7",154.4136,164.5679,140.3374,147.8994,169.5372,184.7773,142.8401,170.2209,184.6667,257.5333,214.9667
"MXRA8",144.2672,162.0778,135.975,153.5845,161.1627,159.7614,116.3743,130.0047,53.2,58.65,58.05
"MYADM",555.2266,486.7039,163.8233,275.0067,370.3939,442.2469,230.295,207.0588,271.5333,362.8333,468.5333
"MYADML",126.9019,169.4159,141.9424,144.2121,131.2039,157.1596,143.5989,139.628,38.1,47.1,42.6
"MYB",159.994,176.7403,162.185,390.6836,238.9097,143.465,159.1232,201.3213,57.6,60.5,44.4
"MYBBP1A",313.948,190.3385,146.0489,152.4516,171.4787,170.2203,230.771,188.397,64.2,86.2,60
"MYBL2",168.9736,149.5661,114.2635,161.1565,141.7941,124.6527,122.3245,133.332,38.5,45.5,45.5
"MYBPC1",121.1426,144.3353,127.6159,152.8171,254.9761,127.5608,223.4013,130.1286,38.725,47.15,37.625
"MYBPC2",108.9493,141.0559,111.1349,126.9516,120.0209,128.2591,118.5321,120.6029,35.4,42.9,39.3
