SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_03.CEL	Tumour_A1209_07.CEL	Tumour_A1209_11.CEL
ABCC13	19.28636922	16.91847499	19.24791476	23.08730564	18.08618221	17.41446594	21.2673825
ABCC2	58.12541051	50.07675805	36.83743135	38.04271015	48.22103066	44.51185879	40.56819152
ABCC3	196.3250404	184.7663127	207.668936	265.0215204	204.8156253	250.6943302	204.5067447
ABCC4	151.0766943	215.7768674	180.9744194	161.5665958	80.68861026	79.09281945	76.56729967
ABCC5	139.2083577	198.9022064	137.0343965	108.426913	148.2080883	115.2392375	116.313142
ABCC6	54.15754374	47.45906065	59.66108159	59.77286543	56.42658644	62.70185546	54.255309
ABCC8	55.59075051	48.64805233	63.73927217	57.08817239	48.48517953	61.22828898	56.73781952
ABCC9	43.7076919	21.9396581	28.74811804	29.3052397	15.55714857	18.9304802	19.66922707
ABCD1	67.48472701	72.38967605	70.15246427	59.78840174	56.91726624	65.51554063	42.02053304
ABCD2	18.29813234	17.75848299	19.83462584	20.47738887	22.02603614	23.50244198	27.68090073
ABCD3	610.0338625	673.6349229	647.1380569	746.2248189	548.8433458	683.2572867	461.1382484
ABCD4	177.0038306	171.6702214	143.9683958	148.6148348	121.5095044	128.5775642	115.4231056
ABCE1	359.0987715	369.6525827	359.2480612	403.9551142	567.5781905	588.1407527	597.6961314
ABCF1	346.0989483	326.3684111	302.9203204	287.560011	426.53023	433.1928657	415.7152782
ABCF2	202.8268505	200.1853602	151.0466205	157.2073292	338.0656157	299.6932547	272.3666741
ABCF3	226.8330542	202.3537383	198.1466078	191.2102788	224.2294044	215.1503068	201.7479837
ABCG1	96.2887537	98.07486139	101.4356279	76.34426248	228.8836365	235.1117024	203.4962847
ABCG2	25.96236979	29.25874977	27.07585127	20.09953978	26.50428947	28.70325677	42.303419
ABCG4	62.18732096	58.6541618	65.52166827	70.3028611	300.7716926	239.1901747	233.4521824
ABCG5	38.69769967	35.84591246	39.77004358	44.61169951	44.05695166	47.76355523	50.40724012
ABCG8	43.05888606	41.41218454	48.20166208	52.57481515	45.49519252	44.04874002	45.28125657
ABHD1	40.14339471	60.63975834	52.23687895	65.13535646	53.45250085	59.20779877	40.86248833
ABHD10	212.8935914	196.5765347	197.1527013	153.7893918	170.1261616	136.09564	151.4426704
ABHD11	216.8528832	223.8573472	197.1664392	213.0282687	183.8474158	187.6157483	206.3568131
ABHD12	350.0533701	422.2758998	344.5249251	305.8678758	695.5984816	662.3634106	497.3304163
ABHD12B	410.6343294	590.3706961	296.0729498	295.107509	1387.221641	1300.722685	1021.523603
ABHD13	626.9929934	629.8282265	698.2394696	693.4033754	667.3770952	625.9797406	680.5526419
ABHD14A	251.3689672	207.6951968	228.6707542	246.819031	461.1435938	359.4848505	438.3725843
ABHD14B	200.6952496	189.5548998	201.9312174	205.6912215	203.8178857	206.7570346	219.5311541
ABHD15	108.3203811	94.19290399	113.2608234	105.7851349	103.1396658	100.19115	117.0589999
ABHD16A	175.0431623	163.7414063	160.335528	162.0595718	185.7632054	183.3916431	188.4914443
ABHD16B	91.38052941	82.53234074	107.9687808	98.80236902	94.457426	102.116709	96.9099175
ABHD17A	404.1533612	403.8063295	416.2625182	408.562691	438.0689472	496.2220724	450.3764404
ABHD17B	188.213658	248.145467	209.3931889	205.8247894	419.2886963	394.8983111	323.3336889
ABHD17C	318.7608928	348.4499154	361.8730513	333.2777507	664.7643626	563.1231568	548.1927799
ABHD2	213.5754791	198.4366259	218.719505	176.8790783	150.8643607	141.7823598	112.5724988
ABHD3	135.4097059	152.6992511	105.8373777	93.57987494	96.23437084	87.40943293	99.33367947
ABHD4	316.6031225	385.792072	310.7634224	252.2529022	328.2746584	203.6820016	357.8499756
ABHD5	1226.448295	1192.766826	1070.919996	1050.302284	2188.722404	2460.692102	2458.479045
ABHD6	463.6946547	617.2862254	547.8981665	503.2446428	429.7195624	241.4928009	345.8321389
ABHD8	160.0003304	152.1350427	154.8714662	141.3361589	244.0040332	222.7962901	253.1517934
ABI1	663.4436414	729.0440115	664.3218167	711.1187351	629.2052947	582.7567851	514.8039442
ABI2	197.5856865	201.125836	185.8730431	218.2497089	215.2080531	207.2212051	184.2004918
ABI3	104.505958	129.5640607	135.7853031	116.3655002	91.65005219	108.0551611	101.1971133
ABI3BP	97.58254429	153.4620664	218.8538056	207.4576986	40.49078171	33.84692336	46.43632927
ABL1	196.674618	193.1985937	181.3994576	213.1979369	154.0511026	168.9553359	144.6032428
ABL2	113.5477105	105.3044758	107.8661231	123.0209854	135.4825527	140.2098282	122.4782595
ABLIM1	1043.787824	1126.504296	1057.610215	1123.790298	1114.125856	930.4923338	961.6038701
ABLIM2	161.8124581	170.0131681	161.5816426	118.7227522	69.04736793	79.9590378	78.00139271
ABLIM3	85.93070935	89.69232848	79.34706723	72.8597675	74.93610976	72.31956981	82.93570554
ABO	135.0944215	160.8692521	139.029148	158.8917633	84.5590576	109.1518989	100.6737341
ABR	459.9605395	472.3767516	447.7819264	383.5616628	258.9850307	223.3414584	217.0447039
ABRA	30.17157751	36.60288882	28.44190704	28.95963459	26.10309966	22.4074057	27.96080958
ABRACL	125.7880594	161.1328083	102.5823084	89.99801554	208.1136945	213.0064104	279.4969198
ABT1	236.857186	227.8942248	239.9114529	209.4034284	266.066549	271.7426959	251.5503709
ABTB1	136.7839474	127.076088	149.4632629	133.0620693	110.9239954	118.0227986	130.9734507
ABTB2	179.5470181	161.2858225	165.7409326	165.7603795	125.7888443	137.261791	99.75245642
ACAA1	119.0009451	113.1058081	120.7209745	105.2775911	165.5981881	160.5745558	169.9271686
ACAA2	57.31887148	39.57985171	46.8317277	45.96844811	542.9187557	495.8967265	531.6878706
ACACA	222.3856468	216.6193929	223.2050306	219.9598858	401.2431891	351.483018	358.4259412
ACACB	72.91682022	80.88729281	58.1993645	41.77656223	48.88602552	43.22807128	41.52121921
ACAD10	125.874419	142.380128	126.8789194	104.8849503	101.5320759	96.40061392	100.3100385
ACAD11	234.9932883	248.5647484	198.2242257	176.3173535	226.4576024	150.8613466	247.8090281
ACAD8	271.9744836	321.0999831	231.9765407	210.5521931	586.0457648	577.2775193	475.2855311
ACAD9	1118.370597	1153.035164	949.053677	788.8406117	1173.189068	1073.755734	1226.014341
ACADL	79.03200357	67.30611831	45.2855061	51.29946829	35.84180255	20.51050544	56.1713099
ACADM	341.9828864	349.5758273	404.7809416	317.502042	392.869089	464.7712806	408.7657769
ACADS	161.4110392	143.1731802	159.9472401	160.2952661	161.7457942	199.5781519	156.7811341
ACADSB	232.7852082	332.3979788	106.3980708	231.3973584	120.3167825	81.32126104	145.7349017
ACADVL	601.8954733	636.602846	591.8676543	510.8575778	948.8567758	1121.107012	968.1092276
ACAN	47.16282548	42.06334117	44.06111472	58.83635587	42.71470255	47.69162149	45.83192552
ACAP1	48.99075099	67.16670924	60.46614207	57.12687747	47.11271396	49.42440049	39.44441265
ACAP2	453.7307402	492.7291508	452.7288524	502.4318464	410.0405408	365.3681992	356.7681644
ACAP3	285.4645856	304.6188777	273.3307424	271.3076248	180.2946966	194.3599142	170.3647001
ACAT1	317.5778788	267.8920024	237.6116747	216.7618887	273.6624345	297.0306169	226.7649484
ACAT2	168.267018	135.4753751	109.6036911	120.4700142	550.9944447	537.1814984	521.2764721
ACBD3	903.4216348	742.7415113	845.9310885	786.7406262	872.4239921	821.4718391	788.3532949
ACBD4	63.34006991	72.65309368	70.2403499	74.0485274	95.9167269	90.44627384	89.32749659
ACBD5	348.3344954	370.999347	320.7085241	314.652299	339.0967919	313.6689814	301.0687946
ACBD6	64.32174705	75.48559797	68.66803324	65.83910121	97.55819752	85.60252691	91.57660795
ACBD7	35.40088672	30.43271497	46.71432997	37.39804722	26.11131355	32.14443884	29.06847602
ACCS	95.75277753	68.01524624	90.59188878	85.85583126	70.92471832	71.2340917	73.63559181
ACCSL	40.16934547	43.34296669	37.25023369	40.04712132	32.53202974	31.50233882	34.77799764
ACD	80.66345849	82.85904829	93.34017442	77.23392172	76.77995823	87.39028115	69.63264569
ACE	48.99163092	51.23228974	54.80278787	55.33809025	52.89618892	57.22668077	49.00048254
ACE2	33.89828971	33.33375339	29.22356727	27.41687709	84.86439081	75.99316339	99.29098867
ACER1	1851.270028	2043.456482	1592.116619	1785.464076	4001.24731	3566.785654	3959.92123
ACER2	125.8388722	143.7871629	118.0961507	129.3189011	137.9427342	142.3758681	152.7333858
ACER3	123.7003797	163.839508	130.3624952	135.8904579	352.6681276	297.9782104	305.6881384
ACHE	44.68221856	45.13892594	44.30917086	54.98987999	49.10468304	64.89416184	46.5384902
ACIN1	223.0199536	241.2545728	238.4959067	215.2382895	291.2558245	231.8710935	212.420574
ACKR1	47.72564614	42.18540735	37.73373133	58.18093372	36.57800636	40.64884004	42.41084574
ACKR2	43.76431167	49.74604806	51.22911658	47.93968819	56.65073742	102.9656473	76.83046675
ACKR3	37.22785588	35.20420415	41.79059134	33.36476	24.33605578	21.27964067	21.07711231
ACKR4	52.76277983	85.86438499	85.6431085	101.4684952	50.32171184	37.2160355	53.21652332
ACLY	389.9833543	457.0605899	316.8249704	396.2690993	955.387016	791.8436417	645.0530535
ACMSD	28.12157011	20.16990827	25.28797276	25.59662168	30.59613755	32.81975362	26.48617104
ACO1	311.9993685	240.7546191	287.5980718	229.0220471	279.0438578	237.7344584	255.7669346
ACO2	451.1183495	494.5665385	437.6383836	405.3621556	973.9376866	835.8838939	1012.319788
ACOT1	173.5343759	98.40628082	146.2149192	128.175721	178.6612944	144.5380078	174.3788997
ACOT11	81.57863901	60.29021314	80.12599525	66.05625135	140.6986625	113.1375879	128.7656316
ACOT12	20.38680654	19.1398676	27.20068499	21.29745105	18.77490549	25.38767414	24.48285771
ACOT13	609.5358108	556.1219648	555.9692634	412.6639453	1413.93561	1690.341288	2071.325574
ACOT2	150.6329381	119.0207655	101.0113328	108.5493909	149.0483353	122.4715358	159.7034956
ACOT4	43.39304739	39.77025136	36.68265188	41.7566384	30.50010903	42.97167575	40.66039595
ACOT6	22.30547716	15.85227982	18.04583463	21.90790324	19.68554825	22.24683579	20.63176118
ACOT7	243.011432	287.8198636	256.2359472	242.9770739	322.2128475	406.2856028	362.5306596
ACOT8	181.5599524	197.091478	168.2938293	157.2940862	290.5517543	313.951832	368.2700225
ACOT9	146.4032238	155.2617006	113.4710846	104.0125567	157.9465278	137.2900507	169.6473144
ACOX1	841.5654229	1046.650826	875.7292871	800.4368902	760.4033436	786.1341621	742.1169224
ACOX2	42.18360119	40.77582609	38.24624611	46.91864706	44.80133696	48.06435775	48.46939115
ACOX3	204.4494688	277.1860218	211.4682071	199.1456704	343.0635521	333.3945508	345.5962135
ACOXL	23.09224819	22.08296869	26.80724443	28.75226523	24.21947778	26.36498416	26.9731124
ACP1	385.1299862	391.8459377	367.3931236	342.1069938	450.9090352	389.850948	397.7026138
ACP2	141.6594749	153.7684062	151.9521407	129.9429044	173.1131371	159.6436405	162.8627672
ACP5	146.1105328	162.1954988	141.6012601	144.1281811	250.2259159	268.7425338	246.4565917
ACP6	154.9987415	113.2625063	143.217923	119.1403028	538.169629	517.9825889	536.0543063
ACPP	583.7023301	702.0424211	614.3771979	386.0544099	639.4457892	547.4355792	502.6893583
ACPT	100.1418331	107.4269751	126.1536911	146.415695	114.8780107	112.3813655	98.19110574
ACR	91.80131555	81.29069393	90.49808201	97.04057271	89.77286841	95.97214224	86.34936057
ACRBP	60.18269438	58.19947272	59.88352601	57.75145086	65.57737504	70.27212451	59.09743868
ACRC	42.31757842	36.23114003	32.94287265	33.22153279	27.13253402	27.80585631	37.29310169
ACRV1	29.37444427	31.54484785	31.85397958	33.47849354	77.09137017	53.76760404	98.62032186
ACSBG1	142.9579965	87.54937299	80.79687643	116.9767895	255.6343867	224.6997319	184.1329973
ACSBG2	21.24281271	22.11581024	21.21205148	21.29865202	21.35086166	21.30048453	21.25642428
